Username,Trial,Condition.Number,Condition.Notes,Stimuli.Cue,Procedure.Item,Response.RT,Response.RTfirst,Response.RTlast,affordance,affordance_corrected,POS,Lemma
10012878_CL,34,2,List 2,prankster,52,14664,1444,13641,entertainment,entertainment,NN,entertainment
10012878_CL,35,2,List 2,newscaster,33,15187,2841,13990,gossip,gossip,NN,gossip
10012878_CL,35,2,List 2,newscaster,33,15187,2841,13990,entertainment,entertainment,NN,entertainment
10012878_CL,35,2,List 2,newscaster,33,15187,2841,13990,curiousity,curiosity,NN,curiosity
10012878_CL,36,2,List 2,rainwater,61,22051,4133,19190,recycling,recycling,VBG,recycle
10012878_CL,36,2,List 2,rainwater,61,22051,4133,19190,drink,drink,VB,drink
10012878_CL,36,2,List 2,rainwater,61,22051,4133,19190,planting,planting,VBG,plant
10012878_CL,36,2,List 2,rainwater,61,22051,4133,19190,farming,farming,VBG,farm
10012878_CL,37,2,List 2,yourself,35,54671,3313,24213,adventures,adventures,NNS,adventure
10012878_CL,37,2,List 2,yourself,35,54671,3313,24213,entertainment,entertainment,NN,entertainment
10012878_CL,38,2,List 2,boot,42,5967,1267,5151,walking,walking,VBG,walk
10012878_CL,38,2,List 2,boot,42,5967,1267,5151,stomping,stomping,VBG,stomp
10012878_CL,39,2,List 2,toy,44,6401,1215,4583,playing,playing,VBG,play
10012878_CL,39,2,List 2,toy,44,6401,1215,4583,entertainment,entertainment,NN,entertainment
10012878_CL,40,2,List 2,choreographer,45,9942,1277,5927,art,art,NN,art
10012878_CL,40,2,List 2,choreographer,45,9942,1277,5927,dancing,dancing,VBG,dance
10016155,11,24,List 74,engineer,2203,27448,3665,24400,chemical,chemical,JJ,chemical
10016155,11,24,List 74,engineer,2203,27448,3665,24400,electrical,electrical,JJ,electrical
10016155,11,24,List 74,engineer,2203,27448,3665,24400,mechanical,mechanical,JJ,mechanical
10016155,12,24,List 74,watchband,2207,12292,2447,11625,worn,worn,NN,worn
10016155,12,24,List 74,watchband,2207,12292,2447,11625,used,used,VBN,use
10016155,12,24,List 74,watchband,2207,12292,2447,11625,touched,touched,VBD,touch
10016155,13,24,List 74,abacus,2197,17071,14472,15439,thrown,thrown,JJ,thrown
10016155,15,24,List 74,duster,2192,8561,3584,7898,clean,clean,JJ,clean
10016155,15,24,List 74,duster,2192,8561,3584,7898,pick,pick,NN,pick
10016155,16,24,List 74,eyewash,2220,15596,2915,10132,ease,ease,NN,ease
10016155,16,24,List 74,eyewash,2220,15596,2915,10132,pain,pain,NN,pain
10016155,16,24,List 74,eyewash,2220,15596,2915,10132,rinse,rinse,NN,rinse
10016155,17,24,List 74,underclothing,2200,13476,3366,12946,worn,worn,NN,worn
10016155,17,24,List 74,underclothing,2200,13476,3366,12946,washed,washed,VBD,wash
10016155,17,24,List 74,underclothing,2200,13476,3366,12946,folded,folded,JJ,folded
10016155,18,24,List 74,lunchroom,2201,16962,12765,16635,eat,eat,NN,eat
10016155,19,24,List 74,percolator,2195,3887,3127,3413,idk,id,NN,id
10016155,20,24,List 74,props,2221,5081,2079,4813,used,used,VBN,use
10016155,20,24,List 74,props,2221,5081,2079,4813,play,play,NN,play
10016155,21,24,List 74,teacher,2202,8168,4143,7831,help,help,NN,help
10016155,21,24,List 74,teacher,2202,8168,4143,7831,students,students,NNS,student
10016155,21,24,List 74,teacher,2202,8168,4143,7831,learn,learn,VBP,learn
10016155,22,24,List 74,electrician,2211,14855,2488,14346,works,works,VBZ,work
10016155,22,24,List 74,electrician,2211,14855,2488,14346,electrical,electrical,JJ,electrical
10016155,22,24,List 74,electrician,2211,14855,2488,14346,problems,problems,NNS,problem
10016155,22,24,List 74,electrician,2211,14855,2488,14346,issues,issues,NNS,issue
10016155,23,24,List 74,flaxseed,2216,6553,1837,6202,eaten,eaten,VBP,eat
10016155,23,24,List 74,flaxseed,2216,6553,1837,6202,grown,grown,VBN,grow
10016155,24,24,List 74,gasket,2208,12374,8656,10866,used,used,JJ,used
10016155,24,24,List 74,gasket,2208,12374,8656,10866,fixe,fix,NN,fix
10016155,25,24,List 74,trench,2218,9216,2206,8917,dug,dug,NN,dug
10016155,25,24,List 74,trench,2218,9216,2206,8917,walk,walk,VBP,walk
10016155,26,24,List 74,rowboat,2194,11358,2741,11030,get,get,VB,get
10016155,26,24,List 74,rowboat,2194,11358,2741,11030,places,places,NNS,place
10016155,27,24,List 74,thumbtack,2210,10786,4237,10411,hold,hold,VB,hold
10016155,27,24,List 74,thumbtack,2210,10786,4237,10411,something,something,NN,something
10016155,28,24,List 74,tangerine,2214,7545,2032,7292,eaten,eaten,JJ,eaten
10016155,28,24,List 74,tangerine,2214,7545,2032,7292,picked,picked,VBD,pick
10016155,28,24,List 74,tangerine,2214,7545,2032,7292,grown,grown,JJ,grown
10016155,29,24,List 74,coaster,2204,11278,3962,10225,hold,hold,JJ,hold
10016155,29,24,List 74,coaster,2204,11278,3962,10225,drinks,drinks,NNS,drink
10016155,30,24,List 74,shank,2205,3401,1781,2480,stab,stab,VBP,stab
10016155,31,24,List 74,parchment,2219,6892,3297,6706,used,used,VBN,use
10016155,31,24,List 74,parchment,2219,6892,3297,6706,cooking,cooking,NN,cooking
10016155,32,24,List 74,tablecloth,2213,8240,1629,7989,used,used,VBN,use
10016155,32,24,List 74,tablecloth,2213,8240,1629,7989,help,help,NN,help
10016155,32,24,List 74,tablecloth,2213,8240,1629,7989,keep,keep,VB,keep
10016155,32,24,List 74,tablecloth,2213,8240,1629,7989,table,table,JJ,table
10016155,32,24,List 74,tablecloth,2213,8240,1629,7989,clean,clean,JJ,clean
10016155,33,24,List 74,worksheet,2198,6433,2387,6147,turn,turn,NN,turn
10016155,33,24,List 74,worksheet,2198,6433,2387,6147,work,work,NN,work
10016155,34,24,List 74,stem,2196,6604,5472,6471,picked,picked,VBD,pick
10016155,35,24,List 74,lunch,2212,2173,1108,1886,eaten,eaten,JJ,eaten
10016155,36,24,List 74,cheek,2193,11216,4528,11035,gets,gets,VBZ,get
10016155,36,24,List 74,cheek,2193,11216,4528,11035,red,red,JJ,red
10016155,36,24,List 74,cheek,2193,11216,4528,11035,helps,helps,NN,help
10016155,36,24,List 74,cheek,2193,11216,4528,11035,smile,smile,VB,smile
10016155,37,24,List 74,salamander,2206,13764,4657,13292,pet,pet,NN,pet
10016155,37,24,List 74,salamander,2206,13764,4657,13292,wild,wild,NN,wild
10016155,37,24,List 74,salamander,2206,13764,4657,13292,also,also,RB,also
10016155,38,24,List 74,ruler,2217,5872,1748,5652,used,used,VBD,use
10016155,38,24,List 74,ruler,2217,5872,1748,5652,measure,measure,NN,measure
10016155,39,24,List 74,stepbrother,2215,9883,3092,9686,advice,advice,NN,advice
10016155,39,24,List 74,stepbrother,2215,9883,3092,9686,quality,quality,NN,quality
10016155,39,24,List 74,stepbrother,2215,9883,3092,9686,time,time,NN,time
10016155,40,24,List 74,stage,2209,9937,2876,9383,perform,perform,VB,perform
10016155,40,24,List 74,stage,2209,9937,2876,9383,sing,sing,VBG,sing
10016155,40,24,List 74,stage,2209,9937,2876,9383,dance,dance,NN,dance
10016155,40,24,List 74,stage,2209,9937,2876,9383,worship,worship,NN,worship
10032501AW,11,11,List 11,billiards,328,86845,57245,82431,sitting,sitting,VBG,sit
10032501AW,11,11,List 11,billiards,328,86845,57245,82431,coaster,coaster,JJ,coaster
10032501AW,11,11,List 11,billiards,328,86845,57245,82431,storage,storage,NN,storage
10032501AW,11,11,List 11,billiards,328,86845,57245,82431,table,table,NN,table
10032501AW,12,11,List 11,mongoose,330,17212,5249,11497,eaten,eaten,NN,eaten
10032501AW,12,11,List 11,mongoose,330,17212,5249,11497,cooked,cooked,VBD,cook
10032501AW,12,11,List 11,mongoose,330,17212,5249,11497,pet,pet,JJ,pet
10032501AW,13,11,List 11,village,322,36352,6554,25275,visit,visit,NN,visit
10032501AW,13,11,List 11,village,322,36352,6554,25275,resident,resident,NN,resident
10032501AW,14,11,List 11,hibachi,313,29292,24679,25435,cooking,cooking,VBG,cook
10032501AW,15,11,List 11,furnace,331,11514,2131,4409,heating,heating,VBG,heat
10032501AW,15,11,List 11,furnace,331,11514,2131,4409,burning,burning,VBG,burn
10032501AW,16,11,List 11,apartments,310,34165,5595,33084,tenant,tenant,JJ,tenant
10032501AW,16,11,List 11,apartments,310,34165,5595,33084,sleep,sleep,JJ,sleep
10032501AW,16,11,List 11,apartments,310,34165,5595,33084,cook,cook,NN,cook
10032501AW,16,11,List 11,apartments,310,34165,5595,33084,eat,eat,NN,eat
10032501AW,16,11,List 11,apartments,310,34165,5595,33084,clean,clean,JJ,clean
10032501AW,16,11,List 11,apartments,310,34165,5595,33084,storage,storage,NN,storage
10032501AW,16,11,List 11,apartments,310,34165,5595,33084,shelter,shelter,NN,shelter
10032501AW,17,11,List 11,teaspoonful,323,42647,11953,34526,seasoning,seasoning,VBG,season
10032501AW,17,11,List 11,teaspoonful,323,42647,11953,34526,sweetener,sweetener,JJR,sweetener
10032501AW,17,11,List 11,teaspoonful,323,42647,11953,34526,mix,mix,NN,mix
10032501AW,17,11,List 11,teaspoonful,323,42647,11953,34526,scoop,scoop,NN,scoop
10032501AW,18,11,List 11,flowerpot,315,15826,2169,4115,plant,plant,NN,plant
10032501AW,18,11,List 11,flowerpot,315,15826,2169,4115,storage,storage,NN,storage
10032501AW,19,11,List 11,grandchild,316,25033,2346,24053,play,play,NN,play
10032501AW,19,11,List 11,grandchild,316,25033,2346,24053,care,care,NN,care
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,eat,eat,NN,eat
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,stretch,stretch,NN,stretch
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,suck,suck,VBD,suck
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,bite,bite,JJ,bite
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,lick,lick,JJ,lick
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,tear,tear,NN,tear
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,crush,crush,NN,crush
10032501AW,20,11,List 11,taffy,324,27432,2447,24919,melt,melt,NN,melt
10032501AW,21,11,List 11,mullets,319,18045,2055,15458,cut,cut,NN,cut
10032501AW,21,11,List 11,mullets,319,18045,2055,15458,washed,washed,VBD,wash
10032501AW,21,11,List 11,mullets,319,18045,2055,15458,dyed,dyed,VBN,dye
10032501AW,21,11,List 11,mullets,319,18045,2055,15458,straightened,straightened,VBN,straighten
10032501AW,21,11,List 11,mullets,319,18045,2055,15458,curled,curled,VBN,curl
10032501AW,22,11,List 11,flatiron,311,24782,5684,23726,hold,hold,VBP,hold
10032501AW,22,11,List 11,flatiron,311,24782,5684,23726,weapon,weapon,NN,weapon
10032501AW,22,11,List 11,flatiron,311,24782,5684,23726,straighten,straighten,JJ,straighten
10032501AW,23,11,List 11,bondsman,308,71479,41760,68725,hug,hug,NN,hug
10032501AW,23,11,List 11,bondsman,308,71479,41760,68725,hit,hit,VBD,hit
10032501AW,24,11,List 11,raincoat,326,23484,1979,15435,wear,wear,JJ,wear
10032501AW,24,11,List 11,raincoat,326,23484,1979,15435,fold,fold,JJ,fold
10032501AW,24,11,List 11,raincoat,326,23484,1979,15435,burn,burn,NN,burn
10032501AW,24,11,List 11,raincoat,326,23484,1979,15435,shelter,shelter,NN,shelter
10032501AW,25,11,List 11,casserole,306,22414,3166,18461,eat,eat,NN,eat
10032501AW,25,11,List 11,casserole,306,22414,3166,18461,reheat,reheat,NN,reheat
10032501AW,25,11,List 11,casserole,306,22414,3166,18461,scoop,scoop,NN,scoop
10032501AW,25,11,List 11,casserole,306,22414,3166,18461,stab,stab,NN,stab
10032501AW,26,11,List 11,crust,304,8475,2169,7390,eat,eat,NN,eat
10032501AW,26,11,List 11,crust,304,8475,2169,7390,crushed,crushed,VBD,crush
10032501AW,26,11,List 11,crust,304,8475,2169,7390,cut,cut,JJ,cut
10032501AW,27,11,List 11,molasses,321,30848,1931,29847,syrup,syrup,NN,syrup
10032501AW,27,11,List 11,molasses,321,30848,1931,29847,lick,lick,NN,lick
10032501AW,27,11,List 11,molasses,321,30848,1931,29847,sweetner,sweetener,NN,sweetener
10032501AW,28,11,List 11,butt,312,20240,5097,15604,slap,slap,VBD,slap
10032501AW,28,11,List 11,butt,312,20240,5097,15604,fondle,fondle,JJ,fondle
10032501AW,28,11,List 11,butt,312,20240,5097,15604,rub,rub,NN,rub
10032501AW,28,11,List 11,butt,312,20240,5097,15604,cushion,cushion,NN,cushion
10032501AW,29,11,List 11,parakeet,329,8809,4277,4781,pet,pet,NN,pet
10032501AW,30,11,List 11,nut,307,26911,6352,20166,eat,eat,NN,eat
10032501AW,30,11,List 11,nut,307,26911,6352,20166,crush,crush,NN,crush
10032501AW,30,11,List 11,nut,307,26911,6352,20166,topping,topping,VBG,top
10032501AW,31,11,List 11,pan,327,12572,4371,11411,fry,fry,JJ,fry
10032501AW,31,11,List 11,pan,327,12572,4371,11411,clean,clean,JJ,clean
10032501AW,31,11,List 11,pan,327,12572,4371,11411,weapon,weapon,NN,weapon
10032501AW,32,11,List 11,corn,317,14705,1645,11298,eat,eat,NN,eat
10032501AW,32,11,List 11,corn,317,14705,1645,11298,boil,boil,NN,boil
10032501AW,32,11,List 11,corn,317,14705,1645,11298,crush,crush,NN,crush
10032501AW,32,11,List 11,corn,317,14705,1645,11298,ingredient,ingredient,NN,ingredient
10032501AW,33,11,List 11,stepdaughter,314,11812,4348,4951,hug,hug,NN,hug
10032501AW,34,11,List 11,trigger,320,7852,4875,5298,push,push,NN,push
10032501AW,35,11,List 11,belt,318,11412,6058,9802,accessory,accessory,NN,accessory
10032501AW,35,11,List 11,belt,318,11412,6058,9802,weapon,weapon,NN,weapon
10032501AW,36,11,List 11,acupuncture,302,14969,5538,14075,weapon,weapon,NN,weapon
10032501AW,36,11,List 11,acupuncture,302,14969,5538,14075,medical,medical,JJ,medical
10032501AW,36,11,List 11,acupuncture,302,14969,5538,14075,tool,tool,NN,tool
10032501AW,37,11,List 11,rectum,309,33346,6813,32299,stretched,stretched,VBD,stretch
10032501AW,37,11,List 11,rectum,309,33346,6813,32299,exit,exit,NN,exit
10032501AW,38,11,List 11,device,303,51612,1846,41935,diary,diary,JJ,diary
10032501AW,38,11,List 11,device,303,51612,1846,41935,book,book,NN,book
10032501AW,38,11,List 11,device,303,51612,1846,41935,storage,storage,NN,storage
10032501AW,39,11,List 11,dirt,325,11728,7083,7693,dug,dug,JJ,dug
10032501AW,40,11,List 11,kettledrum,305,72159,67847,69822,instrument,instrument,NN,instrument
10043633MWA,11,11,List 36,edibles,1064,35909,1425,10472,eaten,eaten,NNS,eaten
10043633MWA,11,11,List 36,edibles,1064,35909,1425,10472,made,made,VBN,make
10043633MWA,11,11,List 36,edibles,1064,35909,1425,10472,sold,sold,VBD,sell
10043633MWA,11,11,List 36,edibles,1064,35909,1425,10472,bought,bought,RB,bought
10043633MWA,12,11,List 36,barber,1061,17695,3398,14821,called,called,VBN,call
10043633MWA,12,11,List 36,barber,1061,17695,3398,14821,used,used,VBN,use
10043633MWA,12,11,List 36,barber,1061,17695,3398,14821,killed,killed,VBN,kill
10043633MWA,13,11,List 36,alfalfa,1074,30951,7184,16502,listened,listened,VBD,listen
10043633MWA,13,11,List 36,alfalfa,1074,30951,7184,16502,watched,watched,JJ,watched
10043633MWA,13,11,List 36,alfalfa,1074,30951,7184,16502,talk,talk,NN,talk
10043633MWA,14,11,List 36,evergreen,1079,23631,13599,22337,seen,seen,VBN,see
10043633MWA,14,11,List 36,evergreen,1079,23631,13599,22337,sold,sold,VBN,sell
10043633MWA,14,11,List 36,evergreen,1079,23631,13599,22337,cut,cut,NN,cut
10043633MWA,14,11,List 36,evergreen,1079,23631,13599,22337,viewed,viewed,VBN,view
10043633MWA,15,11,List 36,flashbulb,1077,20826,2940,20705,broken,broken,NNS,broken
10043633MWA,15,11,List 36,flashbulb,1077,20826,2940,20705,turned,turned,VBD,turn
10043633MWA,15,11,List 36,flashbulb,1077,20826,2940,20705,turned,turned,JJ,turned
10043633MWA,15,11,List 36,flashbulb,1077,20826,2940,20705,bought,bought,VBD,buy
10043633MWA,15,11,List 36,flashbulb,1077,20826,2940,20705,sold,sold,VBN,sell
10043633MWA,17,11,List 36,llama,1055,20252,1363,17069,sold,sold,VBN,sell
10043633MWA,17,11,List 36,llama,1055,20252,1363,17069,rode,rode,NN,rode
10043633MWA,17,11,List 36,llama,1055,20252,1363,17069,bought,bought,VBD,buy
10043633MWA,17,11,List 36,llama,1055,20252,1363,17069,viewed,viewed,VBN,view
10043633MWA,17,11,List 36,llama,1055,20252,1363,17069,kicked,kicked,VBN,kick
10043633MWA,17,11,List 36,llama,1055,20252,1363,17069,tripped,tripped,JJ,tripped
10043633MWA,18,11,List 36,curler,1069,19491,2623,8362,bought,bought,VBD,buy
10043633MWA,18,11,List 36,curler,1069,19491,2623,8362,used,used,VBN,use
10043633MWA,18,11,List 36,curler,1069,19491,2623,8362,sold,sold,VBN,sell
10043633MWA,19,11,List 36,leftovers,1071,18694,1778,17731,eaten,eaten,RB,eaten
10043633MWA,19,11,List 36,leftovers,1071,18694,1778,17731,saved,saved,VBN,save
10043633MWA,19,11,List 36,leftovers,1071,18694,1778,17731,made,made,VBN,make
10043633MWA,20,11,List 36,tombstone,1073,34025,29817,33711,bought,bought,VBD,buy
10043633MWA,20,11,List 36,tombstone,1073,34025,29817,33711,sold,sold,VBN,sell
10043633MWA,20,11,List 36,tombstone,1073,34025,29817,33711,created,created,VBN,create
10043633MWA,21,11,List 36,manicure,1081,52688,3475,51744,bought,bought,VBD,buy
10043633MWA,21,11,List 36,manicure,1081,52688,3475,51744,sold,sold,VBN,sell
10043633MWA,21,11,List 36,manicure,1081,52688,3475,51744,given,given,VBN,give
10043633MWA,22,11,List 36,teardrop,1065,9680,2481,9558,cried,cried,VBN,cry
10043633MWA,22,11,List 36,teardrop,1065,9680,2481,9558,wiped,wiped,VBD,wipe
10043633MWA,22,11,List 36,teardrop,1065,9680,2481,9558,away,away,RB,away
10043633MWA,22,11,List 36,teardrop,1065,9680,2481,9558,shot,shot,JJ,shot
10043633MWA,23,11,List 36,harmonica,1062,57836,1329,40161,played,played,VBN,play
10043633MWA,23,11,List 36,harmonica,1062,57836,1329,40161,buzzed,buzzed,VBN,buzz
10043633MWA,23,11,List 36,harmonica,1062,57836,1329,40161,sold,sold,VBN,sell
10043633MWA,23,11,List 36,harmonica,1062,57836,1329,40161,bought,bought,RB,bought
10043633MWA,24,11,List 36,drugstore,1080,28766,1841,15385,visited,visited,VBN,visit
10043633MWA,24,11,List 36,drugstore,1080,28766,1841,15385,opened,opened,VBD,open
10043633MWA,24,11,List 36,drugstore,1080,28766,1841,15385,closed,closed,VBD,close
10043633MWA,25,11,List 36,switchboard,1075,3427,2909,3367,used,used,VBN,use
10043633MWA,26,11,List 36,vitamins,1078,12128,3266,8966,taken,taken,VBN,take
10043633MWA,26,11,List 36,vitamins,1078,12128,3266,8966,sold,sold,VBN,sell
10043633MWA,26,11,List 36,vitamins,1078,12128,3266,8966,bought,bought,RB,bought
10043633MWA,27,11,List 36,laxative,1053,16937,1576,10654,taken,taken,VBN,take
10043633MWA,27,11,List 36,laxative,1053,16937,1576,10654,bought,bought,VBD,buy
10043633MWA,27,11,List 36,laxative,1053,16937,1576,10654,sold,sold,VBN,sell
10043633MWA,28,11,List 36,beagle,1076,20047,2170,19642,played,played,VBN,play
10043633MWA,28,11,List 36,beagle,1076,20047,2170,19642,viewed,viewed,VBN,view
10043633MWA,28,11,List 36,beagle,1076,20047,2170,19642,walked,walked,JJ,walked
10043633MWA,28,11,List 36,beagle,1076,20047,2170,19642,rode,rode,NN,rode
10043633MWA,28,11,List 36,beagle,1076,20047,2170,19642,bought,bought,VBD,buy
10043633MWA,28,11,List 36,beagle,1076,20047,2170,19642,sold,sold,VBN,sell
10043633MWA,29,11,List 36,screwdriver,1070,12955,1641,12829,bought,bought,RB,bought
10043633MWA,29,11,List 36,screwdriver,1070,12955,1641,12829,sold,sold,VBN,sell
10043633MWA,29,11,List 36,screwdriver,1070,12955,1641,12829,used,used,VBN,use
10043633MWA,29,11,List 36,screwdriver,1070,12955,1641,12829,broken,broken,JJ,broken
10043633MWA,29,11,List 36,screwdriver,1070,12955,1641,12829,bent,bent,NN,bent
10043633MWA,30,11,List 36,houseboat,1072,8325,1947,6851,bought,bought,VBD,buy
10043633MWA,30,11,List 36,houseboat,1072,8325,1947,6851,sold,sold,VBN,sell
