CUE,RESPONSE,RESPONSE TOKEN,RESPONSE LEMMA,POS
acrobat,entertain,entertain,entertain,VERB
acrobat,entertainment,entertainment,entertainment,NOUN
acrobat,fly,fly,fly,VERB
acrobat,fly in air,fly,fly,VERB
acrobat,fly in air,air,air,NOUN
acrobat,for entertainment,entertainment,entertain,VERB
acrobat,gymnastics,gymnastics,gymnastic,NOUN
acrobat,see at circus,see,see,VERB
acrobat,see at circus,circus,circus,NOUN
acrobat,swing on ropes,swing,swing,VERB
acrobat,swing on ropes,ropes,rope,NOUN
acrobat,tightrope,tightrope,tightrope,NOUN
acrobat,wear costumes,wear,wear,VERB
acrobat,wear costumes,costumes,costume,NOUN
acrobat,work out,work,work,VERB
actor,act,act,act,NOUN
actor,acting,acting,act,VERB
actor,acts,acts,act,NOUN
actor,acts in movies,acts,act,NOUN
actor,acts in movies,movies,movie,NOUN
actor,acts in plays,acts,act,NOUN
actor,acts in plays,plays,play,NOUN
actor,acts in tv shows,acts,act,NOUN
actor,acts in tv shows,tv,tv,NOUN
actor,acts in tv shows,shows,show,NOUN
actor,commercials,commercials,commercials,NOUN
actor,hand gestures,hand,hand,NOUN
actor,hand gestures,gestures,gesture,VERB
actor,makes money,makes,make,VERB
actor,makes money,money,money,NOUN
actor,movie,movie,movie,NOUN
actor,movies,movies,movy,NOUN
actor,musicals,musicals,musical,NOUN
actor,perform,perform,perform,VERB
actor,performing,performing,perform,VERB
actor,play in a movie,play,play,VERB
actor,play in a movie,movie,movie,NOUN
actor,plays,plays,play,VERB
actor,press conferences,press,press,NOUN
actor,press conferences,conferences,conference,NOUN
actor,serie,serie,series,NOUN
actor,show,show,show,VERB
actor,signing autographs,signing,sign,VERB
actor,signing autographs,autographs,autograph,NOUN
actor,talks,talks,talk,NOUN
actor,tv,tv,tv,NOUN
actor,tv shows,tv,tv,NOUN
actor,tv shows,shows,show,NOUN
actor,watch,watch,watch,VERB
actress,broadway musicals,broadway,broadway,ADJ
actress,broadway musicals,musicals,musical,NOUN
actress,endorsements,endorsements,endorsement,NOUN
actress,enjoy watching,enjoy,enjoy,VERB
actress,enjoy watching,watching,watch,VERB
actress,fool people,fool,fool,VERB
actress,fool people,people,people,NOUN
actress,have a crush on,crush,crush,NOUN
actress,model,model,model,NOUN
actress,play a character,play,play,VERB
actress,play a character,character,character,NOUN
actress,respect,respect,respect,NOUN
actress,see in a movie,see,see,VERB
actress,see in a movie,movie,movie,NOUN
actress,see in a tv show,see,see,VERB
actress,see in a tv show,tv,tv,NOUN
actress,see in a tv show,show,show,NOUN
actress,see in theaters,see,see,VERB
actress,see in theaters,theaters,theater,NOUN
actress,talk to,talk,talk,VERB
actress,to act,act,act,VERB
actress,to cry,cry,cry,VERB
actress,to laugh,laugh,laugh,VERB
actress,to produce a film or musical,produce,produce,VERB
actress,to produce a film or musical,film,film,NOUN
actress,to produce a film or musical,musical,musical,NOUN
actress,to watch for enjoyment,watch,watch,VERB
actress,to watch for enjoyment,enjoyment,enjoyment,NOUN
actress,undercover agent,agent,agent,NOUN
actress,want to grow up to be like,want,want,VERB
actress,want to grow up to be like,grow,grow,VERB
acupuncture,healing,healing,heal,VERB
acupuncture,medicine,medicine,medicine,NOUN
acupuncture,meditation,meditation,meditation,NOUN
acupuncture,needle,needle,needle,NOUN
acupuncture,needles,needles,needles,NOUN
acupuncture,poke,poke,poke,VERB
acupuncture,prevention,prevention,prevention,NOUN
acupuncture,relax,relax,relax,NOUN
acupuncture,relaxation,relaxation,relaxation,NOUN
acupuncture,stress,stress,stress,NOUN
acupuncture,therapy,therapy,therapy,NOUN
acupuncture,weapon,weapon,weapon,NOUN
adapter,can be used as a means to charge a laptops,used,use,VERB
adapter,can be used as a means to charge a laptops,means,means,NOUN
adapter,can be used as a means to charge a laptops,charge,charge,VERB
adapter,can be used as a means to charge a laptops,laptops,laptops,NOUN
adapter,car cord,car,car,NOUN
adapter,car cord,cord,cord,NOUN
adapter,computuer,computuer,computuer,NOUN
adapter,forget,forget,forget,VERB
adapter,or other electronic devices that need more than one piece to charge,electronic,electronic,ADJ
adapter,or other electronic devices that need more than one piece to charge,devices,device,NOUN
adapter,or other electronic devices that need more than one piece to charge,need,need,VERB
adapter,or other electronic devices that need more than one piece to charge,more,more,ADJ
adapter,or other electronic devices that need more than one piece to charge,piece,piece,NOUN
adapter,or other electronic devices that need more than one piece to charge,charge,charge,VERB
adapter,phones,phones,phone,NOUN
adapter,plug in,plug,plug,VERB
adapter,power,power,power,NOUN
adapter,safety,safety,safety,NOUN
addict,alcohol,alcohol,alcohol,NOUN
addict,befriend them,befriend,befriend,VERB
addict,drug,drug,drug,NOUN
addict,drugs,drugs,drug,NOUN
addict,find people,find,find,VERB
addict,find people,people,people,NOUN
addict,help them,help,help,VERB
addict,nicotine,nicotine,nicotine,NOUN
addict,receive drugs from,receive,receive,VERB
addict,receive drugs from,drugs,drug,NOUN
addict,respect them,respect,respect,VERB
addict,take money for rehab,take,take,VERB
addict,take money for rehab,money,money,NOUN
addict,take money for rehab,rehab,rehab,NOUN
addict,use drugs,use,use,VERB
addict,use drugs,drugs,drug,NOUN
adult,actor,actor,actor,NOUN
adult,boss,boss,boss,NOUN
adult,caregiver,caregiver,caregiver,NOUN
adult,coworker,coworker,coworker,NOUN
adult,doctor,doctor,doctor,NOUN
adult,employment,employment,employment,NOUN
adult,friend,friend,friend,NOUN
adult,go out with,go,go,VERB
adult,guidance,guidance,guidance,NOUN
adult,helper,helper,helper,NOUN
adult,lawyer,lawyer,lawyer,NOUN
adult,parent,parent,parent,NOUN
adult,professor,professor,professor,NOUN
adult,relationship,relationship,relationship,NOUN
adult,sibling,sibling,sibling,NOUN
adult,teach,teach,teach,VERB
advisor,advice,advice,advice,NOUN
advisor,advising people,advising,advise,VERB
advisor,advising people,people,people,NOUN
advisor,ask,ask,ask,VERB
advisor,ask for advice,ask,ask,VERB
advisor,ask for advice,advice,advice,NOUN
advisor,ask for help,ask,ask,VERB
advisor,ask for help,help,help,NOUN
advisor,ask questions,ask,ask,VERB
advisor,ask questions,questions,question,NOUN
advisor,assitance,assitance,assitance,NOUN
advisor,counsel,counsel,counsel,NOUN
advisor,get assistance from,assistance,assistance,NOUN
advisor,guide,guide,guide,NOUN
advisor,job,job,job,NOUN
advisor,making classes,making,make,VERB
advisor,making classes,classes,class,NOUN
advisor,manage finances,manage,manage,VERB
advisor,manage finances,finances,finance,NOUN
advisor,mentor,mentor,mentor,NOUN
advisor,needing advice,needing,need,VERB
advisor,needing advice,advice,advice,VERB
advisor,plan schedule,plan,plan,NOUN
advisor,plan schedule,schedule,schedule,NOUN
advisor,prepare school schedule,prepare,prepare,VERB
advisor,prepare school schedule,school,school,NOUN
advisor,prepare school schedule,schedule,schedule,NOUN
advisor,speak,speak,speak,VERB
advisor,supporter,supporter,supporter,NOUN
advisor,talk about schedules,talk,talk,VERB
advisor,talk about schedules,schedules,schedule,NOUN
advisor,tell,tell,tell,VERB
afro,brush,brush,brush,VERB
afro,can be big,big,big,ADJ
afro,can be curly,curly,curly,ADJ
afro,can be different textures,different,different,ADJ
afro,can be different textures,textures,textur,NOUN
afro,clean,clean,clean,VERB
afro,comb,comb,comb,NOUN
afro,dry,dry,dry,VERB
afro,dye,dye,dye,VERB
afro,make statement,make,make,VERB
afro,make statement,statement,statement,NOUN
afro,pick,pick,pick,VERB
afro,style,style,style,NOUN
afro,tease,tease,tease,NOUN
aftershave,hydrate,hydrate,hydrate,NOUN
aftershave,lotion,lotion,lotion,NOUN
aftershave,put on,put,put,VERB
aftershave,rinse,rinse,rinse,NOUN
aftershave,rub,rub,rub,NOUN
aftershave,rub in,rub,rub,NOUN
aftershave,shave,shave,shave,NOUN
aftershave,shaving,shaving,shave,VERB
aftershave,smell,smell,smell,VERB
aftershave,wash,wash,wash,VERB
aircraft,built,built,build,VERB
aircraft,carry,carry,carry,VERB
aircraft,adenture,adenture,adenture,NOUN
aircraft,flown,flown,flow,VERB
aircraft,flying,flying,flie,VERB
aircraft,go fast,go,go,VERB
aircraft,hold,hold,hold,VERB
aircraft,lift,lift,lift,VERB
aircraft,passengers,passengers,passenger,NOUN
aircraft,pilot,pilot,pilot,NOUN
aircraft,ride in,ride,ride,VERB
aircraft,send furniture,send,send,VERB
aircraft,send furniture,furniture,furniture,NOUN
aircraft,send mail,send,send,VERB
aircraft,send mail,mail,mail,NOUN
aircraft,shot down,shot,shot,NOUN
aircraft,sightseeing,sightseeing,sightsee,VERB
aircraft,skydiving,skydiving,skydive,VERB
aircraft,transportation,transportation,transport,VERB
aircraft,travel,travel,travel,VERB
aircraftsman,aeronautics,aeronautics,aeronautic,NOUN
aircraftsman,air-force,air,air force,NOUN
aircraftsman,defend,defend,defend,VERB
aircraftsman,hobbie craftman,hobbie,hobbie,NOUN
aircraftsman,hobbie craftman,craftman,craftman,NOUN
aircraftsman,mechanical,mechanical,mechanical,ADJ
aircraftsman,military,military,military,ADJ
aircraftsman,plane,plane,plane,NOUN
aircraftsman,professional,professional,professional,ADJ
airman,ride,ride,ride,NOUN
airman,saluting,saluting,salut,VERB
airman,thanking,thanking,thanke,VERB
airman,to flu,flu,fly,VERB
airplane,cargo,cargo,cargo,NOUN
airplane,farming,farming,far,VERB
airplane,fighting,fighting,fight,VERB
airplane,fix,fix,fix,VERB
airplane,for the experience,experience,experience,NOUN
airplane,private travels,private,private,ADJ
airplane,private travels,travels,travel,NOUN
airplane,riding,riding,ride,VERB
airplane,ruin the environment,ruin,ruin,VERB
airplane,ruin the environment,environment,environment,NOUN
airplane,to drink,drink,drink,VERB
airplane,to eat,eat,eat,VERB
airplane,to enjoy,enjoy,enjoy,VERB
airplane,to move things,move,move,VERB
airplane,to travel,travel,travel,VERB
airplane,transporting,transporting,transport,VERB
airplane,weapon of destruction (war),destruction,destruction,NOUN
airplane,weapon of destruction (war),war,war,NOUN
album,create,create,create,VERB
album,design,design,design,VERB
album,listen,listen,listen,VERB
album,listen to,listen,listen,VERB
album,old memeories,old,old,ADJ
album,old memeories,memeories,memeory,NOUN
album,pictures,pictures,picture,NOUN
album,produce,produce,produce,VERB
album,put pictures,put,put,VERB
album,put pictures,pictures,picture,NOUN
album,reflection,reflection,reflection,NOUN
album,scrapbook,scrapbook,scrapbook,NOUN
album,share with others,share,share,NOUN
album,sing,sing,sing,VERB
album,write,write,write,VERB
alcohol,cooking,cooking,cook,VERB
alcohol,drinking,drinking,drink,VERB
alcohol,drunk,drunk,drink,VERB
alcohol,mixing,mixing,mix,VERB
alcohol,putting on cuts,putting,put,VERB
alcohol,putting on cuts,cuts,cut,NOUN
alcohol,sanitation,sanitation,sanitation,NOUN
ale,beer,beer,beer,NOUN
ale,disinfect,disinfect,disinfect,NOUN
ale,intoxication,intoxication,intoxication,NOUN
ale,poured,poured,pour,VERB
ale,touch,touch,touch,NOUN
alfalfa,food for livestock animals,food,food,NOUN
alfalfa,food for livestock animals,livestock,livestock,NOUN
alfalfa,food for livestock animals,animals,animal,NOUN
alfalfa,frolic,frolic,frolic,VERB
alfalfa,garnish,garnish,garnish,VERB
alfalfa,herb,herb,herb,NOUN
alfalfa,herbal medicine,herbal,herbal,ADJ
alfalfa,herbal medicine,medicine,medicine,NOUN
alfalfa,mow,mow,mow,NOUN
alfalfa,seasoning,seasoning,season,VERB
alfalfa,sit,sit,sit,VERB
alfalfa,watched,watched,watch,VERB
algae,cleans water,cleans,clean,NOUN
algae,cleans water,water,water,NOUN
algae,cosmetics,cosmetics,cosmetic,NOUN
algae,dirty water,dirty,dirty,ADJ
algae,dirty water,water,water,NOUN
algae,experimental item,experimental,experimental,ADJ
algae,experimental item,item,item,NOUN
algae,facemask,facemask,facemask,NOUN
algae,fishtank,fishtank,fishtank,NOUN
algae,grow,grow,grow,VERB
algae,hair,hair,hair,NOUN
algae,medical supplement,medical,medical,ADJ
algae,medical supplement,supplement,supplement,NOUN
algae,plant in water,plant,plant,VERB
algae,plant in water,water,water,NOUN
algae,pond,pond,pond,NOUN
algae,shelter for insects,shelter,shelter,NOUN
algae,shelter for insects,insects,insects,NOUN
algae,throw away,throw,throw,VERB
almanac,burn,burn,burn,VERB
almanac,calander,calander,calander,NOUN
almanac,check weather forecasts,check,check,VERB
almanac,check weather forecasts,weather,weather,NOUN
almanac,check weather forecasts,forecasts,forecast,NOUN
almanac,dates,dates,date,NOUN
almanac,farming,farming,farm,VERB
almanac,history,history,history,NOUN
almanac,paper,paper,paper,NOUN
almanac,predictions,predictions,prediction,NOUN
almanac,read,read,read,VERB
almanac,records,records,record,NOUN
almanac,stack,stack,stack,NOUN
almanac,weather,weather,weather,NOUN
almond,bake,bake,bake,VERB
almond,butter,butter,butter,NOUN
almond,chew,chew,chew,NOUN
almond,flour,flour,flour,NOUN
almond,garish,garish,garish,VERB
almond,give food,give,give,ADJ
almond,give food,food,food,NOUN
almond,joy,joy,joy,NOUN
almond,making almond milk,making,make,VERB
almond,making almond milk,milk,milk,NOUN
almond,making smoothies,making,make,VERB
almond,making smoothies,smoothies,smoothy,NOUN
almond,milk,milk,milk,NOUN
almond,putting in trail mix,putting,put,VERB
almond,putting in trail mix,trail,trail,NOUN
almond,putting in trail mix,mix,mix,NOUN
almond,share food,share,share,NOUN
almond,share food,food,food,NOUN
almond,shav,shav,shave,VERB
almond,slivers,slivers,sliver,NOUN
altar,can be used for sacrifice,used,use,VERB
altar,can be used for sacrifice,sacrifice,sacrifice,NOUN
altar,can be used to be married at,used,use,VERB
altar,can be used to be married at,married,marry,VERB
altar,church service,church,church,NOUN
altar,church service,service,service,NOUN
altar,cover,cover,cover,NOUN
altar,cry,cry,cry,VERB
altar,decorate,decorate,decorate,VERB
altar,get married at,married,marry,VERB
altar,getting married,married,marry,ADJ
altar,light,light,light,NOUN
altar,marry,marry,marry,VERB
altar,praise,praise,praise,NOUN
altar,pray,pray,pray,VERB
altar,preach,preach,preach,NOUN
altar,present,present,present,ADJ
altar,take oath,take,take,VERB
altar,take oath,oath,oath,NOUN
altar,used in churche,used,use,VERB
altar,used in churche,churche,churche,NOUN
altar,walk down,walk,walk,VERB
altar,wedding,wedding,wedding,VERB
altar,worship,worship,worship,NOUN
altarpiece,adorning,adorning,adorn,VERB
altarpiece,color,color,color,NOUN
altarpiece,layed on,layed,lay,VERB
altarpiece,observe,observe,observe,VERB
altarpiece,placing,placing,place,VERB
altarpiece,prayed over,prayed,pray,VERB
altarpiece,religious services,religious,religious,ADJ
altarpiece,religious services,services,service,NOUN
altarpiece,to look at,look,look,VERB
aluminum,drink cans,drink,drink,NOUN
aluminum,foil,foil,foil,NOUN
aluminum,ingredient in products,ingredient,ingrediend,NOUN
aluminum,ingredient in products,products,product,NOUN
aluminum,line pan,line,line,NOUN
aluminum,line pan,pan,pan,NOUN
aluminum,periodic table,periodic,periodic,ADJ
aluminum,periodic table,table,table,NOUN
aluminum,store,store,store,NOUN
aluminum,trash cans,trash,trash,ADJ
aluminum,wrap,wrap,wrap,VERB
aluminum,wrap food,wrap,wrap,VERB
aluminum,wrap food,food,food,NOUN
aluminum,wrapping food in foil,wrapping,wrap,VERB
aluminum,wrapping food in foil,food,food,NOUN
aluminum,wrapping food in foil,foil,foil,NOUN
ambulance,death,death,death,NOUN
ambulance,drive,drive,drive,VERB
ambulance,emergency,emergency,emergency,NOUN
ambulance,follow,follow,follow,VERB
ambulance,protect,protect,protect,VERB
ambulance,sick,sick,sick,ADJ
ammo,collect,collect,collect,NOUN
ammo,gun,gun,gun,NOUN
ammo,put in gun,put,put,VERB
ammo,put in gun,gun,gun,NOUN
ammo,shoot,shoot,shoot,NOUN
ammo,shooting,shooting,shoot,NOUN
ammo,used for guns,used,use,VERB
ammo,used for guns,guns,gun,NOUN
ammo,used to shoot something with,used,use,VERB
ammo,used to shoot something with,shoot,shoot,VERB
ammunition,fire,fire,fire,NOUN
ammunition,guns,guns,gun,NOUN
ammunition,kill,kill,kill,VERB
ammunition,load,load,load,NOUN
ammunition,murder,murder,murder,NOUN
amphetamine,make,make,make,VERB
amphetamine,pain relief,pain,pain,NOUN
amphetamine,pain relief,relief,relief,NOUN
amphetamine,speed,speed,speed,NOUN
amphetamine,take,take,take,VERB
amphibian,bait,bait,bait,NOUN
amphibian,can live in water and on land,live,live,VERB
amphibian,can live in water and on land,water,water,NOUN
amphibian,can live in water and on land,land,land,NOUN
amphibian,fear stimulant,fear,fear,NOUN
amphibian,fear stimulant,stimulant,stimulant,NOUN
amphibian,get rid of bugs,rid,rid,ADJ
amphibian,get rid of bugs,bugs,bug,NOUN
amphibian,keep,keep,keep,VERB
amphibian,leather,leather,leather,NOUN
amphibian,lizard,lizard,lizard,NOUN
amphibian,pet,pet,pet,NOUN
amphibian,pets,pets,pets,NOUN
amphibian,put outside,put,put,VERB
amphibian,save,save,save,VERB
amulet,award,award,award,NOUN
amulet,beautiful,beautiful,beautiful,ADJ
amulet,prop,prop,prop,NOUN
amulet,protection,protection,protection,NOUN
amulet,sell it,sell,sell,VERB
amulet,to gift,gift,giave,VERB
amulet,to use as decoration,use,use,VERB
amulet,to use as decoration,decoration,decoration,NOUN
amulet,toy,toy,toy,NOUN
amulet,wear it,wear,wear,VERB
amulet,wearing,wearing,wear,VERB
anchor,building houses,building,building,VERB
anchor,building houses,houses,housis,NOUN
anchor,for a memorial,memorial,memorial,NOUN
anchor,sailing,sailing,sail,VERB
anchor,stabilize a boat in the ocean,stabilize,stabilize,VERB
anchor,stabilize a boat in the ocean,boat,boat,NOUN
anchor,stabilize a boat in the ocean,ocean,ocean,NOUN
anchor,swimming,swimming,swim,VERB
anchor,to stop a boat,stop,stop,VERB
anchor,to stop a boat,boat,boat,NOUN
anchor,to stop a ship from moving,stop,stop,VERB
anchor,to stop a ship from moving,ship,ship,NOUN
anchor,to stop a ship from moving,moving,move,VERB
anchovy,fish,fish,fish,NOUN
anchovy,for reference in movies,reference,reference,NOUN
anchovy,for reference in movies,movies,movy,NOUN
anchovy,pizza,pizza,pizza,NOUN
anchovy,to make people leave you alone,make,make,VERB
anchovy,to make people leave you alone,people,people,NOUN
anchovy,to make people leave you alone,leave,leave,VERB
anchovy,to make people leave you alone,alone,alone,ADJ
anchovy,to paint with somehow,paint,paint,VERB
anchovy,to paint with somehow,somehow,somehow,NOUN
anchovy,to put on pizza,put,put,VERB
anchovy,to put on pizza,pizza,pizza,NOUN
animal,as pet,pet,pet,NOUN
animal,clothes,clothes,clothes,NOUN
animal,comfort,comfort,comfort,NOUN
animal,companion,companion,companion,NOUN
animal,feed,feed,feed,NOUN
animal,food resource,food,food,NOUN
animal,food resource,resource,resource,NOUN
animal,guard,guard,guard,VERB
animal,hunt,hunt,hunt,NOUN
animal,hunting,hunting,hunt,VERB
animal,kick,kick,kick,VERB
animal,learn from,learn,learn,VERB
animal,love,love,love,NOUN
animal,run,run,run,NOUN
animal,service animal,service,service,NOUN
animal,service animal,animal,animal,NOUN
animal,sleep with,sleep,sleep,VERB
animal,snuggle,snuggle,snuggle,NOUN
animal,take care of,take,take,VERB
animal,take care of,care,care,NOUN
animal,used as a support companion,used,use,VERB
animal,used as a support companion,support,support,NOUN
animal,used as a support companion,companion,companion,NOUN
animal,walk,walk,walk,VERB
ankle,balance,balance,balance,NOUN
ankle,breaking,breaking,break,VERB
ankle,carry body weight,carry,carry,VERB
ankle,carry body weight,body,body,NOUN
ankle,carry body weight,weight,weight,NOUN
ankle,rolled,rolled,roll,VERB
ankle,rolling,rolling,roll,VERB
ankle,scrape,scrape,scrape,VERB
ankle,sprain,sprain,sprain,VERB
ankle,sprained,sprained,sprain,VERB
ankle,strain,strain,strain,VERB
ankle,twist,twist,twist,VERB
ankle,walking,walking,walk,VERB
ankle,wrapped,wrapped,wrap,VERB
anklet,gift it,gift,gift,VERB
anklet,jewelry,jewelry,jewelry,NOUN
anklet,method of expression,method,method,NOUN
anklet,method of expression,expression,expression,NOUN
anklet,nostalgia,nostalgia,nostalgia,NOUN
anklet,reminder,reminder,reminder,NOUN
anklet,statement,statement,statement,NOUN
announcer,announce,announce,announce,NOUN
announcer,concerts,concerts,concert,NOUN
announcer,fun,fun,fun,NOUN
announcer,head,head,head,NOUN
announcer,inform,inform,inform,NOUN
announcer,loud,loud,loud,ADJ
announcer,speaker,speaker,speaker,NOUN
announcer,sports events,sports,sport,NOUN
announcer,sports events,events,event,NOUN
announcer,talk,talk,talk,VERB
announcer,to host a show,host,host,VERB
announcer,to host a show,show,show,NOUN
ant,ant farm,ant,ant,ADJ
ant,ant farm,farm,farm,NOUN
ant,bite you,bite,bite,VERB
ant,carry crumbs,carry,carry,VERB
ant,carry crumbs,crumbs,crumb,NOUN
ant,make anthills,make,make,VERB
ant,make anthills,anthills,anthill,NOUN
ant,squish,squish,squish,VERB
ant,support,support,support,NOUN
ant,to eat with chocolate,eat,eat,VERB
ant,to eat with chocolate,chocolate,chocolate,NOUN
antenna,amplify,amplify,amplify,VERB
antenna,catch signals,catch,catch,VERB
antenna,catch signals,signals,signal,NOUN
antenna,connect,connect,connect,VERB
antenna,feel,feel,feel,VERB
antenna,look at it,look,look,VERB
antenna,on cars for radio stations,cars,cars,NOUN
antenna,on cars for radio stations,radio,radio,NOUN
antenna,on cars for radio stations,stations,station,NOUN
antenna,pick up different channels,pick,pick,VERB
antenna,pick up different channels,different,different,ADJ
antenna,pick up different channels,channels,channel,NOUN
antenna,radio,radio,radio,NOUN
antenna,radio signals,radio,radio,NOUN
antenna,radio signals,signals,signal,NOUN
antenna,sensory organ,sensory,sensory,ADJ
antenna,sensory organ,organ,organ,NOUN
antenna,signal,signal,signal,NOUN
antenna,take a picture of it,take,take,VERB
antenna,take a picture of it,picture,picture,NOUN
antenna,tv channels,tv,tv,NOUN
antenna,tv channels,channels,channel,NOUN
antenna,use it,use,use,VERB
antenna,use to watch tv,use,use,VERB
antenna,use to watch tv,watch,watch,VERB
antenna,use to watch tv,tv,tv,NOUN
antennae,ants,ants,ant,NOUN
antennae,borrow,borrow,borrow,NOUN
antennae,break it,break,break,VERB
antennae,bugs,bugs,bug,NOUN
antennae,buy it,buy,buy,VERB
antennae,cars,cars,cars,NOUN
antennae,clothing line,clothing,clothing,NOUN
antennae,clothing line,line,line,NOUN
antennae,connect and talk,connect,connect,VERB
antennae,connect and talk,talk,talk,VERB
antennae,create sound,create,create,VERB
antennae,create sound,sound,sound,NOUN
antennae,get signal,signal,signal,NOUN
antennae,lend,lend,lend,NOUN
antennae,melt it,melt,melt,VERB
antennae,provide service,provide,provide,VERB
antennae,provide service,service,service,NOUN
antennae,radios,radios,radio,NOUN
antennae,radio-transmission,radio-transmission,radio,NOUN
antennae,rake,rake,rake,VERB
antennae,replace it,replace,replace,VERB
antennae,step on it,step,step,VERB
antennae,technology,technology,technology,NOUN
antennae,throw it,throw,throw,VERB
antennae,to listen,listen,listen,VERB
antennae,to put on tv,put,put,VERB
antennae,to put on tv,tv,tv,NOUN
antennae,to receive signal,receive,receive,VERB
