"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","affordance_corrected"
"w10012802_agb",22,"Version 40","clitoris",1173,"clothe","clothe"
"w10012802_agb",23,"Version 40","piccolo",1183,"play","play"
"w10012802_agb",23,"Version 40","piccolo",1183,"listen","listen"
"w10012802_agb",23,"Version 40","piccolo",1183,"hold","hold"
"w10012802_agb",23,"Version 40","piccolo",1183,"give","give"
"w10012802_agb",23,"Version 40","piccolo",1183,"clean","clean"
"w10012802_agb",23,"Version 40","piccolo",1183,"dust off","dust off"
"w10012802_agb",23,"Version 40","piccolo",1183,"sale","sale"
"w10012802_agb",23,"Version 40","piccolo",1183,"buy","buy"
"w10012802_agb",24,"Version 40","acorn",1198,"pick up","pick up"
"w10012802_agb",24,"Version 40","acorn",1198,"make fairy crafts","make fairy crafts"
"w10012802_agb",24,"Version 40","acorn",1198,"eat","eat"
"w10012802_agb",24,"Version 40","acorn",1198,"give to squirrels","give to squirrels"
"w10012802_agb",24,"Version 40","acorn",1198,"collect","collect"
"w10012802_agb",24,"Version 40","acorn",1198,"kick","kick"
"w10012802_agb",24,"Version 40","acorn",1198,"throw","throw"
"w10012802_agb",24,"Version 40","acorn",1198,"see","see"
"w10012802_agb",24,"Version 40","acorn",1198,"plant","plant"
"w10012802_agb",24,"Version 40","acorn",1198,"bury","bury"
"w10012802_agb",25,"Version 40","monk",1177,"consult","consult"
"w10012802_agb",25,"Version 40","monk",1177,"sit with","sit with"
"w10012802_agb",25,"Version 40","monk",1177,"listen","listen"
"w10012802_agb",25,"Version 40","monk",1177,"see","see"
"w10012802_agb",25,"Version 40","monk",1177,"read of","read of"
"w10012802_agb",25,"Version 40","monk",1177,"understand","understand"
"w10012802_agb",25,"Version 40","monk",1177,"acquaint with","acquaint with"
"w10012802_agb",25,"Version 40","monk",1177,"eat with","eat with"
"w10012802_agb",26,"Version 40","straitjacket",1188,"pull","pull"
"w10012802_agb",26,"Version 40","straitjacket",1188,"wash","wash"
"w10012802_agb",26,"Version 40","straitjacket",1188,"take","take"
"w10012802_agb",26,"Version 40","straitjacket",1188,"rip","rip"
"w10012802_agb",26,"Version 40","straitjacket",1188,"wear","wear"
"w10012802_agb",26,"Version 40","straitjacket",1188,"put on","put on"
"w10012802_agb",26,"Version 40","straitjacket",1188,"unbuckle","unbuckle"
"w10012802_agb",26,"Version 40","straitjacket",1188,"buckle","buckle"
"w10012802_agb",26,"Version 40","straitjacket",1188,"sew","sew"
"w10012802_agb",26,"Version 40","straitjacket",1188,"twist in","twist in"
"w10012802_agb",26,"Version 40","straitjacket",1188,"keep immobile","keep immobile"
"w10012802_agb",27,"Version 40","twine",1178,"twirl","twirl"
"w10012802_agb",27,"Version 40","twine",1178,"roll up","roll up"
"w10012802_agb",27,"Version 40","twine",1178,"gather","gather"
"w10012802_agb",27,"Version 40","twine",1178,"cut","cut"
"w10012802_agb",27,"Version 40","twine",1178,"tie","tie"
"w10012802_agb",27,"Version 40","twine",1178,"knot","knot"
"w10012802_agb",27,"Version 40","twine",1178,"thread","thread"
"w10012802_agb",27,"Version 40","twine",1178,"make bracelet","make bracelet"
"w10012802_agb",27,"Version 40","twine",1178,"macrame","macrame"
"w10012802_agb",27,"Version 40","twine",1178,"buy","buy"
"w10012802_agb",27,"Version 40","twine",1178,"give","give"
"w10012802_agb",27,"Version 40","twine",1178,"unravel","unravel"
"w10012802_agb",28,"Version 40","salad",1176,"eat","eat"
"w10012802_agb",28,"Version 40","salad",1176,"make","make"
"w10012802_agb",28,"Version 40","salad",1176,"stir","stir"
"w10012802_agb",28,"Version 40","salad",1176,"serve","serve"
"w10012802_agb",28,"Version 40","salad",1176,"add to meal","add to meal"
"w10012802_agb",28,"Version 40","salad",1176,"plate","plate"
"w10012802_agb",29,"Version 40","pie",1179,"eat","eat"
"w10012802_agb",29,"Version 40","pie",1179,"make","make"
"w10012802_agb",29,"Version 40","pie",1179,"bake","bake"
"w10012802_agb",29,"Version 40","pie",1179,"cool","cool"
"w10012802_agb",29,"Version 40","pie",1179,"store","store"
"w10012802_agb",29,"Version 40","pie",1179,"digest","digest"
"w10012802_agb",29,"Version 40","pie",1179,"taste","taste"
"w10012802_agb",29,"Version 40","pie",1179,"smell","smell"
"w10012802_agb",29,"Version 40","pie",1179,"feel","feel"
"w10012802_agb",30,"Version 40","makeup",1187,"wear","wear"
"w10012802_agb",30,"Version 40","makeup",1187,"give","give"
"w10012802_agb",30,"Version 40","makeup",1187,"hide","hide"
"w10012802_agb",30,"Version 40","makeup",1187,"dress up","dress up"
"w10012802_agb",30,"Version 40","makeup",1187,"make believe","make believe"
"w10012802_agb",30,"Version 40","makeup",1187,"cover","cover"
"w10012802_agb",31,"Version 40","canteen",1184,"eat","eat"
"w10012802_agb",31,"Version 40","canteen",1184,"buy","buy"
"w10012802_agb",32,"Version 40","porridge",1191,"bake","bake"
"w10012802_agb",32,"Version 40","porridge",1191,"eat","eat"
"w10012802_agb",32,"Version 40","porridge",1191,"give","give"
"w10012802_agb",32,"Version 40","porridge",1191,"serve","serve"
"w10012802_agb",32,"Version 40","porridge",1191,"cut","cut"
"w10012802_agb",32,"Version 40","porridge",1191,"scoop","scoop"
"w10012802_agb",32,"Version 40","porridge",1191,"smell","smell"
"w10012802_agb",32,"Version 40","porridge",1191,"cool","cool"
"w10012802_agb",32,"Version 40","porridge",1191,"store","store"
"w10012802_agb",33,"Version 40","oilcan",1201,"pour","pour"
"w10012802_agb",33,"Version 40","oilcan",1201,"store oil","store oil"
"w10012802_agb",33,"Version 40","oilcan",1201,"role","role"
"w10012802_agb",33,"Version 40","oilcan",1201,"funnel","funnel"
"w10012802_agb",33,"Version 40","oilcan",1201,"open","open"
"w10012802_agb",33,"Version 40","oilcan",1201,"close","close"
"w10012802_agb",33,"Version 40","oilcan",1201,"twist","twist"
"w10012802_agb",33,"Version 40","oilcan",1201,"unscrew","unscrew"
"w10012802_agb",33,"Version 40","oilcan",1201,"screw","screw"
"w10012802_agb",33,"Version 40","oilcan",1201,"wipe","wipe"
"w10012802_agb",34,"Version 40","epidermis",1192,"cut","cut"
"w10012802_agb",34,"Version 40","epidermis",1192,"break","break"
"w10012802_agb",34,"Version 40","epidermis",1192,"stitch","stitch"
"w10012802_agb",34,"Version 40","epidermis",1192,"moisten","moisten"
"w10012802_agb",34,"Version 40","epidermis",1192,"dry","dry"
"w10012802_agb",34,"Version 40","epidermis",1192,"wash","wash"
"w10012802_agb",34,"Version 40","epidermis",1192,"pull","pull"
"w10012802_agb",34,"Version 40","epidermis",1192,"pick","pick"
"w10012802_agb",34,"Version 40","epidermis",1192,"heal","heal"
"w10012802_agb",34,"Version 40","epidermis",1192,"feel","feel"
"w10012802_agb",35,"Version 40","denims",1182,"wear","wear"
"w10012802_agb",35,"Version 40","denims",1182,"buy","buy"
"w10012802_agb",35,"Version 40","denims",1182,"hem","hem"
"w10012802_agb",35,"Version 40","denims",1182,"sew","sew"
"w10012802_agb",35,"Version 40","denims",1182,"cut","cut"
"w10012802_agb",35,"Version 40","denims",1182,"fray","fray"
"w10012802_agb",35,"Version 40","denims",1182,"give","give"
"w10012802_agb",35,"Version 40","denims",1182,"roll","roll"
"w10012802_agb",35,"Version 40","denims",1182,"fold","fold"
"w10012802_agb",35,"Version 40","denims",1182,"hang","hang"
"w10012802_agb",35,"Version 40","denims",1182,"tuck","tuck"
"w10012802_agb",35,"Version 40","denims",1182,"grow into","grow into"
"w10012802_agb",35,"Version 40","denims",1182,"grow out of","grow out of"
"w10012802_agb",35,"Version 40","denims",1182,"shrink","shrink"
"w10012802_agb",35,"Version 40","denims",1182,"stretch","stretch"
"w10012802_agb",36,"Version 40","dance",1181,"learn","learn"
"w10012802_agb",36,"Version 40","dance",1181,"practice","practice"
"w10012802_agb",36,"Version 40","dance",1181,"remember","remember"
"w10012802_agb",36,"Version 40","dance",1181,"teach","teach"
"w10012802_agb",36,"Version 40","dance",1181,"walk through","walk through"
"w10012802_agb",36,"Version 40","dance",1181,"move through","move through"
"w10012802_agb",36,"Version 40","dance",1181,"think of","think of"
"w10012802_agb",36,"Version 40","dance",1181,"tell about","tell about"
"w10012802_agb",36,"Version 40","dance",1181,"watch","watch"
"w10012802_agb",36,"Version 40","dance",1181,"perform","perform"
"w10012802_agb",36,"Version 40","dance",1181,"choreograph","choreograph"
"w10012802_agb",36,"Version 40","dance",1181,"manipulate","manipulate"
"w10012802_agb",37,"Version 40","piercing",1185,"make pretty","make pretty"
"w10012802_agb",37,"Version 40","piercing",1185,"clean","clean"
"w10012802_agb",38,"Version 40","walker",1180,"walk dogs","walk dogs"
"w10012802_agb",38,"Version 40","walker",1180,"help others","help others"
"w10012802_agb",38,"Version 40","walker",1180,"exercise","exercise"
"w10012802_agb",38,"Version 40","walker",1180,"better health","better health"
"w10012802_agb",38,"Version 40","walker",1180,"see out","see out"
"w10012802_agb",38,"Version 40","walker",1180,"move around","move around"
"w10012802_agb",38,"Version 40","walker",1180,"talk to","talk to"
"w10012802_agb",38,"Version 40","walker",1180,"hear","hear"
"w10012802_agb",39,"Version 40","bleacher",1197,"sit on","sit on"
"w10012802_agb",39,"Version 40","bleacher",1197,"put away","put away"
"w10012802_agb",39,"Version 40","bleacher",1197,"clean","clean"
"w10012802_agb",39,"Version 40","bleacher",1197,"walk through","walk through"
"w10012802_agb",39,"Version 40","bleacher",1197,"walk over","walk over"
"w10012802_agb",39,"Version 40","bleacher",1197,"walk around","walk around"
"w10012802_agb",39,"Version 40","bleacher",1197,"sit under","sit under"
"w10012802_agb",39,"Version 40","bleacher",1197,"heat up","heat up"
"w10012802_agb",39,"Version 40","bleacher",1197,"feel","feel"
"w10012802_agb",39,"Version 40","bleacher",1197,"lay on","lay on"
"w10012802_agb",39,"Version 40","bleacher",1197,"see","see"
"w10012802_agb",39,"Version 40","bleacher",1197,"buy","buy"
"w10012802_agb",39,"Version 40","bleacher",1197,"move","move"
"w10012802_agb",40,"Version 40","tank",1174,"wear","wear"
"w10012802_agb",40,"Version 40","tank",1174,"tear","tear"
"w10012802_agb",40,"Version 40","tank",1174,"put on","put on"
"w10012802_agb",40,"Version 40","tank",1174,"take off","take off"
"w10012802_agb",40,"Version 40","tank",1174,"cut","cut"
"w10012802_agb",40,"Version 40","tank",1174,"tie die","tie die"
"w10012802_agb",40,"Version 40","tank",1174,"buy","buy"
"w10012802_agb",40,"Version 40","tank",1174,"stretch","stretch"
"w10012802_agb",40,"Version 40","tank",1174,"give","give"
"w10012802_agb",40,"Version 40","tank",1174,"shrink","shrink"
"w10012802_agb",40,"Version 40","tank",1174,"dirty","dirty"
"w10012802_agb",40,"Version 40","tank",1174,"sweat in","sweat in"
"w10012802_agb",40,"Version 40","tank",1174,"embroider","embroider"
"w10012802_agb",40,"Version 40","tank",1174,"stain","stain"
"w10012802_agb",40,"Version 40","tank",1174,"eat in","eat in"
"w10012802_agb",40,"Version 40","tank",1174,"cover body","cover body"
"w10042471",11,"Version 12","condiment",348,"hotdogs","hotdog"
"w10042471",11,"Version 12","condiment",348,"burgers","burgers"
"w10042471",11,"Version 12","condiment",348,"salads","salads"
"w10042471",11,"Version 12","condiment",348,"eggs","eggs"
"w10042471",11,"Version 12","condiment",348,"grits","grits"
"w10042471",11,"Version 12","condiment",348,"tater tots","tater tots"
"w10042471",11,"Version 12","condiment",348,"fast food","fast food"
"w10042471",11,"Version 12","condiment",348,"restaurants","restaurants"
"w10042471",12,"Version 12","toddler",350,"crib","crib"
"w10042471",12,"Version 12","toddler",350,"toys","toys"
"w10042471",12,"Version 12","toddler",350,"stroller","stroller"
"w10042471",12,"Version 12","toddler",350,"pacifier","pacifier"
"w10042471",12,"Version 12","toddler",350,"baby bib","baby bib"
"w10042471",12,"Version 12","toddler",350,"baby clothes","baby clothes"
"w10042471",12,"Version 12","toddler",350,"car seat","car seat"
"w10042471",12,"Version 12","toddler",350,"teddy bear","teddy bear"
"w10042471",13,"Version 12","closet",349,"clothes","clothes"
"w10042471",13,"Version 12","closet",349,"shoes","shoes"
"w10042471",13,"Version 12","closet",349,"storage","storage"
"w10042471",13,"Version 12","closet",349,"comforters","comforters"
"w10042471",13,"Version 12","closet",349,"sheets","sheets"
"w10042471",13,"Version 12","closet",349,"towels","towels"
"w10042471",13,"Version 12","closet",349,"blankets","blankets"
"w10042471",13,"Version 12","closet",349,"duffle bags","duffle bags"
"w10042471",13,"Version 12","closet",349,"hand bags","hand bags"
"w10042471",13,"Version 12","closet",349,"purses","purses"
"w10042471",13,"Version 12","closet",349,"vacuum cleaner","vacuum cleaner"
"w10042471",13,"Version 12","closet",349,"boxes","boxes"
"w10042471",13,"Version 12","closet",349,"electronics","electronics"
"w10042471",14,"Version 12","stockings",345,"gifts","gifts"
"w10042471",14,"Version 12","stockings",345,"presents","presents"
"w10042471",14,"Version 12","stockings",345,"coals","coals"
"w10042471",14,"Version 12","stockings",345,"decorations","decorations"
"w10042471",14,"Version 12","stockings",345,"christmas","christmas"
"w10042471",15,"Version 12","mulberry",340,"jams","jams"
"w10042471",15,"Version 12","mulberry",340,"preserves","preserves"
"w10042471",15,"Version 12","mulberry",340,"pies","pies"
"w10042471",15,"Version 12","mulberry",340,"cakes","cakes"
"w10042471",15,"Version 12","mulberry",340,"cookies","cookies"
"w10042471",15,"Version 12","mulberry",340,"trees ","trees "
"w10042471",16,"Version 12","champagne",334,"anniversary","anniversary"
"w10042471",16,"Version 12","champagne",334,"new year's day","new year's day"
"w10042471",16,"Version 12","champagne",334,"christmas","christmas"
"w10042471",16,"Version 12","champagne",334,"valentine's day","valentine's day"
"w10042471",16,"Version 12","champagne",334,"birthdays","birthdays"
"w10042471",16,"Version 12","champagne",334,"bars","bars"
"w10042471",16,"Version 12","champagne",334,"fancy restaurants","fancy restaurants"
"w10042471",16,"Version 12","champagne",334,"marriage proposals","marriage proposals"
"w10042471",17,"Version 12","dumbbell",352,"exercise","exercise"
"w10042471",17,"Version 12","dumbbell",352,"workout","workout"
"w10042471",17,"Version 12","dumbbell",352,"gym","gym"
"w10042471",17,"Version 12","dumbbell",352,"weight loss","weight loss"
"w10042471",17,"Version 12","dumbbell",352,"muscles","muscles"
"w10042471",18,"Version 12","bass",338,"music","music"
"w10042471",18,"Version 12","bass",338,"guitar","guitar"
"w10042471",18,"Version 12","bass",338,"jazz","jazz"
"w10042471",19,"Version 12","sifter",351,"dividing materials","dividing materials"
"w10042471",19,"Version 12","sifter",351,"big from small objects","big from small objects"
"w10042471",19,"Version 12","sifter",351,"beach","beach"
"w10042471",20,"Version 12","certificate",359,"job","job"
"w10042471",20,"Version 12","certificate",359,"acceptance to college or university","acceptance to college or university"
"w10042471",20,"Version 12","certificate",359,"business appreciation","business appreciation"
"w10042471",21,"Version 12","mall",341,"shoes","shoes"
"w10042471",21,"Version 12","mall",341,"dresses","dresses"
"w10042471",21,"Version 12","mall",341,"pants","pants"
"w10042471",21,"Version 12","mall",341,"food","food"
"w10042471",21,"Version 12","mall",341,"kids clothes","kids clothes"
"w10042471",21,"Version 12","mall",341,"beauty products","beauty products"
"w10042471",21,"Version 12","mall",341,"jewelry","jewelry"
"w10042471",21,"Version 12","mall",341,"prom","prom"
"w10042471",21,"Version 12","mall",341,"bed mattresses","bed mattresses"
"w10042471",21,"Version 12","mall",341,"home appliances","home appliances"
"w10042471",22,"Version 12","necklace",339,"looks","looks"
"w10042471",22,"Version 12","necklace",339,"style","style"
"w10042471",22,"Version 12","necklace",339,"meaning","meaning"
"w10042471",22,"Version 12","necklace",339,"remembrance ","remembrance "
"w10042471",23,"Version 12","String",335,"joggers","joggers"
"w10042471",23,"Version 12","String",335,"shoes","shoes"
"w10042471",23,"Version 12","String",335,"boots","boots"
"w10042471",23,"Version 12","String",335,"belt","belt"
"w10042471",23,"Version 12","String",335,"hold ","hold "
"w10042471",24,"Version 12","dock",337,"boats","boats"
"w10042471",24,"Version 12","dock",337,"fishing","fishing"
"w10042471",24,"Version 12","dock",337,"sailing","sailing"
"w10042471",24,"Version 12","dock",337,"lake","lake"
"w10042471",24,"Version 12","dock",337,"river","river"
"w10042471",25,"Version 12","beet",346,"crushed","crushed"
"w10042471",25,"Version 12","beet",346,"pickled","pickled"
"w10042471",25,"Version 12","beet",346,"sandwiches","sandwiches"
"w10042471",25,"Version 12","beet",346,"salt-roasted","salt-roasted"
"w10042471",25,"Version 12","beet",346,"risotto","risotto"
"w10042471",25,"Version 12","beet",346,"tomato soup","tomato soup"
"w10042471",25,"Version 12","beet",346,"soy-braised","soy-braised"
"w10042471",26,"Version 12","man",353,"father","father"
"w10042471",26,"Version 12","man",353,"brother","brother"
"w10042471",26,"Version 12","man",353,"husband","husband"
"w10042471",26,"Version 12","man",353,"god-father","god-father"
"w10042471",26,"Version 12","man",353,"grand father","grand father"
"w10042471",26,"Version 12","man",353,"boyfriend","boyfriend"
"w10042471",26,"Version 12","man",353,"great grand father","great grand father"
"w10042471",26,"Version 12","man",353,"step-father","step-father"
"w10042471",27,"Version 12","bartender",354,"alcohol","alcohol"
"w10042471",27,"Version 12","bartender",354,"drinks","drinks"
"w10042471",27,"Version 12","bartender",354,"cocktails","cocktails"
"w10042471",27,"Version 12","bartender",354,"shots","shots"
"w10042471",28,"Version 12","dairy",336,"milk","milk"
"w10042471",28,"Version 12","dairy",336,"cheese","cheese"
"w10042471",28,"Version 12","dairy",336,"butter","butter"
"w10042471",28,"Version 12","dairy",336,"sour cream","sour cream"
"w10042471",28,"Version 12","dairy",336,"eggs","eggs"
"w10042471",28,"Version 12","dairy",336,"ice cream","ice cream"
"w10042471",28,"Version 12","dairy",336,"cows","cows"
"w10042471",29,"Version 12","shot",357,"alcohol","alcohol"
"w10042471",29,"Version 12","shot",357,"basketball hoop","basketball hoop"
"w10042471",29,"Version 12","shot",357,"dating","dating"
"w10042471",30,"Version 12","mayonnaise",343,"burgers","burgers"
"w10042471",30,"Version 12","mayonnaise",343,"hotdogs","hotdog"
"w10042471",30,"Version 12","mayonnaise",343,"condiment","condiment"
"w10042471",31,"Version 12","cobweb",360,"spider","spider"
"w10042471",31,"Version 12","cobweb",360,"abandoned house","abandoned house"
"w10042471",31,"Version 12","cobweb",360,"forest","forest"
