Username,Trial,Condition.Number,Condition.Notes,Stimuli.Cue,Procedure.Item,Procedure.Max.Time,Procedure.Min.Time,Response.RT,Response.RTfirst,Response.RTlast,affordance,affordance_corrected,affordance_lemma,POS,Lemma
10012878_CL,27,2,List 2,gondola,53,-,-,30249,6148,29227,viewing,viewing,view,VBG,view
10012878_CL,27,2,List 2,gondola,53,-,-,30249,6148,29227,entertainment,entertainment,entertainment,NN,entertainment
10012878_CL,27,2,List 2,gondola,53,-,-,30249,6148,29227,privacy,privacy,privacy,NN,privacy
10012878_CL,27,2,List 2,gondola,53,-,-,30249,6148,29227,relaxing,relaxing,relax,VBG,relax
10012878_CL,27,2,List 2,gondola,53,-,-,30249,6148,29227,fun,fun,fun,JJ,fun
10012878_CL,27,2,List 2,gondola,53,-,-,30249,6148,29227,vacation,vacation,vacation,NN,vacation
10012878_CL,28,2,List 2,antibiotics,56,-,-,16197,1627,15134,medicine,medicine,medicine,NN,medicine
10012878_CL,28,2,List 2,antibiotics,56,-,-,16197,1627,15134,treatment,treatment,treatment,NN,treatment
10012878_CL,28,2,List 2,antibiotics,56,-,-,16197,1627,15134,illnesses,illnesses,illness,VBZ,illnesses
10012878_CL,28,2,List 2,antibiotics,56,-,-,16197,1627,15134,curing,curing,cure,VBG,cure
10012878_CL,29,2,List 2,tripe,57,-,-,47141,40718,46054,consuming,consuming,consume,VBG,consume
10012878_CL,29,2,List 2,tripe,57,-,-,47141,40718,46054,eating,eating,eat,VBG,eat
10012878_CL,30,2,List 2,dolphin,49,-,-,14868,1307,13808,swimming,swimming,swim,VBG,swim
10012878_CL,30,2,List 2,dolphin,49,-,-,14868,1307,13808,talking,talking,talk,VBG,talk
10012878_CL,30,2,List 2,dolphin,49,-,-,14868,1307,13808,entertainment,entertainment,entertainment,NN,entertainment
10012878_CL,31,2,List 2,bottle,36,-,-,16548,1263,15582,drinking,drinking,drink,VBG,drink
10012878_CL,31,2,List 2,bottle,36,-,-,16548,1263,15582,holding,holding,hold,VBG,hold
10012878_CL,31,2,List 2,bottle,36,-,-,16548,1263,15582,filling,filling,fill,VBG,fill
10012878_CL,31,2,List 2,bottle,36,-,-,16548,1263,15582,preserving,preserving,preserve,VBG,preserve
10012878_CL,32,2,List 2,turban,41,-,-,23563,1751,22148,holding,holding,hold,VBG,hold
10012878_CL,32,2,List 2,turban,41,-,-,23563,1751,22148,fashion,fashion,fashion,NN,fashion
10012878_CL,32,2,List 2,turban,41,-,-,23563,1751,22148,religion,religion,religion,NN,religion
10012878_CL,33,2,List 2,gunpowder,55,-,-,16301,1761,11694,shooting,shooting,shoot,VBG,shoot
10012878_CL,33,2,List 2,gunpowder,55,-,-,16301,1761,11694,crafting,crafting,craft,VBG,craft
10012878_CL,33,2,List 2,gunpowder,55,-,-,16301,1761,11694,making,making,make,VBG,make
10012878_CL,33,2,List 2,gunpowder,55,-,-,16301,1761,11694,bullets,bullets,bullet,NNS,bullet
10012878_CL,34,2,List 2,prankster,52,-,-,14664,1444,13641,jokes,jokes,joke,JJ,jokes
10012878_CL,34,2,List 2,prankster,52,-,-,14664,1444,13641,views,views,view,NNS,view
10012878_CL,34,2,List 2,prankster,52,-,-,14664,1444,13641,laughter,laughter,laughter,RBR,laughter
10012878_CL,34,2,List 2,prankster,52,-,-,14664,1444,13641,entertainment,entertainment,entertainment,NN,entertainment
10012878_CL,35,2,List 2,newscaster,33,-,-,15187,2841,13990,gossip,gossip,gossip,NN,gossip
10012878_CL,35,2,List 2,newscaster,33,-,-,15187,2841,13990,entertainment,entertainment,entertainment,NN,entertainment
10012878_CL,35,2,List 2,newscaster,33,-,-,15187,2841,13990,curiousity,curiosity,curiosity,NN,curiosity
10012878_CL,36,2,List 2,rainwater,61,-,-,22051,4133,19190,recycling,recycling,recycle,VBG,recycle
10012878_CL,36,2,List 2,rainwater,61,-,-,22051,4133,19190,drink,drink,drink,VB,drink
10012878_CL,36,2,List 2,rainwater,61,-,-,22051,4133,19190,planting,planting,plant,VBG,plant
10012878_CL,36,2,List 2,rainwater,61,-,-,22051,4133,19190,farming,farming,farm,VBG,farm
10012878_CL,37,2,List 2,yourself,35,-,-,54671,3313,24213,adventures,adventures,adventure,NNS,adventure
10012878_CL,37,2,List 2,yourself,35,-,-,54671,3313,24213,entertainment,entertainment,entertainment,NN,entertainment
10012878_CL,38,2,List 2,boot,42,-,-,5967,1267,5151,walking,walking,walk,VBG,walk
10012878_CL,38,2,List 2,boot,42,-,-,5967,1267,5151,stomping,stomping,stomp,VBG,stomp
10012878_CL,39,2,List 2,toy,44,-,-,6401,1215,4583,playing,playing,play,VBG,play
10012878_CL,39,2,List 2,toy,44,-,-,6401,1215,4583,entertainment,entertainment,entertainment,NN,entertainment
10012878_CL,40,2,List 2,choreographer,45,-,-,9942,1277,5927,art,art,art,NN,art
10012878_CL,40,2,List 2,choreographer,45,-,-,9942,1277,5927,dancing,dancing,dance,VBG,dance
10016155,11,24,List 74,engineer,2203,-,-,27448,3665,24400,chemical,chemical,chemical,JJ,chemical
10016155,11,24,List 74,engineer,2203,-,-,27448,3665,24400,electrical,electrical,electrical,JJ,electrical
10016155,11,24,List 74,engineer,2203,-,-,27448,3665,24400,mechanical,mechanical,mechanical,JJ,mechanical
10016155,12,24,List 74,watchband,2207,-,-,12292,2447,11625,worn,worn,wear,NN,worn
10016155,12,24,List 74,watchband,2207,-,-,12292,2447,11625,used,used,use,VBN,use
10016155,12,24,List 74,watchband,2207,-,-,12292,2447,11625,touched,touched,touch,VBD,touch
10016155,13,24,List 74,abacus,2197,-,-,17071,14472,15439,thrown,thrown,throw,JJ,thrown
10016155,15,24,List 74,duster,2192,-,-,8561,3584,7898,clean,clean,clean,JJ,clean
10016155,15,24,List 74,duster,2192,-,-,8561,3584,7898,pick,pick,pick,NN,pick
10016155,16,24,List 74,eyewash,2220,-,-,15596,2915,10132,ease,ease,ease,NN,ease
10016155,16,24,List 74,eyewash,2220,-,-,15596,2915,10132,pain,pain,pain,NN,pain
10016155,16,24,List 74,eyewash,2220,-,-,15596,2915,10132,rinse,rinse,rinse,NN,rinse
10016155,17,24,List 74,underclothing,2200,-,-,13476,3366,12946,worn,worn,wear,NN,worn
10016155,17,24,List 74,underclothing,2200,-,-,13476,3366,12946,washed,washed,wash,VBD,wash
10016155,17,24,List 74,underclothing,2200,-,-,13476,3366,12946,folded,folded,fold,JJ,folded
10016155,18,24,List 74,lunchroom,2201,-,-,16962,12765,16635,eat,eat,eat,NN,eat
10016155,19,24,List 74,percolator,2195,-,-,3887,3127,3413,idk,id,id,NN,id
10016155,20,24,List 74,props,2221,-,-,5081,2079,4813,used,used,use,VBN,use
10016155,20,24,List 74,props,2221,-,-,5081,2079,4813,play,play,play,NN,play
10016155,21,24,List 74,teacher,2202,-,-,8168,4143,7831,help,help,help,NN,help
10016155,21,24,List 74,teacher,2202,-,-,8168,4143,7831,students,students,student,NNS,student
10016155,21,24,List 74,teacher,2202,-,-,8168,4143,7831,learn,learn,learn,VBP,learn
10016155,22,24,List 74,electrician,2211,-,-,14855,2488,14346,works,works,work,VBZ,work
10016155,22,24,List 74,electrician,2211,-,-,14855,2488,14346,electrical,electrical,electrical,JJ,electrical
10016155,22,24,List 74,electrician,2211,-,-,14855,2488,14346,problems,problems,problem,NNS,problem
10016155,22,24,List 74,electrician,2211,-,-,14855,2488,14346,issues,issues,issue,NNS,issue
10016155,23,24,List 74,flaxseed,2216,-,-,6553,1837,6202,eaten,eaten,eat,VBP,eat
10016155,23,24,List 74,flaxseed,2216,-,-,6553,1837,6202,grown,grown,grow,VBN,grow
10016155,24,24,List 74,gasket,2208,-,-,12374,8656,10866,used,used,use,JJ,used
10016155,24,24,List 74,gasket,2208,-,-,12374,8656,10866,fixe,fix,fix,NN,fix
10016155,25,24,List 74,trench,2218,-,-,9216,2206,8917,dug,dug,dig,NN,dug
10016155,25,24,List 74,trench,2218,-,-,9216,2206,8917,walk,walk,walk,VBP,walk
10016155,26,24,List 74,rowboat,2194,-,-,11358,2741,11030,get,get,get,VB,get
10016155,26,24,List 74,rowboat,2194,-,-,11358,2741,11030,places,places,place,NNS,place
10016155,27,24,List 74,thumbtack,2210,-,-,10786,4237,10411,hold,hold,hold,VB,hold
10016155,27,24,List 74,thumbtack,2210,-,-,10786,4237,10411,something,something,something,NN,something
10016155,28,24,List 74,tangerine,2214,-,-,7545,2032,7292,eaten,eaten,eat,JJ,eaten
10016155,28,24,List 74,tangerine,2214,-,-,7545,2032,7292,picked,picked,pick,VBD,pick
10016155,28,24,List 74,tangerine,2214,-,-,7545,2032,7292,grown,grown,grow,JJ,grown
10016155,29,24,List 74,coaster,2204,-,-,11278,3962,10225,hold,hold,hold,JJ,hold
10016155,29,24,List 74,coaster,2204,-,-,11278,3962,10225,drinks,drinks,drink,NNS,drink
10016155,30,24,List 74,shank,2205,-,-,3401,1781,2480,stab,stab,stab,VBP,stab
10016155,31,24,List 74,parchment,2219,-,-,6892,3297,6706,used,used,use,VBN,use
10016155,31,24,List 74,parchment,2219,-,-,6892,3297,6706,cooking,cooking,cook,NN,cooking
10016155,32,24,List 74,tablecloth,2213,-,-,8240,1629,7989,used,used,use,VBN,use
10016155,32,24,List 74,tablecloth,2213,-,-,8240,1629,7989,help,help,help,NN,help
10016155,32,24,List 74,tablecloth,2213,-,-,8240,1629,7989,keep,keep,keep,VB,keep
10016155,32,24,List 74,tablecloth,2213,-,-,8240,1629,7989,table,table,table,JJ,table
10016155,32,24,List 74,tablecloth,2213,-,-,8240,1629,7989,clean,clean,clean,JJ,clean
10016155,33,24,List 74,worksheet,2198,-,-,6433,2387,6147,turn,turn,turn,NN,turn
10016155,33,24,List 74,worksheet,2198,-,-,6433,2387,6147,work,work,work,NN,work
10016155,34,24,List 74,stem,2196,-,-,6604,5472,6471,picked,picked,pick,VBD,pick
10016155,35,24,List 74,lunch,2212,-,-,2173,1108,1886,eaten,eaten,eat,JJ,eaten
10016155,36,24,List 74,cheek,2193,-,-,11216,4528,11035,gets,gets,get,VBZ,get
10016155,36,24,List 74,cheek,2193,-,-,11216,4528,11035,red,red,red,JJ,red
10016155,36,24,List 74,cheek,2193,-,-,11216,4528,11035,helps,helps,help,NN,help
10016155,36,24,List 74,cheek,2193,-,-,11216,4528,11035,smile,smile,smile,VB,smile
10016155,37,24,List 74,salamander,2206,-,-,13764,4657,13292,pet,pet,pet,NN,pet
10016155,37,24,List 74,salamander,2206,-,-,13764,4657,13292,wild,wild,wild,NN,wild
10016155,37,24,List 74,salamander,2206,-,-,13764,4657,13292,also,also,also,RB,also
10016155,38,24,List 74,ruler,2217,-,-,5872,1748,5652,used,used,use,VBD,use
10016155,38,24,List 74,ruler,2217,-,-,5872,1748,5652,measure,measure,measure,NN,measure
10016155,39,24,List 74,stepbrother,2215,-,-,9883,3092,9686,advice,advice,advice,NN,advice
10016155,39,24,List 74,stepbrother,2215,-,-,9883,3092,9686,quality,quality,quality,NN,quality
10016155,39,24,List 74,stepbrother,2215,-,-,9883,3092,9686,time,time,time,NN,time
10016155,40,24,List 74,stage,2209,-,-,9937,2876,9383,perform,perform,perform,VB,perform
10016155,40,24,List 74,stage,2209,-,-,9937,2876,9383,sing,sing,sing,VBG,sing
10016155,40,24,List 74,stage,2209,-,-,9937,2876,9383,dance,dance,dance,NN,dance
10016155,40,24,List 74,stage,2209,-,-,9937,2876,9383,worship,worship,worship,NN,worship
10022956deh,11,3,List 78,kiss,2312,-,-,10748,2345,9236,express,express,express,JJ,express
10022956deh,11,3,List 78,kiss,2312,-,-,10748,2345,9236,feelings,feelings,feeling,NNS,feeling
10022956deh,12,3,List 78,sugarcane,2336,-,-,3962,1751,3039,sweetner,sweeter,sweet,NN,sweeter
10022956deh,13,3,List 78,gymnast,2321,-,-,6656,1708,4815,entertainmetn,entertainment,entertainment,NN,entertainment
10022956deh,14,3,List 78,bonnet,2318,-,-,13139,5034,12562,protect,protect,protect,VBP,protect
10022956deh,14,3,List 78,bonnet,2318,-,-,13139,5034,12562,hair,hair,hair,NN,hair
10022956deh,14,3,List 78,bonnet,2318,-,-,13139,5034,12562,wear,wear,wear,JJ,wear
10022956deh,14,3,List 78,bonnet,2318,-,-,13139,5034,12562,night,night,night,NN,night
10022956deh,15,3,List 78,turnstile,2324,-,-,5398,2621,4769,idk,id,id,NN,id
10022956deh,16,3,List 78,rug,2319,-,-,9504,1705,8871,decoration,decoration,decoration,NN,decoration
10022956deh,16,3,List 78,rug,2319,-,-,9504,1705,8871,floor,floor,floor,NN,floor
10022956deh,16,3,List 78,rug,2319,-,-,9504,1705,8871,warmth,warmth,warmth,VBZ,warmth
10022956deh,17,3,List 78,pretzel,2322,-,-,7936,4497,7209,eat,eat,eat,NN,eat
10022956deh,17,3,List 78,pretzel,2322,-,-,7936,4497,7209,sell,sell,sell,VB,sell
10022956deh,18,3,List 78,cop,2320,-,-,19240,3631,19005,estableish,establish,establish,VB,establish
10022956deh,18,3,List 78,cop,2320,-,-,19240,3631,19005,order,order,order,NN,order
10022956deh,18,3,List 78,cop,2320,-,-,19240,3631,19005,occupation,occupation,occupation,NN,occupation
10022956deh,19,3,List 78,mousse,2335,-,-,6428,1849,6218,hair,hair,hair,NN,hair
10022956deh,19,3,List 78,mousse,2335,-,-,6428,1849,6218,dessert,dessert,dessert,NN,dessert
10022956deh,20,3,List 78,goddaughter,2341,-,-,12268,5354,9949,help,help,help,NN,help
10022956deh,20,3,List 78,goddaughter,2341,-,-,12268,5354,9949,parents,parents,parent,NNS,parent
10022956deh,21,3,List 78,ribbon,2334,-,-,12085,1760,11880,hair,hair,hair,JJ,hair
10022956deh,21,3,List 78,ribbon,2334,-,-,12085,1760,11880,decoration,decoration,decoration,NN,decoration
10022956deh,21,3,List 78,ribbon,2334,-,-,12085,1760,11880,tie,tie,tie,NN,tie
10022956deh,21,3,List 78,ribbon,2334,-,-,12085,1760,11880,stuff,stuff,stuff,NN,stuff
10022956deh,22,3,List 78,dresser,2333,-,-,13120,1928,12637,hold,hold,hold,NN,hold
10022956deh,22,3,List 78,dresser,2333,-,-,13120,1928,12637,clothes,clothes,clothe,NNS,clothes
10022956deh,22,3,List 78,dresser,2333,-,-,13120,1928,12637,set,set,set,VBD,set
10022956deh,22,3,List 78,dresser,2333,-,-,13120,1928,12637,things,things,thing,NNS,thing
10022956deh,22,3,List 78,dresser,2333,-,-,13120,1928,12637,room,room,room,NN,room
10022956deh,23,3,List 78,butcher,2337,-,-,5508,1268,5023,cut,cut,cut,NN,cut
10022956deh,23,3,List 78,butcher,2337,-,-,5508,1268,5023,meat,meat,meat,NN,meat
10022956deh,23,3,List 78,butcher,2337,-,-,5508,1268,5023,occupation,occupation,occupation,NN,occupation
10022956deh,24,3,List 78,windsock,2331,-,-,16582,2780,16418,catch,catch,catch,NN,catch
10022956deh,24,3,List 78,windsock,2331,-,-,16582,2780,16418,wind,wind,wind,NN,wind
10022956deh,24,3,List 78,windsock,2331,-,-,16582,2780,16418,looks,looks,look,VBZ,look
10022956deh,24,3,List 78,windsock,2331,-,-,16582,2780,16418,nice,nice,nice,JJ,nice
10022956deh,25,3,List 78,mirror,2329,-,-,18217,1340,18067,see,see,see,VB,see
10022956deh,25,3,List 78,mirror,2329,-,-,18217,1340,18067,self,self,self,JJ,self
10022956deh,25,3,List 78,mirror,2329,-,-,18217,1340,18067,help,help,help,VB,help
10022956deh,25,3,List 78,mirror,2329,-,-,18217,1340,18067,fix,fix,fix,VB,fix
10022956deh,25,3,List 78,mirror,2329,-,-,18217,1340,18067,mistakes,mistakes,mistake,NNS,mistake
10022956deh,26,3,List 78,bully,2325,-,-,5626,2803,4788,mean,mean,mean,JJ,mean
10022956deh,26,3,List 78,bully,2325,-,-,5626,2803,4788,others,others,other,NNS,others
10022956deh,27,3,List 78,colleague,2326,-,-,10273,2027,10119,maybe,maybe,maybe,RB,maybe
10022956deh,27,3,List 78,colleague,2326,-,-,10273,2027,10119,friend,friend,friend,VBP,friend
10022956deh,27,3,List 78,colleague,2326,-,-,10273,2027,10119,help,help,help,NN,help
10022956deh,27,3,List 78,colleague,2326,-,-,10273,2027,10119,job,job,job,NN,job
10022956deh,28,3,List 78,sphincter,2323,-,-,5424,2762,4677,body,body,body,NN,body
10022956deh,28,3,List 78,sphincter,2323,-,-,5424,2762,4677,part,part,part,NN,part
10022956deh,29,3,List 78,plantain,2317,-,-,10695,1353,10469,food,food,food,NN,food
10022956deh,29,3,List 78,plantain,2317,-,-,10695,1353,10469,cultural,cultural,cultural,JJ,cultural
10022956deh,29,3,List 78,plantain,2317,-,-,10695,1353,10469,significance,significance,significance,NN,significance
10022956deh,30,3,List 78,roadster,2330,-,-,6325,1855,5700,idk,id,id,NN,id
10022956deh,31,3,List 78,silverware,2316,-,-,5398,1457,5137,help,help,help,NN,help
10022956deh,31,3,List 78,silverware,2316,-,-,5398,1457,5137,eating,eating,eat,VBG,eat
10022956deh,32,3,List 78,friend,2314,-,-,22578,1728,22405,person,person,person,NN,person
10022956deh,32,3,List 78,friend,2314,-,-,22578,1728,22405,help,help,help,NN,help
10022956deh,32,3,List 78,friend,2314,-,-,22578,1728,22405,hard,hard,hard,VB,hard
10022956deh,32,3,List 78,friend,2314,-,-,22578,1728,22405,times,times,time,NNS,time
10022956deh,32,3,List 78,friend,2314,-,-,22578,1728,22405,wants,wants,want,VBZ,want
10022956deh,32,3,List 78,friend,2314,-,-,22578,1728,22405,whats,whats,whats,NNS,whats
10022956deh,32,3,List 78,friend,2314,-,-,22578,1728,22405,best,best,good,RB,best
10022956deh,33,3,List 78,garter,2328,-,-,6322,4487,5587,lingere,linger,linger,JJR,linger
10022956deh,34,3,List 78,urn,2339,-,-,7690,1360,7433,hold,hold,hold,VB,hold
10022956deh,34,3,List 78,urn,2339,-,-,7690,1360,7433,ashes,ashes,ash,NNS,ash
10022956deh,34,3,List 78,urn,2339,-,-,7690,1360,7433,decoration,decoration,decoration,NN,decoration
10022956deh,35,3,List 78,limeade,2332,-,-,2291,1132,2025,drink,drink,drink,VBP,drink
10022956deh,36,3,List 78,turkey,2340,-,-,9076,1424,6927,animal,animal,animal,JJ,animal
10022956deh,36,3,List 78,turkey,2340,-,-,9076,1424,6927,food,food,food,NN,food
10022956deh,37,3,List 78,tavern,2338,-,-,13615,3825,12970,holds,holds,hold,VBZ,hold
10022956deh,37,3,List 78,tavern,2338,-,-,13615,3825,12970,people,people,people,NNS,people
10022956deh,37,3,List 78,tavern,2338,-,-,13615,3825,12970,serve,serve,serve,VBP,serve
10022956deh,37,3,List 78,tavern,2338,-,-,13615,3825,12970,drinks,drinks,drink,NNS,drink
10022956deh,38,3,List 78,bookbinder,2313,-,-,7764,1847,7397,holds,holds,hold,VBZ,hold
10022956deh,38,3,List 78,bookbinder,2313,-,-,7764,1847,7397,books,books,book,NNS,book
10022956deh,38,3,List 78,bookbinder,2313,-,-,7764,1847,7397,together,together,together,RB,together
10022956deh,39,3,List 78,drawstring,2315,-,-,8807,3172,8627,tighten,tighten,tighten,VBP,tighten
10022956deh,39,3,List 78,drawstring,2315,-,-,8807,3172,8627,hoodie,hoodie,hoodie,JJ,hoodie
10022956deh,40,3,List 78,cigarette,2327,-,-,9867,2259,9656,cancer,cancer,cancer,NN,cancer
10022956deh,40,3,List 78,cigarette,2327,-,-,9867,2259,9656,stick,stick,stick,NN,stick
10022956deh,40,3,List 78,cigarette,2327,-,-,9867,2259,9656,stress,stress,stress,NN,stress
10022956deh,40,3,List 78,cigarette,2327,-,-,9867,2259,9656,relief,relief,relief,NN,relief
10030457AB,11,18,List 93,protester,2782,-,-,47062,22366,45250,justice,justice,justice,NN,justice
10030457AB,11,18,List 93,protester,2782,-,-,47062,22366,45250,marching,marching,march,VBG,march
10030457AB,11,18,List 93,protester,2782,-,-,47062,22366,45250,refusing,refusing,refuse,VBG,refuse
10030457AB,11,18,List 93,protester,2782,-,-,47062,22366,45250,something,something,something,NN,something
10030457AB,12,18,List 93,stationmaster,2780,-,-,281673,241324,278848,leader,leader,leader,NN,leader
10030457AB,12,18,List 93,stationmaster,2780,-,-,281673,241324,278848,railways,railways,railway,VBZ,railways
10030457AB,12,18,List 93,stationmaster,2780,-,-,281673,241324,278848,controller,controller,controller,NN,controller
10030457AB,12,18,List 93,stationmaster,2780,-,-,281673,241324,278848,expert,expert,expert,NN,expert
10030457AB,13,18,List 93,bullfighter,2762,-,-,50588,6968,45998,spain,spain,spain,NN,spain
10030457AB,13,18,List 93,bullfighter,2762,-,-,50588,6968,45998,fearless,fearless,fearless,JJ,fearless
10030457AB,13,18,List 93,bullfighter,2762,-,-,50588,6968,45998,practice,practice,practice,NN,practice
10030457AB,13,18,List 93,bullfighter,2762,-,-,50588,6968,45998,entertaining,entertaining,entertain,VBG,entertain
10030457AB,14,18,List 93,straightedge,2788,-,-,60235,35119,51250,measuring,measuring,measure,VBG,measure
10030457AB,14,18,List 93,straightedge,2788,-,-,60235,35119,51250,accuracy,accuracy,accuracy,NN,accuracy
10030457AB,15,18,List 93,rubber,2779,-,-,43200,4194,36199,strong,strong,strong,JJ,strong
10030457AB,15,18,List 93,rubber,2779,-,-,43200,4194,36199,tire,tire,tire,NN,tire
10030457AB,15,18,List 93,rubber,2779,-,-,43200,4194,36199,flexible,flexible,flexible,JJ,flexible
10030457AB,15,18,List 93,rubber,2779,-,-,43200,4194,36199,strong,strong,strong,JJ,strong
10030457AB,15,18,List 93,rubber,2779,-,-,43200,4194,36199,hold,hold,hold,NN,hold
10030457AB,16,18,List 93,outfielder,2787,-,-,31466,5057,28971,baseball,baseball,baseball,NN,baseball
10030457AB,16,18,List 93,outfielder,2787,-,-,31466,5057,28971,athlete,athlete,athlete,VBP,athlete
10030457AB,16,18,List 93,outfielder,2787,-,-,31466,5057,28971,catcher,catcher,catcher,JJR,catcher
10030457AB,17,18,List 93,gentleman,2769,-,-,51402,4308,50291,manners,manners,manner,NNS,manner
10030457AB,17,18,List 93,gentleman,2769,-,-,51402,4308,50291,caring,caring,care,VBG,care
10030457AB,17,18,List 93,gentleman,2769,-,-,51402,4308,50291,respect,respect,respect,NN,respect
10030457AB,17,18,List 93,gentleman,2769,-,-,51402,4308,50291,honest,honest,honest,JJS,honest
10030457AB,17,18,List 93,gentleman,2769,-,-,51402,4308,50291,considerate,considerate,considerate,NN,considerate
