Stimuli.Cue,affordance_parsed,word,lemma,POS,School
toothpick,writing,writing,write,VERB,UCONN
bedclothes,sleep,sleep,sleep,VERB,UCONN
bedclothes,comfort,comfort,comfort,VERB,UCONN
bedclothes,naps,naps,nap,VERB,UCONN
bedclothes,no clean laundry,clean,clean,VERB,UCONN
bedclothes,no clean laundry,laundry,laundry,NOUN,UCONN
supermarket,buy food,buy,buy,VERB,UCONN
supermarket,buy food,food,food,NOUN,UCONN
supermarket,work,work,work,NOUN,UCONN
supermarket,buy gift cards,buy,buy,VERB,UCONN
supermarket,buy gift cards,gift,gift,NOUN,UCONN
supermarket,buy gift cards,cards,card,NOUN,UCONN
supermarket,buy diapers,buy,buy,VERB,UCONN
supermarket,buy diapers,diapers,diaper,NOUN,UCONN
supermarket,buy lottery tickets,buy,buy,VERB,UCONN
supermarket,buy lottery tickets,lottery,lottery,NOUN,UCONN
supermarket,buy lottery tickets,tickets,ticket,NOUN,UCONN
treat,for animals,animals,animal,NOUN,UCONN
treat,to make kids happy,make,make,VERB,UCONN
treat,to make kids happy,kids,kid,NOUN,UCONN
treat,to make kids happy,happy,happy,ADJ,UCONN
treat,a reward,reward,reward,VERB,UCONN
fertilizer,kill bugs,kill,kill,VERB,UCONN
fertilizer,kill bugs,bugs,bug,NOUN,UCONN
fertilizer,grow plants,grow,grow,VERB,UCONN
fertilizer,grow plants,plants,plant,NOUN,UCONN
youngster,entertainment,entertainment,entertain,VERB,UCONN
skirt,as the bottom of an outfit,bottom,bottom,NOUN,UCONN
skirt,as the bottom of an outfit,outfit,outfit,NOUN,UCONN
skirt,as a top,top,top,ADJ,UCONN
skirt,as a halloween costume,halloween,halloween,AUX,UCONN
skirt,as a halloween costume,costume,costume,NOUN,UCONN
skirt,as a napkin,napkin,napkin,NOUN,UCONN
protractor,help with math homework,help,help,VERB,UCONN
protractor,help with math homework,math,math,NOUN,UCONN
protractor,help with math homework,homework,homework,NOUN,UCONN
protractor,building someting,building,build,VERB,UCONN
protractor,building someting,something,something,PRON,UCONN
Sailboat,as a house,house,house,NOUN,UCONN
Sailboat,mode of transportation,mode,mode,NOUN,UCONN
Sailboat,mode of transportation,transportation,transport,VERB,UCONN
Sailboat,fun activity,fun,fun,NOUN,UCONN
Sailboat,fun activity,activity,activity,NOUN,UCONN
kumquat,breakfast,breakfast,breakfast,NOUN,UCONN
kumquat,desert,desert,desert,NOUN,UCONN
kumquat,snack,snack,snack,VERB,UCONN
uniform,school,school,school,NOUN,UCONN
uniform,work,work,work,NOUN,UCONN
uniform,sports,sports,sport,NOUN,UCONN
scanner,pay for things,pay,pay,VERB,UCONN
scanner,pay for things,things,thing,NOUN,UCONN
scanner,barcodes,barcode,barcode,NOUN,UCONN
scooter,transportation,transportation,transport,VERB,UCONN
scooter,activity,activity,activity,NOUN,UCONN
scooter,fun,fun,fun,NOUN,UCONN
committeewoman,adovcate,advocate,advocate,VERB,UCONN
attendant,helpful,helpful,help,VERB,UCONN
attendant,nice,nice,nice,ADJ,UCONN
attendant,waitress,waitress,waitress,NOUN,UCONN
grandfather,money,money,money,NOUN,UCONN
grandfather,love,love,love,VERB,UCONN
grandfather,jokes,jokes,joke,NOUN,UCONN
balloonist,balloon animals,balloon,balloon,NOUN,UCONN
balloonist,balloon animals,animals,animal,NOUN,UCONN
garment,clothes,clothes,clothes,NOUN,UCONN
garment,jacket,jacket,jacket,NOUN,UCONN
garment,socks,socks,sock,NOUN,UCONN
garment,underwear,underwear,underwear,ADJ,UCONN
ukulele,music,music,music,NOUN,UCONN
ukulele,songs,songs,song,NOUN,UCONN
ukulele,beach,beach,beach,NOUN,UCONN
ukulele,happy,happy,happy,VERB,UCONN
donkey,transportation,transportation,transport,VERB,UCONN
donkey,pet,pet,pet,VERB,UCONN
paintbrush,to paint,paint,paint,VERB,UCONN
paintbrush,to do makeup,makeup,makeup,NOUN,UCONN
bran,cereal,cereal,cereal,NOUN,UCONN
bran,oats,oats,oat,NOUN,UCONN
bus,to go to school,go,go,VERB,UCONN
bus,to go to school,school,school,NOUN,UCONN
bus,transportation,transportation,transport,VERB,UCONN
crib,baby,baby,baby,NOUN,UCONN
crib,house,house,house,NOUN,UCONN
crib,party,party,party,NOUN,UCONN
spout,water,water,water,NOUN,UCONN
cornmeal,eat,eat,eat,VERB,UCONN
cornmeal,cook,cook,cake,VERB,UCONN
crossbar,build,build,build,VERB,UCONN
crossbar,baseball bat,baseball,baseball,NOUN,UCONN
crossbar,baseball bat,bat,bat,NOUN,UCONN
breakfast,eat,eat,eat,VERB,UCONN
breakfast,food,food,food,NOUN,UCONN
breakfast,hunger,hunger,hunger,NOUN,UCONN
wife,marry,marry,marry,VERB,UCONN
wife,cook,cook,cake,VERB,UCONN
wife,housewife,housewife,housewife,NOUN,UCONN
vacuum,clean,clean,clean,VERB,UCONN
padding,support,support,support,VERB,UCONN
padding,cars,cars,cars,NOUN,UCONN
padding,seat,seat,seat,NOUN,UCONN
spokesman,speech,speech,speech,NOUN,UCONN
spokesman,college,college,college,NOUN,UCONN
spokesman,events,events,event,NOUN,UCONN
typewriter,court,court,court,NOUN,UCONN
typewriter,wedding,wedding,wedding,NOUN,UCONN
typewriter,translator,translator,translate,VERB,UCONN
newsprint,people,people,people,NOUN,UCONN
garnets,minestone,minestrone,minestrone,PRON,UCONN
cannonball,pool,pool,pool,INTJ,UCONN
cannonball,war,war,war,VERB,UCONN
cannonball,jump,jump,jump,VERB,UCONN
cannonball,weapon,weapon,weapon,NOUN,UCONN
chestnut,food,food,food,NOUN,UCONN
chestnut,eat,eat,eat,VERB,UCONN
chestnut,carry,carry,carry,VERB,UCONN
screen,watch,watch,watch,VERB,UCONN
screen,tv,tv,tv,X,UCONN
screen,help,help,help,VERB,UCONN
technician,help,help,help,VERB,UCONN
technician,solve,solve,solve,VERB,UCONN
airplane,fly,fly,fly,VERB,UCONN
airplane,travel,travel,travel,VERB,UCONN
smoothie,drink,drink,drink,VERB,UCONN
smoothie,make,make,make,VERB,UCONN
basil,cook,cook,cake,VERB,UCONN
basil,pick,pick,pick,VERB,UCONN
basil,grow,grow,grow,VERB,UCONN
sangria,make,make,make,VERB,UCONN
sangria,drink,drink,drink,VERB,UCONN
zipper,clothes,clothes,clothes,NOUN,UCONN
zipper,keep warm,keep,keep,VERB,UCONN
zipper,keep warm,warm,warm,VERB,UCONN
fruitcake,eat,eat,eat,VERB,UCONN
fruitcake,cook,cook,cake,VERB,UCONN
poker,play,play,play,VERB,UCONN
poker,stick,stick,stick,VERB,UCONN
sweatshirt,keep warm,keep,keep,VERB,UCONN
sweatshirt,keep warm,warm,warm,VERB,UCONN
sweatshirt,fashion,fashion,fashion,NOUN,UCONN
sweatshirt,style,style,style,NOUN,UCONN
swing,play,play,play,VERB,UCONN
swing,back and forth,back,back,ADV,UCONN
swing,back and forth,forth,forth,ADV,UCONN
mule,animal,animal,animal,NOUN,UCONN
tissue,blow nose,blow,blow,VERB,UCONN
tissue,blow nose,nose,nose,NOUN,UCONN
tissue,clean,clean,clean,VERB,UCONN
teahouse,play,play,play,VERB,UCONN
teahouse,eat,eat,eat,VERB,UCONN
teahouse,drink,drink,drink,VERB,UCONN
workbox,build,build,build,VERB,UCONN
workbox,storage,storage,store,VERB,UCONN
bill,pay,pay,pay,VERB,UCONN
bill,name,name,name,NOUN,UCONN
bill,check,check,check,VERB,UCONN
wreath,decoration,decoration,decorate,VERB,UCONN
torso,body,body,body,NOUN,UCONN
torso,stretch,stretch,stretch,VERB,UCONN
cellist,examine,examine,examine,VERB,UCONN
squash,vegetable,vegetable,vegetable,NOUN,UCONN
squash,sport,sport,sport,NOUN,UCONN
squash,bake,bake,bake,VERB,UCONN
tripod,camera,camera,camera,NOUN,UCONN
tripod,phone,phone,phone,NOUN,UCONN
duckling,swim,swim,swim,VERB,UCONN
duckling,walk,walk,walk,VERB,UCONN
bunny,hop,hop,hop,VERB,UCONN
bunny,walk,walk,walk,VERB,UCONN
bunny,eat,eat,eat,VERB,UCONN
barrette,clip,clip,clip,VERB,UCONN
accountant,file,file,file,VERB,UCONN
accountant,add,add,add,VERB,UCONN
accountant,combine,combine,combine,VERB,UCONN
pike,stretch,stretch,stretch,VERB,UCONN
pike,road,road,road,NOUN,UCONN
human,work,work,work,VERB,UCONN
human,eat,eat,eat,VERB,UCONN
human,clean,clean,clean,VERB,UCONN
pistol,shoot,shoot,shoot,VERB,UCONN
pistol,squat,squat,squat,VERB,UCONN
printout,hand out,hand,hand,NOUN,UCONN
printout,shred,shred,shr,VERB,UCONN
robe,wrap,wrap,wrap,VERB,UCONN
robe,wear,wear,wear,VERB,UCONN
needlework,thread,thread,thread,VERB,UCONN
cello,play,play,play,VERB,UCONN
cello,clean,clean,clean,VERB,UCONN
ophthalmologist,eyes,eyes,eye,NOUN,UCONN
ophthalmologist,dialate,dilate,dilate,VERB,UCONN
plastic,wrap,wrap,wrap,VERB,UCONN
plastic,bag,bag,bag,NOUN,UCONN
plastic,container,container,container,NOUN,UCONN
vaccine,protect,protect,protect,VERB,UCONN
vaccine,health,health,health,NOUN,UCONN
windowpane,guard,guard,guard,VERB,UCONN
windowpane,insulate,insulate,insulate,VERB,UCONN
lovebird,love,love,love,VERB,UCONN
blueprint,diagram,diagram,diagram,NOUN,UCONN
blueprint,explain,explain,explain,VERB,UCONN
blueprint,document,document,document,NOUN,UCONN
nightdress,cover,cover,cover,VERB,UCONN
nightdress,sleep,sleep,sleep,VERB,UCONN
nightdress,comfort,comfort,comfort,VERB,UCONN
hair,insulate,insulate,insulate,VERB,UCONN
hair,protect,protect,protect,VERB,UCONN
hair,grow,grow,grow,VERB,UCONN
bookmark,hold page,hold,hold,VERB,UCONN
bookmark,hold page,page,page,NOUN,UCONN
bookmark,notes,notes,note,NOUN,UCONN
vegetation,grow,grow,grow,VERB,UCONN
vegetation,eat,eat,eat,VERB,UCONN
lager,beer,beer,beer,NOUN,UCONN
landlady,pay,pay,pay,VERB,UCONN
landlady,care,care,care,VERB,UCONN
pocket,hold,hold,hold,VERB,UCONN
salve,ointment,ointment,ointment,NOUN,UCONN
daffodil,flower,flower,flower,NOUN,UCONN
daffodil,gift,gift,gift,VERB,UCONN
daffodil,smell,smell,smell,VERB,UCONN
handwork,wood,wood,wood,NOUN,UCONN
street,driving,driving,drive,VERB,UCONN
street,walking,walking,walk,VERB,UCONN
street,speeding,speeding,speed,NOUN,UCONN
street,singing,singing,singe,VERB,UCONN
street,running,running,run,VERB,UCONN
street,cycling ,cycling,cycle,VERB,UCONN
tartar,cooking,cooking,cook,VERB,UCONN
pizza,eat,eat,eat,VERB,UCONN
pizza,science,science,science,NOUN,UCONN
pizza,flavor,flavor,flavor,NOUN,UCONN
nightclub,partying,partying,party,VERB,UCONN
nightclub,fun,fun,fun,NOUN,UCONN
nightclub,drinks,drinks,drink,VERB,UCONN
nightclub,goodtime,good,good,ADJ,UCONN
nightclub,goodtime,time,time,NOUN,UCONN
nightclub,nightout,night,night,NOUN,UCONN
nightclub,mental break,mental,mental,ADJ,UCONN
nightclub,mental break,break,break,VERB,UCONN
doorstop,to open a door,open,open,VERB,UCONN
doorstop,to open a door,door,door,NOUN,UCONN
doorstop,to keep something open,keep,keep,VERB,UCONN
doorstop,to keep something open,something,something,PRON,UCONN
doorstop,to keep something open,open,open,VERB,UCONN
plexiglas,to put over a desk,put,put,VERB,UCONN
plexiglas,to put over a desk,desk,desk,NOUN,UCONN
plexiglas,to put over a gate,put,put,VERB,UCONN
plexiglas,to put over a gate,gate,gate,NOUN,UCONN
plexiglas,to use at a register (during covid),use,use,VERB,UCONN
plexiglas,to use at a register (during covid),register,register,VERB,UCONN
plexiglas,to use at a register (during covid),covid,covid,AUX,UCONN
chauffeur,to get from point a to point b,get,get,VERB,UCONN
chauffeur,to get from point a to point b,point,point,NOUN,UCONN
chauffeur,to get from point a to point b,point,point,NOUN,UCONN
chauffeur,to get from point a to point b,b,benefit,VERB,UCONN
chauffeur,to get places efficiently ,get,get,VERB,UCONN
chauffeur,to get places efficiently ,places,place,NOUN,UCONN
chauffeur,to get places efficiently ,efficiently,efficiently,ADV,UCONN
catalogue,to research,research,research,VERB,UCONN
catalogue,to identify,identify,identify,VERB,UCONN
catalogue,to include,include,include,VERB,UCONN
cauldron,to make potions,make,make,VERB,UCONN
cauldron,to make potions,potions,potion,NOUN,UCONN
footwear,to walk,walk,walk,VERB,UCONN
footwear,to run,run,run,VERB,UCONN
footwear,to ski,ski,ski,VERB,UCONN
footwear,to play soccer,play,play,VERB,UCONN
footwear,to play soccer,soccer,soccer,VERB,UCONN
footwear,to play hockey,play,play,VERB,UCONN
footwear,to play hockey,hockey,hockey,VERB,UCONN
leg,to walk,walk,walk,VERB,UCONN
leg,to run,run,run,NOUN,UCONN
leg,to jog,jog,jog,NOUN,UCONN
leg,to sleep ,sleep,sleep,VERB,UCONN
crane,to pick things up,pick,pick,VERB,UCONN
crane,to pick things up,things,thing,NOUN,UCONN
medics,to save lives,save,save,VERB,UCONN
medics,to save lives,lives,life,NOUN,UCONN
medics,to assist others,assist,assist,VERB,UCONN
medics,to assist others,others,other,NOUN,UCONN
medics,to help thr hospital,help,help,VERB,UCONN
medics,to help thr hospital,hospital,hospital,NOUN,UCONN
skeleton,halloween decor,halloween,halloween,AUX,UCONN
skeleton,halloween decor,decor,decorate,VERB,UCONN
skeleton,to examine for research,examine,examine,VERB,UCONN
skeleton,to examine for research,research,research,VERB,UCONN
skeleton,to identify peoplw,identify,identify,VERB,UCONN
skeleton,to identify peoplw,people,people,NOUN,UCONN
female,intimately ,intimately,intimately,ADV,UCONN
tableware,drinking,drinking,drink,VERB,UCONN
tableware,eating,eating,eat,VERB,UCONN
hairdo,to make yourself look better,make,make,VERB,UCONN
hairdo,to make yourself look better,look,look,VERB,UCONN
