"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"00722362Mbh",40,"Version 86","boutique","BOI","get clothes","get clothes"
"00722362Mbh",40,"Version 86","boutique","BOI","get shoes","get shoes"
"00722362Mbh",40,"Version 86","boutique","BOI","get makeup","get makeup"
"00722362Mbh",40,"Version 86","boutique","BOI","get jewelry","get jewelry"
"00722362Mbh",40,"Version 86","boutique","BOI","buy gifts ","buy gifts "
"DDB",12,"Version 43","puke","BOI","barf","barf"
"DDB",13,"Version 43","bunkhouse","BOI","bunker","bunker"
"DDB",14,"Version 43","waiter","BOI","serve","serve"
"DDB",15,"Version 43","marijuana","BOI","smoke","smoke"
"DDB",16,"Version 43","maid","BOI","setve","serve"
"DDB",17,"Version 43","holster","BOI","gun","gun"
"DDB",18,"Version 43","environment","BOI","living","living"
"DDB",19,"Version 43","suspenders","BOI","assistants","assistants"
"DDB",20,"Version 43","boulder","BOI","rock","rock"
"DDB",22,"Version 43","vaginal","BOI","babies","babies"
"DDB",23,"Version 43","bin","BOI","garbage","garbage"
"DDB",25,"Version 43","footbath","BOI","massage","massage"
"DDB",26,"Version 43","minister","BOI","church ","church "
"DDB",27,"Version 43","motorist","BOI","motor","motor"
"DDB",28,"Version 43","fountainhead","BOI","water","water"
"DDB",29,"Version 43","sling","BOI","shot","shot"
"DDB",30,"Version 43","crowbar","BOI","open","open"
"DDB",31,"Version 43","daughter","BOI","spouse","spouse"
"DDB",32,"Version 43","ledge","BOI","cliff","cliff"
"DDB",33,"Version 43","prosthesis","BOI","ahead","ahead"
"DDB",34,"Version 43","axe","BOI","slice","slice"
"DDB",35,"Version 43","granny","BOI","grandma ","grandma "
"DDB",36,"Version 43","bathroom","BOI","bath","bath"
"DDB",37,"Version 43","doorbell","BOI","door ","door "
"DDB",38,"Version 43","path","BOI","way","way"
"DDB",39,"Version 43","sink","BOI","sick","sick"
"DDB",40,"Version 43","penny","BOI","coin","coin"
"J00526068_gfd",11,"Version 12","hourglass","BOI","meter","meter"
"J00526068_gfd",11,"Version 12","hourglass","BOI","time ticking","time ticking"
"J00526068_gfd",11,"Version 12","hourglass","BOI","time consuming","time consuming"
"J00526068_gfd",11,"Version 12","hourglass","BOI","how long","how long"
"J00526068_gfd",12,"Version 12","champagne","BOI","good","good"
"J00526068_gfd",12,"Version 12","champagne","BOI","glass","glass"
"J00526068_gfd",12,"Version 12","champagne","BOI","drink","drink"
"J00526068_gfd",12,"Version 12","champagne","BOI","wine","wine"
"J00526068_gfd",13,"Version 12","cobweb","BOI","dusty","dusty"
"J00526068_gfd",13,"Version 12","cobweb","BOI","dirty house","dirty house"
"J00526068_gfd",14,"Version 12","ruby","BOI","pretty","pretty"
"J00526068_gfd",14,"Version 12","ruby","BOI","red","red"
"J00526068_gfd",14,"Version 12","ruby","BOI","jewel","jewel"
"J00526068_gfd",15,"Version 12","hip","BOI","hurts","hurts"
"J00526068_gfd",15,"Version 12","hip","BOI","pain","pain"
"J00526068_gfd",15,"Version 12","hip","BOI","joint","joint"
"J00526068_gfd",16,"Version 12","flower","BOI","pretty","pretty"
"J00526068_gfd",16,"Version 12","flower","BOI","smell","smell"
"J00526068_gfd",16,"Version 12","flower","BOI","sight","sight"
"J00526068_gfd",17,"Version 12","man","BOI","big","big"
"J00526068_gfd",17,"Version 12","man","BOI","tough","tough"
"J00526068_gfd",17,"Version 12","man","BOI","strong","strong"
"J00526068_gfd",17,"Version 12","man","BOI","independednt","independent"
"J00526068_gfd",18,"Version 12","bass","BOI","fish","fish"
"J00526068_gfd",18,"Version 12","bass","BOI","guitar","guitar"
"J00526068_gfd",18,"Version 12","bass","BOI","opposite of treble","opposite of treble"
"J00526068_gfd",19,"Version 12","toddler","BOI","kid","kid"
"J00526068_gfd",19,"Version 12","toddler","BOI","child","child"
"J00526068_gfd",21,"Version 12","mall","BOI","shopping","shopping"
"J00526068_gfd",21,"Version 12","mall","BOI","go","go"
"J00526068_gfd",21,"Version 12","mall","BOI","fun","fun"
"J00526068_gfd",22,"Version 12","bystander","BOI","person","person"
"J00526068_gfd",22,"Version 12","bystander","BOI","pedestrian","pedestrian"
"J00526068_gfd",22,"Version 12","bystander","BOI","onlooker","onlooker"
"J00526068_gfd",23,"Version 12","dock","BOI","boating","boating"
"J00526068_gfd",23,"Version 12","dock","BOI","docking","docking"
"J00526068_gfd",23,"Version 12","dock","BOI","dockside","dockside"
"J00526068_gfd",24,"Version 12","pinkie","BOI","last finger","last finger"
"J00526068_gfd",24,"Version 12","pinkie","BOI","small","small"
"J00526068_gfd",25,"Version 12","certificate","BOI","deploma","diploma"
"J00526068_gfd",26,"Version 12","condiment","BOI","salt","salt"
"J00526068_gfd",26,"Version 12","condiment","BOI","poepper","pepper"
"J00526068_gfd",27,"Version 12","showerhead","BOI","shower","shower"
"J00526068_gfd",28,"Version 12","mayonnaise","BOI","gross","gross"
"J00526068_gfd",30,"Version 12","fungus","BOI","amongus","an"
"J00526068_gfd",31,"Version 12","shot","BOI","painful","painful"
"J00526068_gfd",32,"Version 12","someone","BOI","person","person"
"J00526068_gfd",33,"Version 12","String","BOI","fabric","fabric"
"J00526068_gfd",34,"Version 12","sifter","BOI","sand","sand"
"J00526068_gfd",35,"Version 12","dumbbell","BOI","weight","weight"
"J00526068_gfd",36,"Version 12","closet","BOI","clothes","clothes"
"J00526068_gfd",37,"Version 12","necklace","BOI","jewelry","jewelry"
"J00526068_gfd",38,"Version 12","stockings","BOI","christmas","christmas"
"J00526068_gfd",39,"Version 12","bartender","BOI","drinks","drinks"
"J00526068_gfd",40,"Version 12","dairy","BOI","milk","milk"
"J00637838",11,"Version 19","godparent","BOI","family","family"
"J00637838",12,"Version 19","silkworm","BOI","dirt","dirt"
"J00637838",13,"Version 19","goggles","BOI","swimming","swimming"
"J00637838",13,"Version 19","goggles","BOI","fishing","fishing"
"J00637838",14,"Version 19","raft","BOI","riding","riding"
"J00637838",14,"Version 19","raft","BOI","swimming","swimming"
"J00637838",15,"Version 19","kitchen","BOI","cooking","cooking"
"J00637838",15,"Version 19","kitchen","BOI","cleaning","cleaning"
"J00637838",15,"Version 19","kitchen","BOI","eating","eating"
"J00637838",16,"Version 19","plaster","BOI","glue","glue"
"J00637838",16,"Version 19","plaster","BOI","drunk","drunk"
"J00637838",17,"Version 19","couch","BOI","sitting","sitting"
"J00637838",17,"Version 19","couch","BOI","talking","talking"
"J00637838",18,"Version 19","backpack","BOI","books","books"
"J00637838",18,"Version 19","backpack","BOI","paper","paper"
"J00637838",19,"Version 19","goose","BOI","flying","flying"
"J00637838",19,"Version 19","goose","BOI","sitting","sitting"
"J00637838",20,"Version 19","saltwater","BOI","ocean","ocean"
"J00637838",20,"Version 19","saltwater","BOI","sand","sand"
"J00637838",21,"Version 19","splinter","BOI","hurting","hurting"
"J00637838",21,"Version 19","splinter","BOI","pokey","pokey"
"J00637838",22,"Version 19","toe","BOI","foot","foot"
"J00637838",23,"Version 19","kerchief","BOI","sneeze","sneeze"
"J00637838",24,"Version 19","barley","BOI","wheat","wheat"
