Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Group,
5693df018d93fe000dfa5733,scarf,put it around your head,head,head,NOUN,Prolific,
5693df018d93fe000dfa5733,scarf,hang it up,hang,hang,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,sell it,sell,sell,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,wash it,wash,wash,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,dry it,dry,dry,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,put it on as an accessory around your chest,put,put,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,put it on as an accessory around your chest,accessory,accessory,INTJ,Prolific,
5693df018d93fe000dfa5733,scarf,put it on as an accessory around your chest,around,around,ADV,Prolific,
5693df018d93fe000dfa5733,scarf,put it on as an accessory around your chest,chest,chest,NOUN,Prolific,
5693df018d93fe000dfa5733,scarf,burn it,burn,burn,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,rip it,rip,rip,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,tear it apart,tear,tear,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,tear it apart,apart,apart,ADV,Prolific,
5693df018d93fe000dfa5733,scarf,put it in water,put,put,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,put it in water,water,water,NOUN,Prolific,
5693df018d93fe000dfa5733,lollipop,suck on it,suck,suck,VERB,Prolific,
5693df018d93fe000dfa5733,lollipop,chew it,chew,chew,VERB,Prolific,
5693df018d93fe000dfa5733,lollipop,throw it in the bin,throw,throw away,VERB,Prolific,
5693df018d93fe000dfa5733,lollipop,throw it at the wall,throw,throw,VERB,Prolific,
5693df018d93fe000dfa5733,lollipop,throw it at the wall,wall,wall,NOUN,Prolific,
5693df018d93fe000dfa5733,lollipop,stomp on it,stomp,stomp,VERB,Prolific,
5693df018d93fe000dfa5733,tweezer,pluck out hair,pluck,pluck,VERB,Prolific,
5693df018d93fe000dfa5733,tweezer,pluck out hair,hair,hair,NOUN,Prolific,
5693df018d93fe000dfa5733,tweezer,pluck out blackheads,pluck,pluck,VERB,Prolific,
5693df018d93fe000dfa5733,tweezer,pluck out blackheads,blackheads,blackhead,NOUN,Prolific,
5693df018d93fe000dfa5733,tweezer,throw it away,throw,throw away,VERB,Prolific,
5693df018d93fe000dfa5733,tweezer,throw it away,away,away,ADV,Prolific,
5693df018d93fe000dfa5733,tweezer,dismantle it,dismantle,dismantle,VERB,Prolific,
5693df018d93fe000dfa5733,tweezer,burn it,burn,burn,VERB,Prolific,
5693df018d93fe000dfa5733,tweezer,shoot it,shoot,shoot,VERB,Prolific,
5693df018d93fe000dfa5733,sex,to have intimacy,intimacy,intimacy,VERB,Prolific,
5693df018d93fe000dfa5733,tractor,as a vehicle,vehicle,vehicle,NOUN,Prolific,
5693df018d93fe000dfa5733,pupil,learning,learning,learn,VERB,Prolific,
5693df018d93fe000dfa5733,toaster,making toast,making,make,NOUN,Prolific,
5693df018d93fe000dfa5733,toaster,making toast,toast,toast,VERB,Prolific,
5693df018d93fe000dfa5733,stroller,with a baby inside,baby,baby,NOUN,Prolific,
5693df018d93fe000dfa5733,stroller,with a baby inside,inside,inside,ADV,Prolific,
5693df018d93fe000dfa5733,stroller,with groceries inside where the baby is meant to go,groceries,grocery,NOUN,Prolific,
5693df018d93fe000dfa5733,stroller,with groceries inside where the baby is meant to go,inside,inside,ADV,Prolific,
5693df018d93fe000dfa5733,stroller,with groceries inside where the baby is meant to go,baby,baby,NOUN,Prolific,
5693df018d93fe000dfa5733,stroller,with groceries inside where the baby is meant to go,meant,mean,VERB,Prolific,
5693df018d93fe000dfa5733,stroller,with groceries inside where the baby is meant to go,go,go,VERB,Prolific,
5693df018d93fe000dfa5733,cardigan,wearing it,wearing,wear,VERB,Prolific,
5693df018d93fe000dfa5733,cardigan,throwing it away,throwing,throw,VERB,Prolific,
5693df018d93fe000dfa5733,cardigan,throwing it away,away,away,ADV,Prolific,
5693df018d93fe000dfa5733,cardigan,burning it,burning,burn,VERB,Prolific,
5693df018d93fe000dfa5733,cardigan,binning it,binning,binn,VERB,Prolific,
5693df018d93fe000dfa5733,cardigan,giving it to charity,giving,give,VERB,Prolific,
5693df018d93fe000dfa5733,cardigan,giving it to charity,charity,charity,NOUN,Prolific,
5693df018d93fe000dfa5733,canoe,canoeing ,canoeing,canoe,VERB,Prolific,
5693df018d93fe000dfa5733,scribbling,drawing,drawing,drawe,VERB,Prolific,
5693df018d93fe000dfa5733,cob,eating it,eating,eat,VERB,Prolific,
5693df018d93fe000dfa5733,cob,roasting it,roasting,roast,VERB,Prolific,
5693df018d93fe000dfa5733,wheel,driving,driving,drive,VERB,Prolific,
5693df018d93fe000dfa5733,Swan,keeping it as a pet,keeping,keep,VERB,Prolific,
5693df018d93fe000dfa5733,Swan,keeping it as a pet,pet,pet,VERB,Prolific,
5693df018d93fe000dfa5733,kidney,donating it,donating,donate,VERB,Prolific,
5693df018d93fe000dfa5733,kidney,preserving it,preserving,preserve,VERB,Prolific,
5693df018d93fe000dfa5733,kidney,taking care of it,taking,take,VERB,Prolific,
5693df018d93fe000dfa5733,kidney,taking care of it,care,care,VERB,Prolific,
5693df018d93fe000dfa5733,ladybug,preserving it,preserving,preserve,VERB,Prolific,
5693df018d93fe000dfa5733,ladybug,letting it go into the wild,letting,let,VERB,Prolific,
5693df018d93fe000dfa5733,ladybug,letting it go into the wild,go,go,VERB,Prolific,
5693df018d93fe000dfa5733,ladybug,letting it go into the wild,wild,wild,ADJ,Prolific,
5693df018d93fe000dfa5733,ladybug,feeding it,feeding,feed,VERB,Prolific,
5693df018d93fe000dfa5733,chalk,writing on the board,writing,write,VERB,Prolific,
5693df018d93fe000dfa5733,chalk,writing on the board,board,board,NOUN,Prolific,
5875778b5c17910001ea4f35,farmhouse,live,live,live,VERB,Prolific,
5875778b5c17910001ea4f35,farmhouse,work,work,work,VERB,Prolific,
5875778b5c17910001ea4f35,farmhouse,protect,protect,protect,VERB,Prolific,
5875778b5c17910001ea4f35,farmhouse,dry,dry,dry,VERB,Prolific,
5875778b5c17910001ea4f35,farmhouse,house,house,house,NOUN,Prolific,
5875778b5c17910001ea4f35,farmhouse,meet,meet,meet,VERB,Prolific,
5875778b5c17910001ea4f35,firecracker,impress,impress,impress,VERB,Prolific,
5875778b5c17910001ea4f35,firecracker,scare,scare,scare,VERB,Prolific,
5875778b5c17910001ea4f35,firecracker,celebrate,celebrate,celebrate,VERB,Prolific,
5875778b5c17910001ea4f35,firecracker,enjoy,enjoy,enjoy,VERB,Prolific,
5875778b5c17910001ea4f35,armoire,keep,keep,keep,VERB,Prolific,
5875778b5c17910001ea4f35,armoire,store,store,store,VERB,Prolific,
5875778b5c17910001ea4f35,armoire,protect,protect,protect,VERB,Prolific,
5875778b5c17910001ea4f35,sponge,soak,soak,soak,VERB,Prolific,
5875778b5c17910001ea4f35,sponge,wash,wash,wash,VERB,Prolific,
5875778b5c17910001ea4f35,sponge,eat,eat,eat,VERB,Prolific,
5875778b5c17910001ea4f35,sponge,clean,clean,clean,VERB,Prolific,
5875778b5c17910001ea4f35,sponge,wipe,wipe,wipe,VERB,Prolific,
5875778b5c17910001ea4f35,nightie,wear,wear,wear,VERB,Prolific,
5875778b5c17910001ea4f35,nightie,wash,wash,wash,VERB,Prolific,
5875778b5c17910001ea4f35,thimble,sew,sew,sew,VERB,Prolific,
5875778b5c17910001ea4f35,thimble,protect,protect,protect,VERB,Prolific,
5875778b5c17910001ea4f35,thimble,play,play,play,VERB,Prolific,
5875778b5c17910001ea4f35,crop,ride,ride,ride,VERB,Prolific,
5875778b5c17910001ea4f35,crop,harvest,harvest,harvest,VERB,Prolific,
5875778b5c17910001ea4f35,crop,eat,eat,eat,VERB,Prolific,
5875778b5c17910001ea4f35,crop,share,share,share,VERB,Prolific,
5875778b5c17910001ea4f35,phone,speak,speak,speak,VERB,Prolific,
5875778b5c17910001ea4f35,phone,play,play,play,VERB,Prolific,
5875778b5c17910001ea4f35,phone,browse,browse,browse,VERB,Prolific,
5875778b5c17910001ea4f35,phone,text,text,text,VERB,Prolific,
5875778b5c17910001ea4f35,phone,message,message,message,NOUN,Prolific,
5875778b5c17910001ea4f35,phone,listen,listen,listen,VERB,Prolific,
5875778b5c17910001ea4f35,phone,watch,watch,watch,VERB,Prolific,
5875778b5c17910001ea4f35,phone,type,type,type,VERB,Prolific,
5875778b5c17910001ea4f35,radiator,warm,warm,warm,VERB,Prolific,
5875778b5c17910001ea4f35,radiator,dry,dry,dry,VERB,Prolific,
5875778b5c17910001ea4f35,radiator,run,run,run,VERB,Prolific,
5875778b5c17910001ea4f35,lily,brighten,brighten,brighten,VERB,Prolific,
5875778b5c17910001ea4f35,lily,cheer,cheer,cheer,VERB,Prolific,
5875778b5c17910001ea4f35,lily,gift,gift,gift,VERB,Prolific,
5875778b5c17910001ea4f35,battery,charge,charge,charge,VERB,Prolific,
5875778b5c17910001ea4f35,battery,run,run,run,VERB,Prolific,
5875778b5c17910001ea4f35,battery,discharge,discharge,discharge,VERB,Prolific,
5875778b5c17910001ea4f35,battery,power,power,power,VERB,Prolific,
5875778b5c17910001ea4f35,medicine,help,help,help,VERB,Prolific,
5875778b5c17910001ea4f35,medicine,improve,improve,improve,VERB,Prolific,
5875778b5c17910001ea4f35,medicine,protect,protect,protect,VERB,Prolific,
5875778b5c17910001ea4f35,cloth,dry,dry,dry,VERB,Prolific,
5875778b5c17910001ea4f35,cloth,clean,clean,clean,VERB,Prolific,
5875778b5c17910001ea4f35,cloth,wash,wash,wash,VERB,Prolific,
5875778b5c17910001ea4f35,cloth,wipe,wipe,wipe,VERB,Prolific,
5875778b5c17910001ea4f35,cloth,freshen,freshen,freshen,VERB,Prolific,
5875778b5c17910001ea4f35,mascara,hide,hide,hide,VERB,Prolific,
5875778b5c17910001ea4f35,mascara,improve,improve,improve,VERB,Prolific,
5875778b5c17910001ea4f35,mascara,conceal,conceal,conceal,VERB,Prolific,
5875778b5c17910001ea4f35,foot,run,run,run,VERB,Prolific,
5875778b5c17910001ea4f35,foot,hop,hop,hop,VERB,Prolific,
5875778b5c17910001ea4f35,foot,kick,kick,kick,VERB,Prolific,
5875778b5c17910001ea4f35,foot,sprint,sprint,sprint,VERB,Prolific,
5875778b5c17910001ea4f35,foot,jump,jump,jump,VERB,Prolific,
5875778b5c17910001ea4f35,neckerchief,wear,wear,wear,VERB,Prolific,
5875778b5c17910001ea4f35,neckerchief,warm,warm,warm,VERB,Prolific,
5875778b5c17910001ea4f35,neckerchief,improve,improve,improve,VERB,Prolific,
5875778b5c17910001ea4f35,home,live,live,live,VERB,Prolific,
5875778b5c17910001ea4f35,home,eat,eat,eat,VERB,Prolific,
5875778b5c17910001ea4f35,home,house,house,house,NOUN,Prolific,
5875778b5c17910001ea4f35,home,warm,warm,warm,VERB,Prolific,
5875778b5c17910001ea4f35,home,share,share,share,VERB,Prolific,
5875778b5c17910001ea4f35,moonshine,drink,drink,drink,VERB,Prolific,
5875778b5c17910001ea4f35,moonshine,enjoy,enjoy,enjoy,VERB,Prolific,
5875778b5c17910001ea4f35,moonshine,walk,walk,walk,VERB,Prolific,
5875778b5c17910001ea4f35,moonshine,stare,stare,stare,VERB,Prolific,
5875778b5c17910001ea4f35,moonshine,light,light,light,VERB,Prolific,
5875778b5c17910001ea4f35,bunk,lift,lift,lift,VERB,Prolific,
5875778b5c17910001ea4f35,bunk,sleep,sleep,sleep,VERB,Prolific,
5875778b5c17910001ea4f35,bunk,miss,miss,miss,VERB,Prolific,
5875778b5c17910001ea4f35,bunk,rest,rest,rest,VERB,Prolific,
5875778b5c17910001ea4f35,medallion,gift,gift,gift,VERB,Prolific,
5875778b5c17910001ea4f35,medallion,wear,wear,wear,VERB,Prolific,
5875778b5c17910001ea4f35,rubbish,throw,throw,throw,VERB,Prolific,
5875778b5c17910001ea4f35,rubbish,recycle,recycle,recycle,VERB,Prolific,
5875778b5c17910001ea4f35,rubbish,hide,hide,hide,VERB,Prolific,
5875778b5c17910001ea4f35,masseur,massage,massage,massage,VERB,Prolific,
5875778b5c17910001ea4f35,masseur,relax,relax,relax,VERB,Prolific,
5875778b5c17910001ea4f35,masseur,enjoy,enjoy,enjoy,VERB,Prolific,
5875778b5c17910001ea4f35,masseur,pay,pay,pay,VERB,Prolific,
5875778b5c17910001ea4f35,cape,wrap,wrap,wrap,VERB,Prolific,
5875778b5c17910001ea4f35,cape,hide,hide,hide,VERB,Prolific,
5875778b5c17910001ea4f35,candidate,elect,elect,elect,VERB,Prolific,
5875778b5c17910001ea4f35,candidate,decided,decided,decide,VERB,Prolific,
5875778b5c17910001ea4f35,candidate,choose,choose,choose,VERB,Prolific,
5875778b5c17910001ea4f35,cheekbone,rub,rub,rub,VERB,Prolific,
5875778b5c17910001ea4f35,cheekbone,smile,smile,smile,VERB,Prolific,
5875778b5c17910001ea4f35,kite,fly,fly,fly,VERB,Prolific,
5875778b5c17910001ea4f35,kite,run,run,run,VERB,Prolific,
5875778b5c17910001ea4f35,bleach,clean,clean,clean,VERB,Prolific,
5875778b5c17910001ea4f35,bleach,wipe,wipe,wipe,VERB,Prolific,
5875778b5c17910001ea4f35,bleach,disinfect,disinfect,disinfect,VERB,Prolific,
5875778b5c17910001ea4f35,bleach,poison,poison,poison,VERB,Prolific,
5875778b5c17910001ea4f35,cuff,hit,hit,hit,VERB,Prolific,
5875778b5c17910001ea4f35,snack,eat,eat,eat,VERB,Prolific,
5875778b5c17910001ea4f35,snack,share,share,share,VERB,Prolific,
5875778b5c17910001ea4f35,snack,nibble,nibble,nibble,VERB,Prolific,
5875778b5c17910001ea4f35,snack,fill,fill,fill,VERB,Prolific,
5875778b5c17910001ea4f35,brace,ready,ready,ready,ADJ,Prolific,
5875778b5c17910001ea4f35,brace,wear,wear,wear,VERB,Prolific,
59142b45ef024b0001c54c33,footwear,wear,wear,wear,VERB,Prolific,
59142b45ef024b0001c54c33,footwear,warm,warm,warm,VERB,Prolific,
59142b45ef024b0001c54c33,footwear,walk,walk,walk,VERB,Prolific,
59142b45ef024b0001c54c33,footwear,run,run,run,VERB,Prolific,
59142b45ef024b0001c54c33,footwear,skip,skip,skip,VERB,Prolific,
59142b45ef024b0001c54c33,footwear,hop,hop,hop,VERB,Prolific,
59142b45ef024b0001c54c33,footwear,jump,jump,jump,VERB,Prolific,
59142b45ef024b0001c54c33,shoulder,roll,roll,roll,VERB,Prolific,
59142b45ef024b0001c54c33,shoulder,barge,barge,barge,VERB,Prolific,
59142b45ef024b0001c54c33,shoulder,lift,lift,lift,VERB,Prolific,
59142b45ef024b0001c54c33,grater,slicing,slicing,slice,VERB,Prolific,
59142b45ef024b0001c54c33,grater,reducing,reducing,reduce,VERB,Prolific,
59142b45ef024b0001c54c33,grater,cooking,cooking,cook,VERB,Prolific,
59142b45ef024b0001c54c33,grater,baking,baking,bake,VERB,Prolific,
59142b45ef024b0001c54c33,doorstop,open,open,open,VERB,Prolific,
59142b45ef024b0001c54c33,doorstop,safety,safety,safety,NOUN,Prolific,
59142b45ef024b0001c54c33,doorstop,secure,secure,secure,VERB,Prolific,
59142b45ef024b0001c54c33,doorstop,stopping,stopping,stop,VERB,Prolific,
59142b45ef024b0001c54c33,cauldron,cooking,cooking,cook,VERB,Prolific,
59142b45ef024b0001c54c33,cauldron,brewing,brewing,brew,VERB,Prolific,
59142b45ef024b0001c54c33,cauldron,warming,warming,warm,VERB,Prolific,
59142b45ef024b0001c54c33,tartar,teeth,teeth,tooth,NOUN,Prolific,
59142b45ef024b0001c54c33,tartar,coating,coating,coa,VERB,Prolific,
59142b45ef024b0001c54c33,tartar,sauce,sauce,sauce,NOUN,Prolific,
59142b45ef024b0001c54c33,tartar,damaging,damaging,damage,VERB,Prolific,
59142b45ef024b0001c54c33,medics,helping,helping,help,VERB,Prolific,
59142b45ef024b0001c54c33,medics,protection,protection,protect,VERB,Prolific,
59142b45ef024b0001c54c33,medics,rescue,rescue,rescue,VERB,Prolific,
59142b45ef024b0001c54c33,medics,save,save,save,VERB,Prolific,
59142b45ef024b0001c54c33,leg,run,run,run,VERB,Prolific,
59142b45ef024b0001c54c33,leg,walk,walk,walk,VERB,Prolific,
59142b45ef024b0001c54c33,leg,hop,hop,hop,VERB,Prolific,
59142b45ef024b0001c54c33,leg,skip,skip,skip,VERB,Prolific,
59142b45ef024b0001c54c33,leg,jump,jump,jump,VERB,Prolific,
59142b45ef024b0001c54c33,leg,kick,kick,kick,VERB,Prolific,
59142b45ef024b0001c54c33,leg,swing,swing,swing,NOUN,Prolific,
59142b45ef024b0001c54c33,leg,cycle,cycle,cycle,VERB,Prolific,
59142b45ef024b0001c54c33,suds,clean,clean,clean,VERB,Prolific,
59142b45ef024b0001c54c33,suds,wash,wash,wash,VERB,Prolific,
59142b45ef024b0001c54c33,suds,soaping,soaping,soap,VERB,Prolific,
59142b45ef024b0001c54c33,suds,brighten,brighten,brighten,VERB,Prolific,
59142b45ef024b0001c54c33,peg,fresh,fresh,fresh,ADJ,Prolific,
59142b45ef024b0001c54c33,peg,hold,hold,hold,VERB,Prolific,
59142b45ef024b0001c54c33,peg,dry,dry,dry,VERB,Prolific,
59142b45ef024b0001c54c33,skeleton,protection,protection,protect,VERB,Prolific,
59142b45ef024b0001c54c33,skeleton,body parts,body,body,NOUN,Prolific,
59142b45ef024b0001c54c33,skeleton,body parts,parts,part,NOUN,Prolific,
59142b45ef024b0001c54c33,skeleton,scare,scare,scare,VERB,Prolific,
59142b45ef024b0001c54c33,skeleton,educate,educate,educate,VERB,Prolific,
59142b45ef024b0001c54c33,skeleton,learn,learn,learn,VERB,Prolific,
59142b45ef024b0001c54c33,road,travel,travel,travel,VERB,Prolific,
59142b45ef024b0001c54c33,road,drive,drive,drive,VERB,Prolific,
59142b45ef024b0001c54c33,road,walk,walk,walk,VERB,Prolific,
59142b45ef024b0001c54c33,road,quicken,quicken,quicken,ADV,Prolific,
59142b45ef024b0001c54c33,chauffeur,drive,drive,drive,VERB,Prolific,
59142b45ef024b0001c54c33,chauffeur,help,help,help,VERB,Prolific,
59142b45ef024b0001c54c33,chauffeur,open,open,open,VERB,Prolific,
59142b45ef024b0001c54c33,chauffeur,comfort,comfort,comfort,VERB,Prolific,
59142b45ef024b0001c54c33,volleyball,throw,throw,throw,VERB,Prolific,
59142b45ef024b0001c54c33,volleyball,play,play,play,VERB,Prolific,
59142b45ef024b0001c54c33,volleyball,bounce,bounce,bounce,VERB,Prolific,
59142b45ef024b0001c54c33,volleyball,catch,catch,catch,VERB,Prolific,
59142b45ef024b0001c54c33,volleyball,roll,roll,roll,VERB,Prolific,
59142b45ef024b0001c54c33,spacesuit,breathe,breathe,breato,VERB,Prolific,
59142b45ef024b0001c54c33,spacesuit,visit,visit,visit,VERB,Prolific,
59142b45ef024b0001c54c33,spacesuit,space,space,space,NOUN,Prolific,
59142b45ef024b0001c54c33,crane,lift,lift,lift,VERB,Prolific,
59142b45ef024b0001c54c33,crane,lower,lower,lower,VERB,Prolific,
59142b45ef024b0001c54c33,crane,see,see,see,VERB,Prolific,
59142b45ef024b0001c54c33,crane,build,build,build,VERB,Prolific,
59142b45ef024b0001c54c33,crane,help,help,help,VERB,Prolific,
59142b45ef024b0001c54c33,crane,fly,fly,fly,VERB,Prolific,
59142b45ef024b0001c54c33,pizza,eat,eat,eat,VERB,Prolific,
59142b45ef024b0001c54c33,pizza,share,share,share,VERB,Prolific,
59142b45ef024b0001c54c33,pizza,cook,cook,cook,VERB,Prolific,
59142b45ef024b0001c54c33,pizza,slice,slice,slice,VERB,Prolific,
59142b45ef024b0001c54c33,hairdo,style,style,style,VERB,Prolific,
59142b45ef024b0001c54c33,hairdo,cut,cut,cut,VERB,Prolific,
59142b45ef024b0001c54c33,hairdo,trim,trim,trim,VERB,Prolific,
59142b45ef024b0001c54c33,tableware,eating,eating,eat,VERB,Prolific,
59142b45ef024b0001c54c33,tableware,serving,serving,serive,VERB,Prolific,
59142b45ef024b0001c54c33,tableware,sharing,sharing,share,VERB,Prolific,
59142b45ef024b0001c54c33,catalogue,books,books,book,NOUN,Prolific,
59142b45ef024b0001c54c33,catalogue,records,records,record,VERB,Prolific,
59142b45ef024b0001c54c33,catalogue,shopping,shopping,shop,VERB,Prolific,
59142b45ef024b0001c54c33,catalogue,buying,buying,buy,VERB,Prolific,
59142b45ef024b0001c54c33,catalogue,browsing,browsing,browse,VERB,Prolific,
59142b45ef024b0001c54c33,nightclub,dancing,dancing,dance,VERB,Prolific,
59142b45ef024b0001c54c33,nightclub,drinking,drinking,drink,VERB,Prolific,
59142b45ef024b0001c54c33,nightclub,partying,partying,party,VERB,Prolific,
59142b45ef024b0001c54c33,nightclub,celebrating,celebrating,celebrate,VERB,Prolific,
59142b45ef024b0001c54c33,street,driving,driving,drive,VERB,Prolific,
59142b45ef024b0001c54c33,street,living,living,live,VERB,Prolific,
59142b45ef024b0001c54c33,street,sleeping,sleeping,sleep,VERB,Prolific,
59142b45ef024b0001c54c33,street,visiting,visiting,visit,VERB,Prolific,
59142b45ef024b0001c54c33,editor,change,change,change,VERB,Prolific,
59142b45ef024b0001c54c33,editor,writing,writing,write,VERB,Prolific,
59142b45ef024b0001c54c33,editor,correcting,correcting,correct,VERB,Prolific,
59142b45ef024b0001c54c33,editor,designing,designing,designe,VERB,Prolific,
59142b45ef024b0001c54c33,female,lover,lover,love,VERB,Prolific,
59142b45ef024b0001c54c33,female,carer,carer,care,VERB,Prolific,
59142b45ef024b0001c54c33,female,protector,protector,protect,VERB,Prolific,
59142b45ef024b0001c54c33,magnolia,smelling,smelling,smell,VERB,Prolific,
59142b45ef024b0001c54c33,magnolia,painting,painting,paint,VERB,Prolific,
59142b45ef024b0001c54c33,plexiglas,protecting,protecting,protect,VERB,Prolific,
59142b45ef024b0001c54c33,shopkeeper,selling,selling,sell,VERB,Prolific,
59142b45ef024b0001c54c33,shopkeeper,stocking,stocking,stock,VERB,Prolific,
59142b45ef024b0001c54c33,shopkeeper,speaking,speaking,speak,VERB,Prolific,
59142b45ef024b0001c54c33,shopkeeper,buying,buying,buy,VERB,Prolific,
59142b45ef024b0001c54c33,shopkeeper,sharing,sharing,share,VERB,Prolific,
59142b45ef024b0001c54c33,shopkeeper,helping,helping,help,VERB,Prolific,
