Stimuli.Cue,affordance_parsed,word,lemma,POS,Source,,
tuxedo,to use as blanket,blanket,blanket,NOUN,Hope,,
tuxedo,to use as clothes,use,use,VERB,Hope,,
tuxedo,to use as clothes,clothes,clothes,NOUN,Hope,,
shrub,plant,plant,plant,NOUN,Hope,,
shrub,to use as food,use,use,VERB,Hope,,
shrub,to use as food,food,food,NOUN,Hope,,
shrub,to use for beauty,use,use,VERB,Hope,,
shrub,to use for beauty,beauty,beauty,NOUN,Hope,,
shrub,to use to appreciate god's glory,use,use,VERB,Hope,,
shrub,to use to appreciate god's glory,appreciate,appreciate,VERB,Hope,,
shrub,to use to appreciate god's glory,glory,glory,NOUN,Hope,,
mutt,pet,pet,pet,NOUN,Hope,,
mutt,cuddled,cuddled,cuddle,VERB,Hope,,
mutt,played with,played,play,VERB,Hope,,
mutt,use for emotional support,use,use,VERB,Hope,,
mutt,use for emotional support,emotional,emotional,ADJ,Hope,,
mutt,use for emotional support,support,support,VERB,Hope,,
mutt,use for dietary needs,use,use,VERB,Hope,,
mutt,use for dietary needs,dietary,dietary,INTJ,Hope,,
mutt,use for dietary needs,needs,need,NOUN,Hope,,
anklet,worn,worn,wear,VERB,Hope,,
anklet,thrown,thrown,throw,VERB,Hope,,
anklet,made,made,make,VERB,Hope,,
anklet,broken,broken,break,VERB,Hope,,
anklet,snapped,snapped,snap,VERB,Hope,,
anklet,threaded,threaded,thread,VERB,Hope,,
anklet,woven,woven,weave,ADV,Hope,,
anklet,destroyed,destroyed,destroy,VERB,Hope,,
beanstalk,eaten,eaten,eat,VERB,Hope,,
beanstalk,planted,planted,plan,VERB,Hope,,
beanstalk,climbed,climbed,climb,VERB,Hope,,
beanstalk,pulled,pulled,pull,VERB,Hope,,
beanstalk,thrown,thrown,throw,VERB,Hope,,
beanstalk,harvested,harvested,harvest,VERB,Hope,,
beanstalk,trampled,trampled,trample,VERB,Hope,,
phonograph,viewed,viewed,viewed,VERB,Hope,,
phonograph,burnt,burnt,burn,VERB,Hope,,
phonograph,destroyed,destroyed,destroy,VERB,Hope,,
phonograph,remade,remade,remake,VERB,Hope,,
phonograph,printed,printed,print,VERB,Hope,,
nectar,eaten,eaten,eat,VERB,Hope,,
nectar,used for making honey,used,use,VERB,Hope,,
nectar,used for making honey,making,make,NOUN,Hope,,
nectar,used for making honey,honey,honey,NOUN,Hope,,
nectar,slurped,slurped,slur,VERB,Hope,,
nectar,mushed,mushed,mush,VERB,Hope,,
nectar,blended,blended,blend,VERB,Hope,,
nectar,poked,poked,pok,VERB,Hope,,
scoop,used for scooping food,used,use,VERB,Hope,,
scoop,used for scooping food,scooping,scooping,VERB,Hope,,
scoop,used for scooping food,food,food,NOUN,Hope,,
scoop,cooking,cooking,cook,VERB,Hope,,
scoop,baking,baking,bake,VERB,Hope,,
scoop,chemistry,chemistry,chemistry,NOUN,Hope,,
catfish,eaten,eaten,eat,VERB,Hope,,
catfish,roasted,roasted,roast,VERB,Hope,,
catfish,grilled,grilled,grill,VERB,Hope,,
catfish,cooked,cooked,cook,VERB,Hope,,
catfish,baked,baked,bake,VERB,Hope,,
hammock,slept in,slept,sleep,VERB,Hope,,
hammock,rocked in,rocked,rock,VERB,Hope,,
hammock,swing in,swing,swing,VERB,Hope,,
hammock,relax in,relax,relax,VERB,Hope,,
hammock,read a book in,read,read,VERB,Hope,,
hammock,read a book in,book,book,NOUN,Hope,,
hammock,set up,set,set,VERB,Hope,,
hammock,taken down,taken,take,VERB,Hope,,
hammock,thrown,thrown,throw,VERB,Hope,,
hammock,broken,broken,break,VERB,Hope,,
hammock,torn,torn,tear,VERB,Hope,,
foghorn,sounded,sounded,sound,VERB,Hope,,
foghorn,packed,packed,pack,VERB,Hope,,
foghorn,broken,broken,break,VERB,Hope,,
foghorn,stuck to a wall,stuck,stuck,ADJ,Hope,,
foghorn,stuck to a wall,wall,wall,NOUN,Hope,,
foghorn,held,held,hold,VERB,Hope,,
foghorn,smashed,smashed,smash,VERB,Hope,,
jaw,speaking,speaking,speak,VERB,Hope,,
jaw,yawning,yawning,yawn,VERB,Hope,,
jaw,stretching,stretching,stretch,VERB,Hope,,
jaw,eating,eating,eat,VERB,Hope,,
jaw,drinking,drinking,drink,VERB,Hope,,
logbook,business,business,business,NOUN,Hope,,
logbook,recipes,recipes,recipe,NOUN,Hope,,
logbook,lists,lists,list,NOUN,Hope,,
logbook,calendars,calendars,calendar,NOUN,Hope,,
gold,smashed,smashed,smash,VERB,Hope,,
gold,weighed,weighed,weigh,VERB,Hope,,
gold,shined,shined,shin,VERB,Hope,,
gold,processed,processed,processe,VERB,Hope,,
gold,shaped,shaped,shap,VERB,Hope,,
gold,worn,worn,wear,VERB,Hope,,
gold,broken,broken,break,VERB,Hope,,
gold,snapped,snapped,snap,VERB,Hope,,
gold,bent,bent,bend,VERB,Hope,,
tongue,speaking,speaking,speak,VERB,Hope,,
tongue,tasting,tasting,taste,VERB,Hope,,
tongue,kissing,kissing,kiss,VERB,Hope,,
tongue,making noise,making,make,NOUN,Hope,,
tongue,making noise,noise,noise,NOUN,Hope,,
tongue,licking,licking,lick,VERB,Hope,,
lobbyist,political wins,political,political,ADJ,Hope,,
lobbyist,political wins,wins,win,NOUN,Hope,,
mandolin,cooking,cooking,cook,VERB,Hope,,
mandolin,tossed,tossed,toss,VERB,Hope,,
mandolin,broken,broken,break,VERB,Hope,,
mandolin,smashed,smashed,smash,VERB,Hope,,
wafer,eaten,eaten,eat,VERB,Hope,,
wafer,dipped,dipped,dip,VERB,Hope,,
wafer,processed,processed,processe,VERB,Hope,,
wafer,baked,baked,bake,VERB,Hope,,
wafer,cooked,cooked,cook,VERB,Hope,,
wafer,smashed,smashed,smash,VERB,Hope,,
wafer,crunched,crunched,crunch,VERB,Hope,,
wafer,given,given,give,VERB,Hope,,
popcorn,eaten,eaten,eat,VERB,Hope,,
popcorn,given,given,give,VERB,Hope,,
popcorn,cooked,cooked,cook,VERB,Hope,,
popcorn,smashed,smashed,smash,VERB,Hope,,
popcorn,crunched,crunched,crunch,VERB,Hope,,
popcorn,popped,popped,pop,VERB,Hope,,
popcorn,buttered,buttered,butter,VERB,Hope,,
popcorn,salted,salted,salt,VERB,Hope,,
popcorn,thrown,thrown,throw,VERB,Hope,,
popcorn,strung,strung,string,VERB,Hope,,
tortilla,baked,baked,bake,VERB,Hope,,
tortilla,filled,filled,fill,VERB,Hope,,
tortilla,rolled,rolled,roll,VERB,Hope,,
tortilla,eaten,eaten,eat,VERB,Hope,,
tortilla,used to slap someone,used,use,VERB,Hope,,
tortilla,used to slap someone,slap,slap,VERB,Hope,,
tortilla,used to slap someone,someone,someone,PRON,Hope,,
tortilla,thrown,thrown,throw,VERB,Hope,,
griddle,cooking,cooking,cook,VERB,Hope,,
griddle,baking,baking,bake,VERB,Hope,,
griddle,heating up,heating,heate,VERB,Hope,,
griddle,thrown,thrown,throw,VERB,Hope,,
griddle,slammed,slammed,slamm,VERB,Hope,,
griddle,broken ,broken,break,VERB,Hope,,
gravy,eaten,eaten,eat,VERB,Hope,,
gravy,poured,poured,pour,VERB,Hope,,
gravy,slurped,slurped,slur,VERB,Hope,,
gravy,mixed,mixed,mix,VERB,Hope,,
gravy,heated up,heated,heate,VERB,Hope,,
gravy,cooled,cooled,cool,VERB,Hope,,
macaroon,eaten,eaten,eat,VERB,Hope,,
macaroon,frosted,frosted,froste,VERB,Hope,,
macaroon,decorated,decorated,decorate,VERB,Hope,,
macaroon,baked,baked,bake,VERB,Hope,,
macaroon,crunched,crunched,crunch,VERB,Hope,,
macaroon,broken,broken,break,VERB,Hope,,
macaroon,heated up,heated,heate,VERB,Hope,,
macaroon,cooled,cooled,cool,VERB,Hope,,
shower,for cleaning,cleaning,clean,VERB,Hope,,
throat,singing,singing,singe,VERB,Hope,,
throat,talking,talking,talk,VERB,Hope,,
throat,making noise,making,make,NOUN,Hope,,
throat,making noise,noise,noise,NOUN,Hope,,
throat,swallowing,swallowing,swallow,VERB,Hope,,
throat,eating,eating,eat,VERB,Hope,,
pinwheel,blow it,blow,blow,VERB,Hope,,
pinwheel,use it as toy,use,use,VERB,Hope,,
pinwheel,use it as toy,toy,toy,NOUN,Hope,,
pinwheel,decoration,decoration,decorate,VERB,Hope,,
loincloth,covering,covering,cover,VERB,Hope,,
loincloth,clothing,clothing,clothing,NOUN,Hope,,
loincloth,rag,rag,rag,NOUN,Hope,,
loincloth,fire starter,fire,fire,NOUN,Hope,,
loincloth,fire starter,starter,starter,NOUN,Hope,,
terrier,pet,pet,pet,NOUN,Hope,,
terrier,fed,fed,feed,VERB,Hope,,
terrier,loved,loved,love,VERB,Hope,,
terrier,cuddled,cuddled,cuddle,VERB,Hope,,
terrier,walked,walked,walk,VERB,Hope,,
terrier,bathed,bathed,bath,VERB,Hope,,
wallpaper,pasted,pasted,past,VERB,Hope,,
wallpaper,cleaned,cleaned,clean,VERB,Hope,,
wallpaper,pressed,pressed,press,VERB,Hope,,
wallpaper,rolled,rolled,roll,VERB,Hope,,
wallpaper,flattened out,flattened,flatten,VERB,Hope,,
wallpaper,stuck,stuck,stick,VERB,Hope,,
wallpaper,ripped,ripped,rip,VERB,Hope,,
labrador,cuddled,cuddled,cuddle,VERB,Hope,,
labrador,walked,walked,walk,VERB,Hope,,
labrador,loved,loved,love,VERB,Hope,,
labrador,bathed,bathed,bath,VERB,Hope,,
labrador,fed,fed,feed,VERB,Hope,,
labrador,hugged,hugged,hug,VERB,Hope,,
bellflower,picked,picked,pick,VERB,Hope,,
bellflower,smelled,smelled,smell,VERB,Hope,,
bellflower,planted,planted,plan,VERB,Hope,,
bellflower,uprooted,uprooted,uproote,VERB,Hope,,
bellflower,snapped,snapped,snap,VERB,Hope,,
bellflower,decorated,decorated,decorate,VERB,Hope,,
bellflower,used as decoration,used,use,VERB,Hope,,
bellflower,used as decoration,decoration,decorate,VERB,Hope,,
bellflower,watered ,watered,watere,VERB,Hope,,
shelf,store things,store,store,NOUN,Hope,,
shelf,store things,things,thing,NOUN,Hope,,
shelf,display,display,display,VERB,Hope,,
shelf,climb,climb,climb,VERB,Hope,,
watchmaker,time ,time,time,NOUN,Hope,,
fountain,water ,water,water,NOUN,Hope,,
Toilet,bathroom ,bathroom,bathroom,NOUN,Hope,,
lint,dryer ,dryer,dryer,NOUN,Hope,,
cream,coffee,coffee,coffee,NOUN,Hope,,
corvette,car ,car,car,NOUN,Hope,,
shortcake,strawberry ,strawberry,strawberry,NOUN,Hope,,
goat,chees e,cheese,cheese,NOUN,Hope,,
stethoscope,doctor,doctor,doctor,NOUN,Hope,,
genitalia,body part ,body,body,NOUN,Hope,,
genitalia,body part ,part,part,NOUN,Hope,,
broom,witch ,witch,witch,NOUN,Hope,,
farmhand,farmer ,farmer,farmer,NOUN,Hope,,
scar,cut ,cut,cut,VERB,Hope,,
patrolman,guarf,guard,guard,NOUN,Hope,,
watch,time ,time,time,NOUN,Hope,,
tobacco,bad,bad,bad,ADJ,Hope,,
nurse,health ,health,health,NOUN,Hope,,
machetes,cutting ,cutting,cut,VERB,Hope,,
neck,support,support,support,VERB,Hope,,
workbook,school ,school,school,NOUN,Hope,,
caseworker,lawyer ,lawyer,lawyer,NOUN,Hope,,
toboggan,sledding ,sledding,sled,VERB,Hope,,
fence,white ,white,white,ADJ,Hope,,
coke,soda ,soda,soda,NOUN,Hope,,
encyclopedia,search ,search,search,VERB,Hope,,
slipcover,vehicle,vehicle,vehicle,NOUN,Hope,,
receipt,groceries ,groceries,grocery,NOUN,Hope,,
creamer,coffee ,coffee,coffee,NOUN,Hope,,
partner,boyfriend ,boyfriend,boyfriend,NOUN,Hope,,
buttermilk,in cooking,cooking,cook,VERB,Hope,,
buttermilk,to drink (if you're weird),drink,drink,VERB,Hope,,
buttermilk,to drink (if you're weird),weird,weird,ADJ,Hope,,
buttermilk,for baths,baths,bathe,NOUN,Hope,,
traveler,to learn about places you havent been to,learn,learn,VERB,Hope,,
traveler,to learn about places you havent been to,places,place,NOUN,Hope,,
traveler,to send mail,send,send,VERB,Hope,,
traveler,to send mail,mail,mail,NOUN,Hope,,
honey,in cooking,cooking,cook,VERB,Hope,,
honey,just to eat,just,just,ADV,Hope,,
honey,just to eat,eat,eat,VERB,Hope,,
honey,to make bears happy,make,make,VERB,Hope,,
honey,to make bears happy,bears,bear,NOUN,Hope,,
honey,to make bears happy,happy,happy,ADJ,Hope,,
gatehouse,to watch over a property,watch,watch,VERB,Hope,,
gatehouse,to watch over a property,property,property,NOUN,Hope,,
gatehouse,to protect people,protect,protect,VERB,Hope,,
gatehouse,to protect people,people,people,NOUN,Hope,,
skateboarder,to learn to skate,learn,learn,VERB,Hope,,
skateboarder,to learn to skate,skate,skate,VERB,Hope,,
skateboarder,to exercise with,exercise,exercise,NOUN,Hope,,
ass,to slap,slap,slap,VERB,Hope,,
ass,an ass can be someone unpleasant,can,can,AUX,Hope,,
ass,an ass can be someone unpleasant,someone,someone,PRON,Hope,,
ass,an ass can be someone unpleasant,unpleasant,unpleasant,ADJ,Hope,,
ass,a donkey,donkey,donkey,NOUN,Hope,,
ass,to emphasize words or phrases,emphasize,emphasize,NOUN,Hope,,
ass,to emphasize words or phrases,words,word,NOUN,Hope,,
ass,to emphasize words or phrases,phrases,phrase,NOUN,Hope,,
house,to live in,live,live,VERB,Hope,,
house,to rent out,rent,rent,VERB,Hope,,
house,to store things,store,store,VERB,Hope,,
house,to store things,things,thing,NOUN,Hope,,
house,to provide safety,provide,provide,VERB,Hope,,
house,to provide safety,safety,safety,NOUN,Hope,,
harpist,to play at events,play,play,VERB,Hope,,
harpist,to play at events,events,event,NOUN,Hope,,
harpist,to learn to play harp yourself,learn,learn,VERB,Hope,,
harpist,to learn to play harp yourself,play,play,VERB,Hope,,
harpist,to learn to play harp yourself,harp,harp,INTJ,Hope,,
genitals,to procreate,procreate,procreate,VERB,Hope,,
genitals,to please oneself,please,please,VERB,Hope,,
genitals,to please oneself,oneself,oneself,PRON,Hope,,
