CUE,RESPONSE,RESPONSE.TOKEN,RESPONSE.LEMMA,POS,Source
body,excite ,excite,excite,VERB,MSU-TEXAS
tailcoat,sew,sew,sew,VERB,MSU-TEXAS
tailcoat,cut,cut,cut,VERB,MSU-TEXAS
tailcoat,rip,rip,rip,VERB,MSU-TEXAS
tailcoat,tuck,tuck,tuck,VERB,MSU-TEXAS
tailcoat,squeeze,squeeze,squeeze,VERB,MSU-TEXAS
tailcoat,stitch,stitch,stitch,VERB,MSU-TEXAS
tailcoat,dye,dye,dye,VERB,MSU-TEXAS
motel,sleep,sleep,sleep,VERB,MSU-TEXAS
motel,eat,eat,eat,VERB,MSU-TEXAS
motel,relax,relax,relax,VERB,MSU-TEXAS
motel,drink,drink,drink,VERB,MSU-TEXAS
motel,party,party,party,VERB,MSU-TEXAS
motel,sex,sex,sex,VERB,MSU-TEXAS
motel,shelter,shelter,shelter,VERB,MSU-TEXAS
motel,home,home,home,ADV,MSU-TEXAS
motel,swim,swim,swim,VERB,MSU-TEXAS
seating,sit,sit,sit,VERB,MSU-TEXAS
seating,stand on,stand,stand,VERB,MSU-TEXAS
seating,spill on,spill,spill,VERB,MSU-TEXAS
seating,organize,organize,organize,VERB,MSU-TEXAS
seating,separate,separate,separate,ADJ,MSU-TEXAS
seating,divide,divide,divide,VERB,MSU-TEXAS
torchlight,see,see,see,VERB,MSU-TEXAS
torchlight,light things on fire,light,light,VERB,MSU-TEXAS
torchlight,light things on fire,things,thing,NOUN,MSU-TEXAS
torchlight,light things on fire,fire,fire,NOUN,MSU-TEXAS
torchlight,ambiance,ambiance,ambiance,NOUN,MSU-TEXAS
torchlight,illuminate,illuminate,illuminate,VERB,MSU-TEXAS
torchlight,keep mosquitoes away,keep,keep,VERB,MSU-TEXAS
torchlight,keep mosquitoes away,mosquitoes,mosquitoe,NOUN,MSU-TEXAS
torchlight,keep mosquitoes away,away,away,ADV,MSU-TEXAS
ashcan,sit on,sit,sit,VERB,MSU-TEXAS
ashcan,put ashes in,put,put,VERB,MSU-TEXAS
ashcan,put ashes in,ashes,ash,NOUN,MSU-TEXAS
ashcan,clean,clean,clean,ADJ,MSU-TEXAS
ashcan,throw,throw,throw,VERB,MSU-TEXAS
ashcan,hit,hit,hit,VERB,MSU-TEXAS
ashcan,kick,kick,kick,VERB,MSU-TEXAS
ashcan,store items,store,store,VERB,MSU-TEXAS
ashcan,store items,items,item,NOUN,MSU-TEXAS
ashcan,planter,planter,planter,NOUN,MSU-TEXAS
ashcan,light on fire,light,light,VERB,MSU-TEXAS
ashcan,light on fire,fire,fire,NOUN,MSU-TEXAS
ashcan,use as a toilet,use,use,VERB,MSU-TEXAS
ashcan,use as a toilet,toilet,toilet,NOUN,MSU-TEXAS
ashcan,pee in,pee,pee,VERB,MSU-TEXAS
client,be their friend,friend,friend,NOUN,MSU-TEXAS
client,help them,help,help,VERB,MSU-TEXAS
client,love them,love,love,VERB,MSU-TEXAS
client,hate them,hate,hate,VERB,MSU-TEXAS
client,create more relationships,create,create,VERB,MSU-TEXAS
client,create more relationships,relationships,relationship,NOUN,MSU-TEXAS
client,have sex with them,sex,sex,VERB,MSU-TEXAS
client,hit them,hit,hit,VERB,MSU-TEXAS
client,advise them,advise,advise,VERB,MSU-TEXAS
client,spend time with them,spend,spend,VERB,MSU-TEXAS
client,spend time with them,time,time,NOUN,MSU-TEXAS
client,kiss them,kiss,kiss,VERB,MSU-TEXAS
client,engage them,engage,engage,VERB,MSU-TEXAS
phalanges,hold things,hold,hold,VERB,MSU-TEXAS
phalanges,hold things,things,thing,NOUN,MSU-TEXAS
phalanges,touch,touch,touch,VERB,MSU-TEXAS
phalanges,lick them,lick,lick,VERB,MSU-TEXAS
phalanges,to caress,caress,caress,VERB,MSU-TEXAS
phalanges,give someone the bird,give,give,VERB,MSU-TEXAS
phalanges,give someone the bird,someone,someone,PRON,MSU-TEXAS
phalanges,give someone the bird,bird,bird,NOUN,MSU-TEXAS
phalanges,cross them,cross,cross,VERB,MSU-TEXAS
phalanges,put rings on them,put,put,VERB,MSU-TEXAS
phalanges,put rings on them,rings,ring,NOUN,MSU-TEXAS
phalanges,stroke,stroke,stroke,VERB,MSU-TEXAS
phalanges,pet an animal,pet,pet,VERB,MSU-TEXAS
phalanges,pet an animal,animal,animal,NOUN,MSU-TEXAS
phalanges,flush the toilet,flush,flush,VERB,MSU-TEXAS
phalanges,flush the toilet,toilet,toilet,NOUN,MSU-TEXAS
phalanges,drive,drive,drive,VERB,MSU-TEXAS
phalanges,eating,eating,eat,VERB,MSU-TEXAS
phalanges,throwing a football,throwing,throw,VERB,MSU-TEXAS
phalanges,throwing a football,football,football,NOUN,MSU-TEXAS
phalanges,using a key to open the door,using,use,VERB,MSU-TEXAS
phalanges,using a key to open the door,key,key,ADJ,MSU-TEXAS
phalanges,using a key to open the door,open,open,VERB,MSU-TEXAS
phalanges,using a key to open the door,door,door,NOUN,MSU-TEXAS
phalanges,break,break,break,VERB,MSU-TEXAS
phalanges,sprain,sprain,sprain,VERB,MSU-TEXAS
creek,swim in,swim,swim,VERB,MSU-TEXAS
creek,eat from,eat,eat,VERB,MSU-TEXAS
creek,drinking water,drinking,drink,VERB,MSU-TEXAS
creek,drinking water,water,water,NOUN,MSU-TEXAS
creek,skip rocks,skip,skip,VERB,MSU-TEXAS
creek,skip rocks,rocks,rock,NOUN,MSU-TEXAS
creek,sit in,sit,sit,VERB,MSU-TEXAS
creek,cross,cross,cross,VERB,MSU-TEXAS
creek,boat,boat,boat,NOUN,MSU-TEXAS
creek,kayak,kayak,kayak,VERB,MSU-TEXAS
eggplant,eat,eat,eat,VERB,MSU-TEXAS
eggplant,grow,grow,grow,VERB,MSU-TEXAS
eggplant,feed,feed,feed,NOUN,MSU-TEXAS
eggplant,pick,pick,pick,VERB,MSU-TEXAS
eggplant,cook,cook,cake,VERB,MSU-TEXAS
eggplant,steam,steam,steam,VERB,MSU-TEXAS
eggplant,grill,grill,grill,VERB,MSU-TEXAS
eggplant,slice,slice,slice,VERB,MSU-TEXAS
eggplant,dice,dice,dice,VERB,MSU-TEXAS
eggplant,chop ,chop,chop,VERB,MSU-TEXAS
hoe,scrap,scrap,scrap,VERB,MSU-TEXAS
hoe,clean,clean,clean,VERB,MSU-TEXAS
hoe,loosen,loosen,loosen,VERB,MSU-TEXAS
hoe,chop,chop,chop,VERB,MSU-TEXAS
hoe,dig,dig,dig,VERB,MSU-TEXAS
hoe,create,create,create,VERB,MSU-TEXAS
hoe,sit,sit,sit,VERB,MSU-TEXAS
hoe,move,move,move,VERB,MSU-TEXAS
hoe,hold,hold,hold,VERB,MSU-TEXAS
hoe,touch,touch,touch,VERB,MSU-TEXAS
hoe,hit with,hit,hit,VERB,MSU-TEXAS
hoe,store,store,store,VERB,MSU-TEXAS
pantry,store food in,store,store,VERB,MSU-TEXAS
pantry,store food in,food,food,NOUN,MSU-TEXAS
pantry,walk in,walk,walk,VERB,MSU-TEXAS
pantry,paint,paint,paint,VERB,MSU-TEXAS
pantry,put trash in it,put,put,VERB,MSU-TEXAS
pantry,put trash in it,trash,trash,INTJ,MSU-TEXAS
pantry,hide in it ,hide,hide,NOUN,MSU-TEXAS
fruit,eat,eat,eat,VERB,MSU-TEXAS
fruit,cut,cut,cut,VERB,MSU-TEXAS
fruit,bake,bake,bake,VERB,MSU-TEXAS
fruit,decorate,decorate,decorate,VERB,MSU-TEXAS
fruit,throw,throw,throw,VERB,MSU-TEXAS
fruit,smash,smash,smash,VERB,MSU-TEXAS
fruit,grow,grow,grow,VERB,MSU-TEXAS
fruit,water,water,water,NOUN,MSU-TEXAS
fruit,peel,peel,peel,VERB,MSU-TEXAS
fruit,cut,cut,cut,VERB,MSU-TEXAS
fruit,in a salad,salad,salad,NOUN,MSU-TEXAS
fruit,pack it,pack,pack,NOUN,MSU-TEXAS
fruit,sell it,sell,sell,VERB,MSU-TEXAS
matter,eat,eat,eat,VERB,MSU-TEXAS
matter,crush,crush,crush,VERB,MSU-TEXAS
matter,bite,bite,bite,VERB,MSU-TEXAS
matter,hit,hit,hit,VERB,MSU-TEXAS
matter,kick,kick,kick,VERB,MSU-TEXAS
matter,pull,pull,pull,VERB,MSU-TEXAS
matter,push,push,push,VERB,MSU-TEXAS
matter,sit on,sit,sit,VERB,MSU-TEXAS
matter,lay on,lay,lay,VERB,MSU-TEXAS
matter,feel,feel,feel,VERB,MSU-TEXAS
matter,smell,smell,smell,VERB,MSU-TEXAS
matter,see,see,see,VERB,MSU-TEXAS
matter,squeeze,squeeze,squeeze,VERB,MSU-TEXAS
matter,cut,cut,cut,VERB,MSU-TEXAS
matter,open,open,open,ADJ,MSU-TEXAS
matter,kiss,kiss,kiss,VERB,MSU-TEXAS
matter,hug,hug,hug,VERB,MSU-TEXAS
matter,run on,run,run,VERB,MSU-TEXAS
matter,walk on,walk,walk,VERB,MSU-TEXAS
matter,lift,lift,lift,VERB,MSU-TEXAS
matter,water,water,water,NOUN,MSU-TEXAS
matter,turn on,turn,turn,VERB,MSU-TEXAS
matter,turn off,turn,turn,VERB,MSU-TEXAS
matter,spray,spray,spray,VERB,MSU-TEXAS
matter,open,open,open,ADJ,MSU-TEXAS
matter,close it,close,close,ADJ,MSU-TEXAS
matter,bake,bake,bake,VERB,MSU-TEXAS
matter,grill,grill,grill,VERB,MSU-TEXAS
matter,pinch,pinch,pinch,VERB,MSU-TEXAS
matter,taste,taste,taste,VERB,MSU-TEXAS
accordion,move,move,move,VERB,MSU-TEXAS
accordion,squeeze,squeeze,squeeze,VERB,MSU-TEXAS
accordion,close,close,close,ADJ,MSU-TEXAS
accordion,open,open,open,ADJ,MSU-TEXAS
accordion,listen,listen,listen,VERB,MSU-TEXAS
accordion,practice on,practice,practice,VERB,MSU-TEXAS
accordion,enjoy,enjoy,enjoy,VERB,MSU-TEXAS
accordion,break,break,break,VERB,MSU-TEXAS
accordion,step on,step,step,VERB,MSU-TEXAS
accordion,cut,cut,cut,VERB,MSU-TEXAS
accordion,draw on,draw,dree,VERB,MSU-TEXAS
accordion,put away,put,put,VERB,MSU-TEXAS
accordion,put away,away,away,ADV,MSU-TEXAS
accordion,play,play,play,VERB,MSU-TEXAS
beef,eat,eat,eat,VERB,MSU-TEXAS
beef,cut,cut,cut,VERB,MSU-TEXAS
beef,store,store,store,VERB,MSU-TEXAS
beef,wrap,wrap,wrap,VERB,MSU-TEXAS
beef,grill,grill,grill,VERB,MSU-TEXAS
beef,seer,seer,seer,VERB,MSU-TEXAS
beef,dice,dice,dice,VERB,MSU-TEXAS
beef,chop,chop,chop,VERB,MSU-TEXAS
beef,bake,bake,bake,VERB,MSU-TEXAS
beef,fry,fry,fry,VERB,MSU-TEXAS
beef,throw,throw,throw,VERB,MSU-TEXAS
beef,store,store,store,VERB,MSU-TEXAS
beef,touch,touch,touch,VERB,MSU-TEXAS
shelter,safety,safety,safety,NOUN,MSU-TEXAS
shelter,live in,live,live,VERB,MSU-TEXAS
shelter,hide,hide,hide,VERB,MSU-TEXAS
shelter,keep warm,keep,keep,VERB,MSU-TEXAS
shelter,keep warm,warm,warm,ADJ,MSU-TEXAS
shelter,eat,eat,eat,VERB,MSU-TEXAS
shelter,play,play,play,VERB,MSU-TEXAS
shelter,love,love,love,VERB,MSU-TEXAS
shelter,renovate,renovate,renovate,VERB,MSU-TEXAS
shelter,clean,clean,clean,VERB,MSU-TEXAS
shelter,shower,shower,shower,VERB,MSU-TEXAS
shelter,build,build,build,VERB,MSU-TEXAS
case,solve,solve,solve,VERB,MSU-TEXAS
case,store,store,store,NOUN,MSU-TEXAS
case,keep safe,keep,keep,VERB,MSU-TEXAS
case,keep safe,safe,safe,ADJ,MSU-TEXAS
case,touch,touch,touch,NOUN,MSU-TEXAS
case,carry,carry,carry,VERB,MSU-TEXAS
case,break,break,break,NOUN,MSU-TEXAS
case,sit on,sit,sit,VERB,MSU-TEXAS
case,buy,buy,buy,VERB,MSU-TEXAS
case,sell,sell,sell,VERB,MSU-TEXAS
avocado,eat,eat,eat,VERB,MSU-TEXAS
avocado,slice,slice,slice,VERB,MSU-TEXAS
avocado,dice,dice,dice,VERB,MSU-TEXAS
avocado,cut,cut,cut,VERB,MSU-TEXAS
avocado,smash,smash,smash,VERB,MSU-TEXAS
avocado,peel,peel,peel,VERB,MSU-TEXAS
avocado,salt,salt,salt,NOUN,MSU-TEXAS
avocado,grow,grow,grow,VERB,MSU-TEXAS
avocado,sell,sell,sell,VERB,MSU-TEXAS
avocado,stack,stack,stack,VERB,MSU-TEXAS
arrow,throw,throw,throw,VERB,MSU-TEXAS
arrow,shoot,shoot,shoot,VERB,MSU-TEXAS
arrow,cut,cut,cut,VERB,MSU-TEXAS
arrow,break,break,break,NOUN,MSU-TEXAS
arrow,combine with others,combine,combine,VERB,MSU-TEXAS
arrow,combine with others,others,other,NOUN,MSU-TEXAS
arrow,point,point,point,VERB,MSU-TEXAS
arrow,slice,slice,slice,VERB,MSU-TEXAS
arrow,dice,dice,dice,VERB,MSU-TEXAS
arrow,stick,stick,stick,VERB,MSU-TEXAS
groundsman,take care of,take,take,VERB,MSU-TEXAS
groundsman,take care of,care,care,NOUN,MSU-TEXAS
groundsman,water,water,water,NOUN,MSU-TEXAS
groundsman,fix things,fix,fix,VERB,MSU-TEXAS
groundsman,fix things,things,thing,NOUN,MSU-TEXAS
groundsman,walk,walk,walk,VERB,MSU-TEXAS
groundsman,sit,sit,sit,VERB,MSU-TEXAS
groundsman,plant,plant,plant,NOUN,MSU-TEXAS
groundsman,run,run,run,VERB,MSU-TEXAS
groundsman,plan,plan,plan,NOUN,MSU-TEXAS
groundsman,grow,grow,grow,VERB,MSU-TEXAS
stick,poke,poke,poke,VERB,MSU-TEXAS
stick,break,break,break,VERB,MSU-TEXAS
stick,whittle,whittle,whitle,NOUN,MSU-TEXAS
stick,carve,carve,carve,VERB,MSU-TEXAS
stick,cut,cut,cut,VERB,MSU-TEXAS
stick,saw,saw,see,VERB,MSU-TEXAS
stick,shave,shave,shave,VERB,MSU-TEXAS
stick,build houses,build,build,VERB,MSU-TEXAS
stick,build houses,houses,house,NOUN,MSU-TEXAS
stick,puncture,puncture,puncture,VERB,MSU-TEXAS
stick,snap,snap,snap,VERB,MSU-TEXAS
stick,carry,carry,carry,VERB,MSU-TEXAS
stick,step on,step,step,VERB,MSU-TEXAS
stick,store ,store,store,NOUN,MSU-TEXAS
drug,use,use,use,VERB,MSU-TEXAS
drug,sell,sell,sell,VERB,MSU-TEXAS
drug,promote,promote,promote,VERB,MSU-TEXAS
drug,orally,orally,orally,ADV,MSU-TEXAS
drug,injection-able,injection,inject,VERB,MSU-TEXAS
drug,injection-able,able,able,ADJ,MSU-TEXAS
drug,snort,snort,snort,VERB,MSU-TEXAS
drug,educate,educate,educate,VERB,MSU-TEXAS
drug,heal,heal,heal,VERB,MSU-TEXAS
drug,take,take,take,VERB,MSU-TEXAS
drug,eat,eat,eat,VERB,MSU-TEXAS
drug,inhale ,inhale,inhale,VERB,MSU-TEXAS
linoleum,lay,lay,lay,VERB,MSU-TEXAS
linoleum,glue,glue,glue,VERB,MSU-TEXAS
linoleum,step on,step,step,VERB,MSU-TEXAS
linoleum,break,break,break,VERB,MSU-TEXAS
linoleum,sell,sell,sell,VERB,MSU-TEXAS
linoleum,return,return,return,NOUN,MSU-TEXAS
linoleum,clean,clean,clean,VERB,MSU-TEXAS
illustrator,promote,promote,promote,VERB,MSU-TEXAS
illustrator,create,create,create,VERB,MSU-TEXAS
fleece,clothing,clothing,clothing,NOUN,MSU-TEXAS
fleece,fire starter,fire,fire,NOUN,MSU-TEXAS
fleece,fire starter,starter,starter,NOUN,MSU-TEXAS
fleece,picking up liquid,picking,pick,VERB,MSU-TEXAS
fleece,picking up liquid,liquid,liquid,AUX,MSU-TEXAS
scalpel,weapon,weapon,weapon,NOUN,MSU-TEXAS
scalpel,surgery tool,surgery,surgery,NOUN,MSU-TEXAS
scalpel,surgery tool,tool,tool,NOUN,MSU-TEXAS
scalpel,art tool,art,art,NOUN,MSU-TEXAS
scalpel,art tool,tool,tool,NOUN,MSU-TEXAS
scalpel,redirect sun rays,redirect,redirect,VERB,MSU-TEXAS
scalpel,redirect sun rays,sun,sun,NOUN,MSU-TEXAS
scalpel,redirect sun rays,rays,ray,NOUN,MSU-TEXAS
scalpel,write on hard surfaces,write,write,VERB,MSU-TEXAS
scalpel,write on hard surfaces,hard,hard,ADJ,MSU-TEXAS
scalpel,write on hard surfaces,surfaces,surface,NOUN,MSU-TEXAS
scalpel,cooking tool,cooking,cook,VERB,MSU-TEXAS
scalpel,cooking tool,tool,tool,NOUN,MSU-TEXAS
windowsill,keep window stable,keep,keep,VERB,MSU-TEXAS
windowsill,keep window stable,window,window,NOUN,MSU-TEXAS
windowsill,keep window stable,stable,stable,ADJ,MSU-TEXAS
windowsill,anchoring point for climbing equipment,anchoring,anchor,VERB,MSU-TEXAS
windowsill,anchoring point for climbing equipment,point,point,NOUN,MSU-TEXAS
windowsill,anchoring point for climbing equipment,climbing,climb,VERB,MSU-TEXAS
windowsill,anchoring point for climbing equipment,equipment,equipment,NOUN,MSU-TEXAS
nephew,household work,household,household,NOUN,MSU-TEXAS
nephew,household work,work,work,NOUN,MSU-TEXAS
nephew,counseling,counseling,counsel,VERB,MSU-TEXAS
nephew,teaching,teaching,teach,NOUN,MSU-TEXAS
nephew,moving,moving,move,VERB,MSU-TEXAS
nephew,babysitting,babysitting,babysit,NOUN,MSU-TEXAS
nephew,communicating to others,communicating,communicate,VERB,MSU-TEXAS
nephew,communicating to others,others,other,NOUN,MSU-TEXAS
yam,food,food,food,NOUN,MSU-TEXAS
yam,blunt force throwing object,blunt,blunt,NOUN,MSU-TEXAS
yam,blunt force throwing object,force,force,NOUN,MSU-TEXAS
yam,blunt force throwing object,throwing,throw,VERB,MSU-TEXAS
yam,blunt force throwing object,object,object,ADV,MSU-TEXAS
cable,weapon,weapon,weapon,NOUN,MSU-TEXAS
cable,signal converter,signal,signal,NOUN,MSU-TEXAS
cable,signal converter,converter,converter,NOUN,MSU-TEXAS
cable,rope for hoisting or arresting,rope,rope,NOUN,MSU-TEXAS
cable,rope for hoisting or arresting,hoisting,hoist,VERB,MSU-TEXAS
cable,rope for hoisting or arresting,arresting,arrest,NOUN,MSU-TEXAS
valet,parking a car,parking,park,VERB,MSU-TEXAS
valet,parking a car,car,car,NOUN,MSU-TEXAS
valet,getting general info of the area,getting,get,VERB,MSU-TEXAS
valet,getting general info of the area,general,general,ADJ,MSU-TEXAS
valet,getting general info of the area,info,info,NOUN,MSU-TEXAS
valet,getting general info of the area,area,area,NOUN,MSU-TEXAS
step,get mud off of a boot,get,get,VERB,MSU-TEXAS
step,get mud off of a boot,mud,mud,NOUN,MSU-TEXAS
step,get mud off of a boot,boot,boot,NOUN,MSU-TEXAS
step,elevator,elevator,elevator,NOUN,MSU-TEXAS
step,leverage for breaking a stick,leverage,leverage,NOUN,MSU-TEXAS
step,leverage for breaking a stick,breaking,break,NOUN,MSU-TEXAS
step,leverage for breaking a stick,stick,stick,NOUN,MSU-TEXAS
kissing,showing affinity,showing,show,VERB,MSU-TEXAS
kissing,showing affinity,affinity,affinity,NOUN,MSU-TEXAS
blazer,clothing,clothing,clothing,NOUN,MSU-TEXAS
blazer,fire kindling,fire,fire,NOUN,MSU-TEXAS
blazer,fire kindling,kindling,kindling,NOUN,MSU-TEXAS
blazer,storage of small items,storage,store,VERB,MSU-TEXAS
blazer,storage of small items,small,small,ADJ,MSU-TEXAS
blazer,storage of small items,items,item,NOUN,MSU-TEXAS
blazer,statement maker,statement,statement,NOUN,MSU-TEXAS
blazer,statement maker,maker,maker,NOUN,MSU-TEXAS
blazer,rope,rope,rope,NOUN,MSU-TEXAS
sock,clothing,clothing,clothing,NOUN,MSU-TEXAS
sock,small item holder,small,small,ADJ,MSU-TEXAS
sock,small item holder,item,item,NOUN,MSU-TEXAS
sock,small item holder,holder,hold,VERB,MSU-TEXAS
sock,fire kindling,fire,fire,NOUN,MSU-TEXAS
sock,fire kindling,kindling,kindling,NOUN,MSU-TEXAS
sock,mask,mask,mask,NOUN,MSU-TEXAS
sock,cleaning scrub,cleaning,cleaning,NOUN,MSU-TEXAS
sock,cleaning scrub,scrub,scrub,VERB,MSU-TEXAS
sock,liquid cleaning,liquid,liquid,AUX,MSU-TEXAS
sock,liquid cleaning,cleaning,cleaning,NOUN,MSU-TEXAS
chalice,small item holder,small,small,ADJ,MSU-TEXAS
chalice,small item holder,item,item,NOUN,MSU-TEXAS
chalice,small item holder,holder,holder,NOUN,MSU-TEXAS
chalice,drink receptacle,drink,drink,NOUN,MSU-TEXAS
chalice,drink receptacle,receptacle,receptacle,NOUN,MSU-TEXAS
chalice,fire holder,fire,fire,NOUN,MSU-TEXAS
chalice,fire holder,holder,holder,NOUN,MSU-TEXAS
chalice,cookie cutter,cookie,cookie,NOUN,MSU-TEXAS
chalice,cookie cutter,cutter,cutter,NOUN,MSU-TEXAS
chalice,weapon,weapon,weapon,NOUN,MSU-TEXAS
chalice,step,step,step,VERB,MSU-TEXAS
blouse,rope,rope,rope,NOUN,MSU-TEXAS
blouse,clothing,clothing,clothing,NOUN,MSU-TEXAS
blouse,fire kindling,fire,fire,NOUN,MSU-TEXAS
blouse,fire kindling,kindling,kindling,NOUN,MSU-TEXAS
blouse,floatation device,flotation,flotation,NOUN,MSU-TEXAS
blouse,floatation device,device,device,NOUN,MSU-TEXAS
pool,water holder,water,water,NOUN,MSU-TEXAS
pool,water holder,holder,holder,NOUN,MSU-TEXAS
pool,exercise,exercise,exercise,NOUN,MSU-TEXAS
pool,weapon,weapon,weapon,NOUN,MSU-TEXAS
pool,blinding potential,blinding,blind,NOUN,MSU-TEXAS
pool,blinding potential,potential,potential,ADJ,MSU-TEXAS
cube,step,step,step,VERB,MSU-TEXAS
cube,fill in a hole,fill,fill,NOUN,MSU-TEXAS
cube,fill in a hole,hole,hole,NOUN,MSU-TEXAS
cube,canvas for art,canvas,canvas,NOUN,MSU-TEXAS
cube,canvas for art,art,art,NOUN,MSU-TEXAS
cube,throwing object,throwing,throw,VERB,MSU-TEXAS
cube,throwing object,object,object,ADV,MSU-TEXAS
drumstick,food,food,food,NOUN,MSU-TEXAS
drumstick,stabbing weapon potential,stabbing,stab,VERB,MSU-TEXAS
drumstick,stabbing weapon potential,weapon,weapon,NOUN,MSU-TEXAS
drumstick,stabbing weapon potential,potential,potential,ADJ,MSU-TEXAS
drumstick,music maker,music,music,NOUN,MSU-TEXAS
drumstick,music maker,maker,maker,NOUN,MSU-TEXAS
stove,storage,storage,storage,NOUN,MSU-TEXAS
stove,cooking,cooking,cook,NOUN,MSU-TEXAS
stove,heat source,heat,heat,NOUN,MSU-TEXAS
stove,heat source,source,source,NOUN,MSU-TEXAS
stove,weapon,weapon,weapon,NOUN,MSU-TEXAS
calf,working animal,working,work,VERB,MSU-TEXAS
calf,working animal,animal,animal,NOUN,MSU-TEXAS
calf,food,food,food,NOUN,MSU-TEXAS
calf,transportation of goods,transportation,transport,VERB,MSU-TEXAS
calf,transportation of goods,goods,goods,NOUN,MSU-TEXAS
housecoat,clothing,clothing,clothing,NOUN,MSU-TEXAS
housecoat,storage,storage,storage,NOUN,MSU-TEXAS
housecoat,fire kindling,fire,fire,NOUN,MSU-TEXAS
housecoat,fire kindling,kindling,kindling,NOUN,MSU-TEXAS
housecoat,statement maker,statement,statement,NOUN,MSU-TEXAS
housecoat,statement maker,maker,maker,NOUN,MSU-TEXAS
housecoat,rope,rope,rope,NOUN,MSU-TEXAS
grits,food,food,food,NOUN,MSU-TEXAS
grits,slipping agent,slipping,slip,VERB,MSU-TEXAS
grits,slipping agent,agent,agent,NOUN,MSU-TEXAS
ashtray,throwing object,throwing,throw,VERB,MSU-TEXAS
ashtray,throwing object,object,object,ADV,MSU-TEXAS
ashtray,holding fire or ash,holding,hold,NOUN,MSU-TEXAS
ashtray,holding fire or ash,fire,fire,NOUN,MSU-TEXAS
ashtray,holding fire or ash,ash,ash,INTJ,MSU-TEXAS
ashtray,holding food or small objects,holding,hold,NOUN,MSU-TEXAS
ashtray,holding food or small objects,food,food,NOUN,MSU-TEXAS
ashtray,holding food or small objects,small,small,ADJ,MSU-TEXAS
ashtray,holding food or small objects,objects,object,VERB,MSU-TEXAS
chessboard,weapon,weapon,weapon,NOUN,MSU-TEXAS
chessboard,math device,math,math,NOUN,MSU-TEXAS
chessboard,math device,device,device,NOUN,MSU-TEXAS
chessboard,food plate,food,food,NOUN,MSU-TEXAS
chessboard,food plate,plate,plate,NOUN,MSU-TEXAS
hippie,find good drugs,find,find,VERB,MSU-TEXAS
hippie,find good drugs,good,good,ADJ,MSU-TEXAS
hippie,find good drugs,drugs,drug,NOUN,MSU-TEXAS
hippie,use as a distraction,use,use,VERB,MSU-TEXAS
hippie,use as a distraction,distraction,distraction,NOUN,MSU-TEXAS
hippie,gain life experience,gain,gain,VERB,MSU-TEXAS
hippie,gain life experience,life,life,NOUN,MSU-TEXAS
hippie,gain life experience,experience,experience,NOUN,MSU-TEXAS
Robot,household chores,household,household,NOUN,MSU-TEXAS
