Username,Condition.Description,Stimuli.Cue,Procedure.Item,affordance_parsed,word,lemma,POS,Group
20304703CW,Version 27,skin,790,body,body,body,NOUN,MSU-TEXAS
20304703CW,Version 27,skin,790,touch ,touch,touch,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,massage ,massage,massage,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,moisturize,moisturize,moisturize,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,cleanse tattoo,cleanse,cleanse,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,cleanse tattoo,tattoo,tattoo,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,pierce ,pierce,pierce,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,wash,wash,wash,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,shave ,shave,shave,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,protect organs ,protect,protect,VERB,MSU-TEXAS
20304703CW,Version 27,skin,790,protect organs ,organs,organ,NOUN,MSU-TEXAS
20304703CW,Version 27,electronics,784,play games ,play,play,VERB,MSU-TEXAS
20304703CW,Version 27,electronics,784,play games ,games,game,NOUN,MSU-TEXAS
20304703CW,Version 27,electronics,784,communicate ,communicate,communicate,VERB,MSU-TEXAS
20304703CW,Version 27,electronics,784,social medial ,social,social,ADJ,MSU-TEXAS
20304703CW,Version 27,electronics,784,social medial ,medial,medial,ADJ,MSU-TEXAS
20304703CW,Version 27,electronics,784,watch youtube ,watch,watch,VERB,MSU-TEXAS
20304703CW,Version 27,electronics,784,watch youtube ,tube,youtube,NOUN,MSU-TEXAS
20304703CW,Version 27,electronics,784,read news ,read,read,VERB,MSU-TEXAS
20304703CW,Version 27,electronics,784,read news ,news,news,NOUN,MSU-TEXAS
20304703CW,Version 27,electronics,784,text ,text,text,VERB,MSU-TEXAS
20304703CW,Version 27,electronics,784,search things ,search,search,VERB,MSU-TEXAS
20304703CW,Version 27,electronics,784,search things ,things,thing,NOUN,MSU-TEXAS
20304703CW,Version 27,daiquiri,800,drink ,drink,drink,VERB,MSU-TEXAS
20304703CW,Version 27,daiquiri,800,make,make,make,VERB,MSU-TEXAS
20304703CW,Version 27,apricot,809,on bread ,bread,bread,NOUN,MSU-TEXAS
20304703CW,Version 27,apricot,809,to eat ,eat,eat,VERB,MSU-TEXAS
20304703CW,Version 27,fondue,795,to eat ,eat,eat,VERB,MSU-TEXAS
20304703CW,Version 27,fondue,795,dip with chips ,dip,dip,VERB,MSU-TEXAS
20304703CW,Version 27,fondue,795,dip with chips ,chips,chip,NOUN,MSU-TEXAS
20304703CW,Version 27,fondue,795,dip with bread ,dip,dip,VERB,MSU-TEXAS
20304703CW,Version 27,fondue,795,dip with bread ,bread,bread,NOUN,MSU-TEXAS
20304703CW,Version 27,sedative,801,to sleep ,sleep,sleep,VERB,MSU-TEXAS
20304703CW,Version 27,sedative,801,calm pain ,calm,calm,VERB,MSU-TEXAS
20304703CW,Version 27,sedative,801,calm pain ,pain,pain,NOUN,MSU-TEXAS
20304703CW,Version 27,sedative,801,induce coma,induce,induce,VERB,MSU-TEXAS
20304703CW,Version 27,sedative,801,induce coma,coma,coma,NOUN,MSU-TEXAS
20304703CW,Version 27,cherry,805,on a milkshake ,milkshake,milkshake,NOUN,MSU-TEXAS
20304703CW,Version 27,cherry,805,give something flavor ,give,give,VERB,MSU-TEXAS
20304703CW,Version 27,cherry,805,give something flavor ,something,something,PRON,MSU-TEXAS
20304703CW,Version 27,cherry,805,give something flavor ,flavor,flavor,NOUN,MSU-TEXAS
20304703CW,Version 27,cherry,805,eat ,eat,eat,VERB,MSU-TEXAS
20304703CW,Version 27,bug,788,kill bug ,kill,kill,VERB,MSU-TEXAS
20304703CW,Version 27,bug,788,kill bug ,bug,bug,NOUN,MSU-TEXAS
20304703CW,Version 27,bug,788,eat ,eat,eat,VERB,MSU-TEXAS
20304703CW,Version 27,father,789,for children ,children,child,NOUN,MSU-TEXAS
20304703CW,Version 27,father,789,spend time ,spend,spend,VERB,MSU-TEXAS
20304703CW,Version 27,father,789,spend time ,time,time,NOUN,MSU-TEXAS
20304703CW,Version 27,father,789,get money ,get,get,VERB,MSU-TEXAS
20304703CW,Version 27,father,789,get money ,money,money,NOUN,MSU-TEXAS
20304703CW,Version 27,lingerie,791,for significant other ,significant,significant,ADJ,MSU-TEXAS
20304703CW,Version 27,lingerie,791,wear ,wear,wear,VERB,MSU-TEXAS
20304703CW,Version 27,lingerie,791,try on ,try,try,VERB,MSU-TEXAS
20304703CW,Version 27,lingerie,791,as undergarments ,undergarments,undergarment,NOUN,MSU-TEXAS
20304703CW,Version 27,fridge,787,to store food ,store,store,VERB,MSU-TEXAS
20304703CW,Version 27,fridge,787,to store food ,food,food,NOUN,MSU-TEXAS
20304703CW,Version 27,fridge,787,preserve milk ,preserve,preserve,VERB,MSU-TEXAS
20304703CW,Version 27,fridge,787,preserve milk ,milk,milk,NOUN,MSU-TEXAS
20304703CW,Version 27,fridge,787,organize food ,organize,organize,VERB,MSU-TEXAS
20304703CW,Version 27,fridge,787,organize food ,food,food,NOUN,MSU-TEXAS
20304703CW,Version 27,fridge,787,cool food ,cool,cool,VERB,MSU-TEXAS
20304703CW,Version 27,fridge,787,cool food ,food,food,NOUN,MSU-TEXAS
20304703CW,Version 27,receipts,796,track money ,track,track,VERB,MSU-TEXAS
20304703CW,Version 27,receipts,796,track money ,money,money,NOUN,MSU-TEXAS
20304703CW,Version 27,receipts,796,to return things ,return,return,VERB,MSU-TEXAS
20304703CW,Version 27,receipts,796,to return things ,things,thing,NOUN,MSU-TEXAS
20304703CW,Version 27,kaleidoscope,785,change perception,change,change,VERB,MSU-TEXAS
20304703CW,Version 27,kaleidoscope,785,change perception,perception,perception,NOUN,MSU-TEXAS
20304703CW,Version 27,housekeeper,802,cleaning ,cleaning,clean,VERB,MSU-TEXAS
20304703CW,Version 27,housekeeper,802,orginizong ,organization,organize,VERB,MSU-TEXAS
20304703CW,Version 27,housekeeper,802,keep things orderly,keep,keep,VERB,MSU-TEXAS
20304703CW,Version 27,housekeeper,802,keep things orderly,things,thing,NOUN,MSU-TEXAS
20304703CW,Version 27,housekeeper,802,keep things orderly,orderly,orderly,ADV,MSU-TEXAS
20304703CW,Version 27,bum,783,sit on ,sit,sit,VERB,MSU-TEXAS
20304703CW,Version 27,bum,783,lay on ,lay,lay,VERB,MSU-TEXAS
20304703CW,Version 27,bum,783,massage ,massage,massage,VERB,MSU-TEXAS
20304703CW,Version 27,bum,783,slap ,slap,slap,VERB,MSU-TEXAS
20304703CW,Version 27,bum,783,grab,grab,grab,VERB,MSU-TEXAS
20304703CW,Version 27,intercom,810,to speak to crowds ,speak,speak,VERB,MSU-TEXAS
20304703CW,Version 27,intercom,810,to speak to crowds ,crowds,crowd,NOUN,MSU-TEXAS
20304703CW,Version 27,intercom,810,yell into ,yell,yell,VERB,MSU-TEXAS
20304703CW,Version 27,intercom,810,play music ,play,play,VERB,MSU-TEXAS
20304703CW,Version 27,intercom,810,play music ,music,music,NOUN,MSU-TEXAS
20304703CW,Version 27,intercom,810,connect missing people to love ones,connect,connect,VERB,MSU-TEXAS
20304703CW,Version 27,intercom,810,connect missing people to love ones,missing,miss,VERB,MSU-TEXAS
20304703CW,Version 27,intercom,810,connect missing people to love ones,people,people,NOUN,MSU-TEXAS
20304703CW,Version 27,intercom,810,connect missing people to love ones,love,love,NOUN,MSU-TEXAS
20304703CW,Version 27,intercom,810,connect missing people to love ones,ones,one,NOUN,MSU-TEXAS
20304703CW,Version 27,bunkmate,792,talk to ,talk,talk,VERB,MSU-TEXAS
20304703CW,Version 27,bunkmate,792,sleep with,sleep,sleep,VERB,MSU-TEXAS
20304703CW,Version 27,mothball,797,keep away snakes ,keep,keep,VERB,MSU-TEXAS
20304703CW,Version 27,mothball,797,keep away snakes ,away,away,ADV,MSU-TEXAS
20304703CW,Version 27,mothball,797,keep away snakes ,snakes,snake,NOUN,MSU-TEXAS
20304703CW,Version 27,mothball,797,keep away bugs,keep,keep,VERB,MSU-TEXAS
20304703CW,Version 27,mothball,797,keep away bugs,away,away,ADV,MSU-TEXAS
20304703CW,Version 27,mothball,797,keep away bugs,bugs,bug,NOUN,MSU-TEXAS
20304703CW,Version 27,flagpole,803,to hang flag,hang,hang,VERB,MSU-TEXAS
20304703CW,Version 27,flagpole,803,to hang flag,flag,flag,NOUN,MSU-TEXAS
20304703CW,Version 27,subway,806,transportation,transportation,transport,VERB,MSU-TEXAS
20305967AO,Version 47,gate,1389,open,open,open,VERB,MSU-TEXAS
20305967AO,Version 47,gate,1389,close,close,close,VERB,MSU-TEXAS
20305967AO,Version 47,gate,1389,keep out,keep,keep,VERB,MSU-TEXAS
20305967AO,Version 47,gate,1389,protect within,protect,protect,VERB,MSU-TEXAS
20305967AO,Version 47,gate,1389,protect within,within,within,ADP,MSU-TEXAS
20305967AO,Version 47,gate,1389,castle,castle,castle,NOUN,MSU-TEXAS
20305967AO,Version 47,gate,1389,protection,protection,protect,VERB,MSU-TEXAS
20305967AO,Version 47,apron,1386,protect clothing,protect,protect,VERB,MSU-TEXAS
20305967AO,Version 47,apron,1386,protect clothing,clothing,clothes,NOUN,MSU-TEXAS
20305967AO,Version 47,apron,1386,various colors,various,various,ADJ,MSU-TEXAS
20305967AO,Version 47,apron,1386,various colors,colors,color,NOUN,MSU-TEXAS
20305967AO,Version 47,apron,1386,protection,protection,protect,VERB,MSU-TEXAS
20305967AO,Version 47,apron,1386,cooking,cooking,cook,VERB,MSU-TEXAS
20305967AO,Version 47,apron,1386,baking,baking,bake,VERB,MSU-TEXAS
20305967AO,Version 47,duckweed,1409,aquamarine,aquamarine,aquamarine,NOUN,MSU-TEXAS
20305967AO,Version 47,duckweed,1409,plant life,plant,plant,NOUN,MSU-TEXAS
20305967AO,Version 47,duckweed,1409,plant life,life,life,NOUN,MSU-TEXAS
20305967AO,Version 47,duckweed,1409,ecology,ecology,ecology,NOUN,MSU-TEXAS
20305967AO,Version 47,duckweed,1409,nature,nature,nature,NOUN,MSU-TEXAS
20305967AO,Version 47,keepsake,1401,time,time,time,NOUN,MSU-TEXAS
20305967AO,Version 47,hamster,1391,animal,animal,animal,NOUN,MSU-TEXAS
20305967AO,Version 47,hamster,1391,caged,caged,cage,VERB,MSU-TEXAS
20305967AO,Version 47,hamster,1391,pet,pet,pet,VERB,MSU-TEXAS
20305967AO,Version 47,hamster,1391,active,active,active,ADJ,MSU-TEXAS
20305967AO,Version 47,mink,1382,lashes,lashes,lash,NOUN,MSU-TEXAS
20305967AO,Version 47,longbow,1402,archery,archery,archery,NOUN,MSU-TEXAS
20305967AO,Version 47,tortoise,1403,fancy name for turtle,fancy,fancy,ADJ,MSU-TEXAS
20305967AO,Version 47,tortoise,1403,fancy name for turtle,name,name,VERB,MSU-TEXAS
20305967AO,Version 47,tortoise,1403,fancy name for turtle,turtle,turtle,NOUN,MSU-TEXAS
20305967AO,Version 47,tortoise,1403,slow,slow,slow,ADJ,MSU-TEXAS
20305967AO,Version 47,tortoise,1403,nature,nature,nature,NOUN,MSU-TEXAS
20305967AO,Version 47,chest,1404,cavity,cavity,cavity,NOUN,MSU-TEXAS
20305967AO,Version 47,chest,1404,lungs,lungs,lung,NOUN,MSU-TEXAS
20305967AO,Version 47,chest,1404,heart,heart,heart,NOUN,MSU-TEXAS
20305967AO,Version 47,chest,1404,major superior organs ,major,major,ADJ,MSU-TEXAS
20305967AO,Version 47,chest,1404,major superior organs ,superior,superior,ADJ,MSU-TEXAS
20305967AO,Version 47,chest,1404,major superior organs ,organs,organ,NOUN,MSU-TEXAS
20305967AO,Version 47,axle,1399,axe,axe,axe,NOUN,MSU-TEXAS
20305967AO,Version 47,sled,1393,snowing,snowing,snow,VERB,MSU-TEXAS
20305967AO,Version 47,sled,1393,sledding,sledding,sledd,VERB,MSU-TEXAS
20305967AO,Version 47,sled,1393,winter vacation activity,winter,winter,NOUN,MSU-TEXAS
20305967AO,Version 47,sled,1393,winter vacation activity,vacation,vacation,NOUN,MSU-TEXAS
20305967AO,Version 47,sled,1393,winter vacation activity,activity,activity,NOUN,MSU-TEXAS
20305967AO,Version 47,confetti,1390,birthday,birthday,birthday,NOUN,MSU-TEXAS
20305967AO,Version 47,confetti,1390,surprise parties,surprise,surprise,VERB,MSU-TEXAS
20305967AO,Version 47,confetti,1390,surprise parties,parties,party,NOUN,MSU-TEXAS
20305967AO,Version 47,confetti,1390,special occasions,special,special,ADJ,MSU-TEXAS
20305967AO,Version 47,confetti,1390,special occasions,occasions,occasion,NOUN,MSU-TEXAS
20305967AO,Version 47,confetti,1390,various colors,various,various,ADJ,MSU-TEXAS
20305967AO,Version 47,confetti,1390,various colors,colors,color,NOUN,MSU-TEXAS
20305967AO,Version 47,comb,1388,hair,hair,hair,NOUN,MSU-TEXAS
20305967AO,Version 47,comb,1388,not for 4c hair,hair,hair,NOUN,MSU-TEXAS
20305967AO,Version 47,comb,1388,detangle,de,de,PROPN,MSU-TEXAS
20305967AO,Version 47,comb,1388,detangle,tangle,de-tangle,VERB,MSU-TEXAS
20305967AO,Version 47,comb,1388,brush out,brush,brush,VERB,MSU-TEXAS
20305967AO,Version 47,harpsichord,1387,huh,huh,huh,INTJ,MSU-TEXAS
20305967AO,Version 47,newt,1397,physics,physics,physic,NOUN,MSU-TEXAS
20305967AO,Version 47,newt,1397,chemistry reference maybe,chemistry,chemistry,NOUN,MSU-TEXAS
20305967AO,Version 47,newt,1397,chemistry reference maybe,reference,reference,NOUN,MSU-TEXAS
20305967AO,Version 47,newt,1397,chemistry reference maybe,maybe,maybe,ADV,MSU-TEXAS
20305967AO,Version 47,radiologist,1400,x rays,x,x-ray,NOUN,MSU-TEXAS
20305967AO,Version 47,radiologist,1400,specialist,specialist,specialist,NOUN,MSU-TEXAS
20305967AO,Version 47,radiologist,1400,health science technicians,health,health,NOUN,MSU-TEXAS
20305967AO,Version 47,radiologist,1400,health science technicians,science,science,NOUN,MSU-TEXAS
20305967AO,Version 47,radiologist,1400,health science technicians,technicians,technician,NOUN,MSU-TEXAS
20305967AO,Version 47,radiologist,1400,important,important,important,ADJ,MSU-TEXAS
20305967AO,Version 47,radiologist,1400,diagnosis,diagnosis,diagnose,VERB,MSU-TEXAS
20305967AO,Version 47,secretary,1406,assistant,assistant,assistant,NOUN,MSU-TEXAS
20305967AO,Version 47,secretary,1406,record keeping,record,record,NOUN,MSU-TEXAS
20305967AO,Version 47,secretary,1406,record keeping,keeping,keep,VERB,MSU-TEXAS
20305967AO,Version 47,secretary,1406,file organizers,file,file,NOUN,MSU-TEXAS
20305967AO,Version 47,secretary,1406,file organizers,organizers,organize,VERB,MSU-TEXAS
20305967AO,Version 47,headrest,1396,sleep,sleep,sleep,VERB,MSU-TEXAS
20305967AO,Version 47,headrest,1396,pillow,pillow,pillow,NOUN,MSU-TEXAS
20305967AO,Version 47,headrest,1396,shoulder massager,shoulder,shoulder,NOUN,MSU-TEXAS
20305967AO,Version 47,headrest,1396,shoulder massager,massage,massage,VERB,MSU-TEXAS
20305967AO,Version 47,newspaper,1407,to read back in the day,read,read,VERB,MSU-TEXAS
20305967AO,Version 47,newspaper,1407,to read back in the day,back,back,ADV,MSU-TEXAS
20305967AO,Version 47,newspaper,1407,to read back in the day,day,day,NOUN,MSU-TEXAS
20305967AO,Version 47,newspaper,1407,artwork material,artwork,artwork,NOUN,MSU-TEXAS
20305967AO,Version 47,newspaper,1407,artwork material,material,material,NOUN,MSU-TEXAS
20305967AO,Version 47,newspaper,1407,not used anymore,used,use,VERB,MSU-TEXAS
20305967AO,Version 47,newspaper,1407,not used anymore,anymore,anymore,ADV,MSU-TEXAS
20305967AO,Version 47,firstborn,1395,special ones,special,special,ADJ,MSU-TEXAS
20305967AO,Version 47,firstborn,1395,special ones,ones,one,NOUN,MSU-TEXAS
20305967AO,Version 47,firstborn,1395,caretakers,caretakers,caretaker,NOUN,MSU-TEXAS
20305967AO,Version 47,firstborn,1395,more stressed out emotionally,stressed,stress,VERB,MSU-TEXAS
20305967AO,Version 47,firstborn,1395,more stressed out emotionally,emotionally,emotionally,ADV,MSU-TEXAS
20305967AO,Version 47,firstborn,1395,spoiled,spoiled,spoil,VERB,MSU-TEXAS
20305967AO,Version 47,pot,1384,cooking,cooking,cook,VERB,MSU-TEXAS
20305967AO,Version 47,pot,1384,boiling,boiling,boil,VERB,MSU-TEXAS
20305967AO,Version 47,kit,1405,various subjects,various,various,ADJ,MSU-TEXAS
20305967AO,Version 47,kit,1405,various subjects,subjects,subject,NOUN,MSU-TEXAS
20305967AO,Version 47,kit,1405,nails,nails,nail,NOUN,MSU-TEXAS
20305967AO,Version 47,kit,1405,crochet,crochet,crochet,VERB,MSU-TEXAS
20305967AO,Version 47,kit,1405,surgical,surgical,surgical,ADJ,MSU-TEXAS
20305967AO,Version 47,spear,1383,sharp,sharp,sharp,ADJ,MSU-TEXAS
20305967AO,Version 47,spear,1383,renaissance,renaissance,renaissance,X,MSU-TEXAS
20305967AO,Version 47,handkerchief,1411,allergies,allergies,allergy,NOUN,MSU-TEXAS
20305967AO,Version 47,handkerchief,1411,on the go,go,go,VERB,MSU-TEXAS
20305967AO,Version 47,handkerchief,1411,very useful,useful,useful,ADJ,MSU-TEXAS
20305967AO,Version 47,animal,1408,ravenous,ravenous,ravenous,ADJ,MSU-TEXAS
20305967AO,Version 47,animal,1408,annoying,annoying,annoy,VERB,MSU-TEXAS
20305967AO,Version 47,animal,1408,useful,useful,useful,ADJ,MSU-TEXAS
20305967AO,Version 47,animal,1408,carnivorous,carnivorous,carnivorous,X,MSU-TEXAS
20305967AO,Version 47,animal,1408,sometimes okay,sometimes,sometimes,ADV,MSU-TEXAS
20305967AO,Version 47,animal,1408,sometimes okay,okay,okay,INTJ,MSU-TEXAS
20305967AO,Version 47,pet,1385,annoying,annoying,annoy,VERB,MSU-TEXAS
20305967AO,Version 47,pet,1385,various types,various,various,ADJ,MSU-TEXAS
20305967AO,Version 47,pet,1385,various types,types,type,NOUN,MSU-TEXAS
20305967AO,Version 47,comforter,1410,sleep,sleep,sleep,NOUN,MSU-TEXAS
20305967AO,Version 47,comforter,1410,comfortable,comfortable,comfortable,ADJ,MSU-TEXAS
20305967AO,Version 47,comforter,1410,various colors,various,various,ADJ,MSU-TEXAS
20305967AO,Version 47,comforter,1410,various colors,colors,color,NOUN,MSU-TEXAS
20305967AO,Version 47,comforter,1410,stylish,stylish,stylish,NOUN,MSU-TEXAS
20305967AO,Version 47,stream,1392,water,water,water,NOUN,MSU-TEXAS
