Cue,n,n affordance,total affordance,,,n ==  number of participants respnding to cue
bank,25,22,67,,,
foodstuff,25,24,68,,,
clergy,25,19,46,,,
pumpkin,25,23,74,,,
slipknot,25,24,54,,,
winch,25,22,49,,,
spectroscope,25,22,31,,,
carp,25,23,43,,,
water,25,25,102,,,
washbasin,25,25,66,,,
vomit,25,23,39,,,
villager,25,21,45,,,
trophy,25,20,65,,,
timepiece,25,25,47,,,
tickler,25,20,31,,,
thumbtack,25,24,50,,,
terrace,25,25,62,,,
tapestry,25,22,57,,,
sunroof,25,22,56,,,
stencil,25,22,51,,,
stage,25,23,84,,,
squeegee,25,20,46,,,
shopkeeper,25,21,47,,,
shank,25,25,55,,,
school,25,24,77,,,
scarecrow,25,20,33,,,
raspberry,25,22,76,,,
potpourri,25,21,35,,,
poop,25,22,50,,,
photocopier,25,24,62,,,
peg,25,24,45,,,
pedometer,25,24,50,,,
pecan,25,22,76,,,
orgy,25,23,45,,,
okra,25,25,80,,,
noose,25,22,52,,,
newsboy,25,21,40,,,
motorcyclist,25,21,55,,,
manure,25,24,67,,,
lunchroom,25,24,84,,,
lunch,25,24,79,,,
lozenge,25,23,57,,,
keg,25,23,69,,,
hug,25,24,55,,,
honeycomb,25,24,69,,,
him,25,19,53,,,
hatband,25,19,33,,,
guardhouse,25,22,43,,,
grenade,25,23,57,,,
golf,25,22,48,,,
girdle,25,21,33,,,
freezer,25,20,42,,,
flaxseed,25,24,57,,,
flamethrower,25,22,47,,,
ferryboat,25,22,68,,,
face,25,24,69,,,
electrician,25,22,52,,,
duster,25,23,47,,,
deodorant,25,20,45,,,
cranberry,25,23,68,,,
cloak,25,23,63,,,
chocolate,25,23,69,,,
chisel,25,23,60,,,
chef,25,25,78,,,
cheek,25,22,82,,,
chauffeur,25,22,50,,,
cantaloupe,25,22,61,,,
candy,25,24,98,,,
buttonhook,25,22,43,,,
brow,25,23,69,,,
blowgun,25,22,48,,,
birdbath,25,22,56,,,
beggar,25,20,43,,,
bath,25,23,69,,,
athlete,25,22,67,,,
ankle,25,22,72,,,
anchovy,25,23,48,,,
clam,25,22,64,,,
puddle,25,22,65,,,
boomerang,25,24,65,,,
pumpernickel,25,21,57,,,
seawater,25,21,49,,,
stool,25,25,84,,,
shield,25,24,56,,,
wigmaker,25,19,36,,,
boat,25,20,73,,,
shed,25,20,49,,,
dress,25,22,69,,,
parachute,25,23,62,,,
diaphragm,25,22,44,,,
trunk,25,22,55,,,
junk,25,23,56,,,
caddy,25,24,55,,,
bridesmaid,26,21,47,,,
publication,26,22,52,,,
teakwood,26,21,49,,,
marigold,26,24,84,,,
toga,26,24,75,,,
globe,26,23,63,,,
ductwork,26,22,35,,,
calipers,26,22,37,,,
stomp,26,22,50,,,
scythe,26,25,58,,,
rucksack,26,21,72,,,
entomologist,26,22,50,,,
duckweed,26,22,46,,,
absinthe,26,22,51,,,
vulva,26,22,32,,,
wishbone,26,25,67,,,
tomahawk,26,23,60,,,
tablespoon,26,25,75,,,
pickaxe,26,23,55,,,
map,26,23,63,,,
laryngoscope,26,23,42,,,
handrail,26,24,58,,,
goblet,26,23,64,,,
florist,26,20,61,,,
excavator,26,23,54,,,
cod,26,21,51,,,
clipper,26,24,76,,,
cayenne,26,24,63,,,
briefcase,26,23,78,,,
baton,26,24,65,,,
ford,26,21,41,,,
pastrami,26,22,41,,,
adult,26,22,57,,,
sidecar,26,21,36,,,
shopper,26,22,54,,,
petal,26,21,52,,,
javelin,26,23,55,,,
cone,26,22,54,,,
pony,26,23,80,,,
corkscrew,26,23,52,,,
guillotine,26,24,62,,,
guidebook,26,25,79,,,
thimble,26,22,46,,,
tumbler,26,22,51,,,
toastmaster,26,22,35,,,
riverboat,26,22,51,,,
crate,26,24,60,,,
boutique,26,22,52,,,
alcohol,26,25,64,,,
dove,26,20,38,,,
receptacle,26,22,51,,,
textile,26,21,59,,,
proprietor,26,19,39,,,
ballot,26,24,53,,,
sausage,26,22,68,,,
coconut,26,23,90,,,
homemaker,26,22,59,,,
maiden,26,21,46,,,
bodyguard,26,24,55,,,
trashcan,26,22,59,,,
graphite,26,21,40,,,
bankbook,26,22,47,,,
washboard,26,24,41,,,
shotgun,26,24,72,,,
wig,26,22,55,,,
vehicle,26,25,75,,,
rattle,26,20,44,,,
motorbike,26,25,61,,,
lice,26,22,35,,,
substance,26,20,56,,,
cigar,26,24,49,,,
maggot,26,21,36,,,
pork,26,24,71,,,
catnip,26,21,37,,,
cafe,26,22,67,,,
garland,26,24,48,,,
sheet,26,25,59,,,
jeep,26,25,52,,,
aircraft,26,22,58,,,
sack,26,23,49,,,
fork,26,26,69,,,
thesaurus,26,21,45,,,
log,26,24,68,,,
guardsman,26,22,43,,,
snow,26,23,73,,,
canoe,26,24,70,,,
stroller,26,23,59,,,
swan,26,20,44,,,
optician,26,21,50,,,
tweezer,26,23,64,,,
chalk,26,24,65,,,
scarf,26,22,76,,,
barrel,26,21,76,,,
sex,26,22,45,,,
ladybug,26,20,47,,,
pupil,26,23,42,,,
waitress,26,24,63,,,
croquette,26,21,49,,,
accountant,26,23,60,,,
nightdress,26,21,66,,,
daffodil,26,21,53,,,
ophthalmologist,26,24,52,,,
bunny,26,23,60,,,
shamrock,26,22,45,,,
hatchback,26,20,37,,,
bait,26,24,49,,,
woodpile,26,20,44,,,
lifeguard,26,24,51,,,
men,26,19,57,,,
tablet,26,22,70,,,
eclair,26,21,48,,,
candlestick,26,22,49,,,
burglar,26,24,38,,,
arrowhead,26,21,52,,,
slingshot,26,24,46,,,
bonnet,26,24,56,,,
rug,26,24,82,,,
mirror,26,23,68,,,
sugarcane,26,22,52,,,
ribbon,26,20,53,,,
goddaughter,26,18,41,,,
cop,26,23,65,,,
butcher,26,24,49,,,
bookbinder,26,21,29,,,
cigarette,26,21,53,,,
padding,26,24,65,,,
garnets,26,19,39,,,
torso,26,21,48,,,
zipper,26,20,43,,,
wreath,26,26,54,,,
typewriter,26,22,50,,,
airplane,26,25,83,,,
mantelpiece,26,24,53,,,
handbrake,26,22,50,,,
coachman,26,20,53,,,
tomato,26,23,74,,,
nursemaid,26,22,40,,,
temple,26,21,49,,,
camel,26,22,72,,,
sea,26,23,82,,,
gentleman,26,19,63,,,
loudspeaker,26,22,44,,,
swimsuit,26,24,68,,,
protester,26,21,45,,,
wheat,26,21,63,,,
sleeve,26,22,43,,,
saw,26,24,42,,,
footpath,26,23,56,,,
barbecue,26,21,46,,,
cereal,26,23,40,,,
cheesecloth,26,24,50,,,
sequin,26,22,38,,,
headgear,26,22,39,,,
kitchenette,26,21,51,,,
hedgehog,26,20,43,,,
leggings,26,22,54,,,
tinsel,26,23,36,,,
dip,26,23,46,,,
root,26,21,47,,,
cottage,26,22,56,,,
insulin,26,20,37,,,
teacup,26,23,67,,,
caramel,26,23,48,,,
slaw,26,23,47,,,
thorn,26,22,43,,,
branch,26,23,69,,,
creature,26,22,59,,,
ventilator,26,22,44,,,
automobile,26,23,98,,,
picture,26,24,80,,,
clipboard,26,25,64,,,
archives,26,22,45,,,
instrument,26,22,55,,,
jelly,26,22,52,,,
supermarket,26,24,87,,,
protractor,26,22,55,,,
scanner,26,23,48,,,
scooter,26,23,62,,,
fertilizer,26,24,54,,,
crib,26,20,54,,,
balloonist,26,24,56,,,
bus,26,23,78,,,
wiper,26,22,48,,,
paintbrush,26,26,82,,,
sailboat,26,21,78,,,
hairstylist,26,23,69,,,
horse,26,25,103,,,
flyswatter,26,26,62,,,
penthouse,26,23,88,,,
crocodile,26,20,53,,,
present,26,23,71,,,
practitioner,26,22,48,,,
physiologist,26,26,57,,,
midget,26,20,52,,,
housewife,26,23,78,,,
goulash,26,21,65,,,
shirtsleeve,26,25,78,,,
kleenex,26,25,74,,,
nugget,26,22,72,,,
gin,26,24,78,,,
acrobat,26,20,49,,,
clothesline,26,26,81,,,
chicken,26,24,97,,,
ship,26,20,83,,,
bunion,26,20,43,,,
library,26,24,94,,,
basement,26,23,83,,,
shrimp,26,25,84,,,
brandy,26,23,66,,,
valve,26,21,55,,,
leash,26,20,49,,,
chowder,26,25,71,,,
furnishings,26,21,55,,,
match,26,21,49,,,
bedpost,26,22,51,,,
dumbwaiter,26,24,52,,,
cobblestone,26,23,56,,,
mascara,26,21,49,,,
phone,26,25,121,,,
neckerchief,26,24,64,,,
radiator,26,23,48,,,
cloth,26,22,88,,,
candidate,26,23,53,,,
rubbish,26,23,50,,,
firecracker,26,22,59,,,
clamp,26,20,41,,,
organism,26,21,40,,,
saloon,26,20,48,,,
notepaper,26,25,82,,,
workbench,26,26,79,,,
curry,26,21,40,,,
pipe,26,25,53,,,
ledger,26,22,55,,,
pedestrian,26,25,49,,,
sherbet,26,21,46,,,
viola,26,21,49,,,
pallet,26,22,56,,,
boardinghouse,26,21,51,,,
veil,26,20,40,,,
pond,26,22,70,,,
sportswoman,26,23,52,,,
cymbals,26,24,62,,,
mouthpiece,26,22,55,,,
employee,26,20,66,,,
chihuahua,26,22,71,,,
bookshelf,26,24,71,,,
crewman,26,21,52,,,
piglet,26,20,70,,,
shellfish,26,23,85,,,
macaroni,26,23,78,,,
gunfighter,26,23,61,,,
strawberry,26,22,98,,,
monument,26,20,68,,,
pitchfork,26,22,63,,,
floss,26,21,57,,,
smooch,26,26,48,,,
roosters,26,22,66,,,
curd,26,23,58,,,
paint,26,24,56,,,
thumbnail,26,22,48,,,
jukebox,26,26,69,,,
mop,26,23,45,,,
bookend,26,22,50,,,
headset,26,22,54,,,
nameplate,26,20,50,,,
marksman,26,22,41,,,
photograph,26,22,77,,,
pimento,26,24,72,,,
stitching,26,24,60,,,
minnow,26,22,38,,,
beetle,26,21,39,,,
wristband,26,23,59,,,
wrist,26,25,70,,,
wrestler,26,21,50,,,
worksheet,26,23,52,,,
workroom,26,23,59,,,
windbreaker,26,23,56,,,
walrus,26,22,57,,,
wallboard,26,24,57,,,
waist,26,22,44,,,
volleyball,26,23,93,,,
videotape,26,25,69,,,
vaseline,26,24,59,,,
tutu,26,22,49,,,
turf,26,22,44,,,
tunic,26,24,63,,,
trampoline,26,25,72,,,
trainee,26,24,51,,,
thyme,26,23,48,,,
teacher,26,22,60,,,
tangerine,26,24,102,,,
taco,26,23,68,,,
tablecloth,26,21,66,,,
street,26,23,86,,,
stomach,26,26,58,,,
stocking,26,25,65,,,
stepbrother,26,22,69,,,
stem,26,22,39,,,
spine,26,22,61,,,
sideburns,26,21,39,,,
shutter,26,20,44,,,
shipman,26,19,45,,,
sesame,26,23,68,,,
seamstress,26,25,67,,,
scrapbook,26,25,77,,,
schoolwork,26,25,71,,,
scapula,26,22,41,,,
saucepan,26,26,82,,,
rowboat,26,20,63,,,
rosewater,26,20,42,,,
respirator,26,20,45,,,
quarterback,26,20,46,,,
potty,26,21,37,,,
plexiglas,26,21,42,,,
playwright,26,25,46,,,
planter,26,22,44,,,
plant,26,23,66,,,
pennant,26,21,39,,,
pen,26,26,92,,,
parchment,26,23,62,,,
padlock,26,21,48,,,
package,26,24,93,,,
nutmeg,26,25,68,,,
nipple,26,20,42,,,
mustache,26,21,63,,,
mushroom,26,24,87,,,
mathematician,26,24,66,,,
margarine,26,25,57,,,
manuscript,26,21,55,,,
mantel,26,22,46,,,
magnet,26,23,40,,,
mace,26,26,77,,,
lifebuoy,26,22,52,,,
knapsack,26,23,47,,,
kale,26,23,58,,,
jumper,26,23,65,,,
jawbreaker,26,22,60,,,
husk,26,20,44,,,
hound,26,23,76,,,
horseradish,26,20,42,,,
horseman,26,22,48,,,
hookers,26,23,56,,,
headmistress,26,23,53,,,
headboard,26,21,44,,,
harness,26,26,58,,,
gynecologist,26,21,42,,,
guitarist,26,23,55,,,
guardrail,26,23,56,,,
ground,26,24,64,,,
greenhouse,26,21,51,,,
grapefruit,26,23,75,,,
gasket,26,20,32,,,
garbage,26,23,51,,,
forefinger,26,24,70,,,
footwear,26,24,76,,,
flour,26,25,60,,,
farmer,26,21,65,,,
examiner,26,23,53,,,
equipment,26,25,82,,,
engineer,26,23,51,,,
employer,26,22,51,,,
educator,26,26,95,,,
doughnut,26,24,54,,,
dish,26,25,88,,,
diamond,26,21,71,,,
diagram,26,24,52,,,
deck,26,26,80,,,
dandelion,26,24,63,,,
custodian,26,23,51,,,
crayfish,26,22,63,,,
crane,26,22,56,,,
cowhide,26,23,47,,,
counselor,26,25,53,,,
councilman,26,20,46,,,
corsage,26,20,34,,,
contraceptive,26,23,38,,,
concrete,26,24,79,,,
concert,26,23,77,,,
companion,26,22,62,,,
chow,26,20,44,,,
centipede,26,20,56,,,
cannabis,26,23,74,,,
buttercup,26,23,52,,,
businessman,26,24,58,,,
bomb,26,25,70,,,
bistro,26,23,62,,,
badminton,26,20,51,,,
backscratcher,26,26,73,,,
backdoor,26,21,41,,,
awning,26,25,63,,,
atlas,26,23,53,,,
armpit,26,20,45,,,
aquarium,26,25,81,,,
airman,26,25,58,,,
television,26,24,84,,,
carport,26,22,61,,,
artist,26,26,80,,,
beach,26,24,95,,,
mountainside,26,24,88,,,
drone,26,24,75,,,
letterbox,26,23,47,,,
barley,26,20,61,,,
splint,26,24,49,,,
cutlery,26,24,76,,,
snowshoe,26,23,58,,,
rhubarb,26,21,62,,,
washerwoman,26,25,49,,,
wastebasket,26,21,53,,,
handbook,26,23,68,,,
drill,26,25,55,,,
doorknob,26,26,82,,,
aftershave,26,23,49,,,
kitten,26,24,86,,,
parsnip,26,23,76,,,
veal,26,20,57,,,
grandma,26,25,69,,,
restaurant,26,25,70,,,
slut,26,20,42,,,
yogurt,26,24,60,,,
yourself,26,22,74,,,
pumice,27,23,39,,,
alfalfa,27,20,47,,,
vermouth,27,21,51,,,
switchboard,27,22,36,,,
sailcloth,27,23,60,,,
paratrooper,27,24,56,,,
marionette,27,24,57,,,
loo,27,22,62,,,
watercress,27,22,63,,,
toupee,27,21,41,,,
tailcoat,27,21,46,,,
suede,27,23,60,,,
shin,27,25,58,,,
sandbox,27,23,52,,,
railroad,27,24,45,,,
quarters,27,24,62,,,
placard,27,22,56,,,
phalanges,27,20,92,,,
perspiration,27,22,36,,,
pellet,27,24,59,,,
parcel,27,21,67,,,
paperhanger,27,24,44,,,
mutton,27,21,49,,,
merchandise,27,24,79,,,
lock,27,22,56,,,
ladle,27,22,61,,,
hibiscus,27,24,71,,,
harp,27,25,61,,,
grease,27,23,53,,,
glycerine,27,20,32,,,
derriere,27,25,61,,,
daybed,27,26,69,,,
cricket,27,23,54,,,
broker,27,20,56,,,
bread,27,24,76,,,
boxer,27,23,59,,,
bong,27,26,49,,,
artichoke,27,24,76,,,
riverbank,27,21,48,,,
stilt,27,22,39,,,
bourbon,27,24,54,,,
cruiser,27,23,55,,,
backboard,27,22,41,,,
bullfrog,27,23,73,,,
handgun,27,25,66,,,
barn,27,21,48,,,
forearm,27,25,54,,,
fillet,27,21,47,,,
ballplayer,27,20,43,,,
hanger,27,23,45,,,
banister,27,25,51,,,
custard,27,23,63,,,
cuttlefish,27,22,55,,,
model,27,21,39,,,
booze,27,25,62,,,
toothpaste,27,25,58,,,
kernel,27,23,52,,,
bridge,27,24,65,,,
children,27,22,52,,,
mug,27,24,78,,,
mouse,27,23,50,,,
tractor,27,24,61,,,
tag,27,21,49,,,
wheel,27,23,59,,,
ocean,27,23,83,,,
cupboard,27,21,44,,,
rail,27,21,49,,,
radio,27,25,66,,,
trash,27,23,47,,,
icepick,27,23,48,,,
husband,27,24,81,,,
band,27,26,53,,,
pistol,27,25,85,,,
squash,27,22,76,,,
lovebird,27,20,46,,,
hair,27,25,100,,,
duckling,27,21,54,,,
pike,27,25,69,,,
microwave,27,26,55,,,
foliage,27,22,56,,,
plank,27,25,67,,,
ecologist,27,20,29,,,
feather,27,21,61,,,
cartridge,27,22,36,,,
doorframe,27,25,59,,,
plantain,27,21,58,,,
gymnast,27,21,58,,,
tavern,27,22,57,,,
greens,27,22,68,,,
jewelry,27,23,61,,,
peach,27,25,61,,,
lump,27,21,45,,,
peroxide,27,25,40,,,
torch,27,21,47,,,
doorman,27,22,45,,,
handcart,27,25,62,,,
dermatologist,27,23,56,,,
paperweight,27,24,55,,,
hairdresser,27,21,59,,,
son,27,19,76,,,
trainer,27,24,68,,,
sister,27,22,66,,,
computer,27,24,98,,,
appendage,27,23,63,,,
altar,27,23,66,,,
customer,27,24,63,,,
mitten,27,24,46,,,
boatman,27,25,52,,,
passport,27,26,52,,,
executioner,27,25,40,,,
bush,27,23,57,,,
teakettle,27,24,59,,,
jockstrap,27,22,36,,,
paddle,27,25,62,,,
sawdust,27,20,43,,,
crop,27,22,70,,,
home,27,26,83,,,
battery,27,23,48,,,
buttonhole,27,20,26,,,
gatekeeper,27,22,32,,,
livestock,27,20,44,,,
reptile,27,20,50,,,
rye,27,20,62,,,
cup,27,26,81,,,
poodle,27,20,62,,,
manicurist,27,20,63,,,
passionflower,27,22,55,,,
azalea,27,18,60,,,
sledge,27,20,73,,,
council,27,21,51,,,
journalist,27,23,65,,,
paw,27,24,60,,,
trailer,27,24,70,,,
capsule,27,23,48,,,
gown,27,22,80,,,
jasmine,27,21,66,,,
sandpaper,27,19,59,,,
hickory,27,22,62,,,
kebab,27,25,78,,,
meal,27,25,91,,,
lawn,27,24,82,,,
punchbowl,27,24,69,,,
costumer,27,20,48,,,
iron,27,21,52,,,
nun,27,20,38,,,
mouthwash,27,24,61,,,
nursery,27,21,50,,,
deliveryman,27,24,41,,,
ale,27,23,46,,,
wheelchair,27,26,59,,,
wench,27,20,46,,,
walnut,27,27,103,,,
tulip,27,22,60,,,
track,27,26,81,,,
tourniquet,27,25,36,,,
toast,27,23,53,,,
tableware,27,22,59,,,
suds,27,18,47,,,
stepfather,27,23,65,,,
sprayer,27,24,56,,,
sketch,27,26,63,,,
sideboard,27,20,38,,,
shoulder,27,25,75,,,
shoehorn,27,22,40,,,
sand,27,20,56,,,
river,27,25,91,,,
receptionist,27,21,60,,,
plaque,27,22,44,,,
parent,27,26,73,,,
pail,27,27,84,,,
ottoman,27,23,79,,,
nightshirt,27,26,71,,,
milk,27,25,83,,,
meteorologist,27,23,44,,,
megaphone,27,24,50,,,
marbles,27,22,64,,,
magnolia,27,20,58,,,
liquor,27,25,59,,,
licence,27,25,84,,,
leaflet,27,25,83,,,
lad,27,20,44,,,
knot,27,24,50,,,
knob,27,24,46,,,
icebox,27,25,59,,,
hotel,27,26,71,,,
hostel,27,27,65,,,
hood,27,20,47,,,
hiker,27,23,58,,,
hardwood,27,20,53,,,
handball,27,25,91,,,
hairdo,27,24,52,,,
gun,27,25,76,,,
godfather,27,21,33,,,
garlic,27,25,67,,,
frosting,27,22,52,,,
footboard,27,21,37,,,
fiancee,27,27,76,,,
featherbed,27,25,55,,,
