"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected","corrected"
"MJW",20,"Version 35","receipt","BOI","USM","return items","return items"
"MJW",20,"Version 35","receipt","BOI","USM","proof of purchase","proof of purchase"
"MJW",20,"Version 35","receipt","BOI","USM","survey codes","survey codes"
"MJW",21,"Version 35","genitalia","BOI","USM","pleasure","pleasure"
"MJW",21,"Version 35","genitalia","BOI","USM","reproduction","reproduction"
"MJW",22,"Version 35","fountain","BOI","USM","lake","lake"
"MJW",22,"Version 35","fountain","BOI","USM","mall","mall"
"MJW",22,"Version 35","fountain","BOI","USM","chocolate","chocolate"
"MJW",23,"Version 35","slipcover","BOI","USM","couch","couch"
"MJW",23,"Version 35","slipcover","BOI","USM","books","books"
"MJW",23,"Version 35","slipcover","BOI","USM","chairs ","chairs "
"MJW",24,"Version 35","partner","BOI","USM","dancing","dancing"
"MJW",24,"Version 35","partner","BOI","USM","marriage","marriage"
"MJW",24,"Version 35","partner","BOI","USM","business","business"
"MJW",24,"Version 35","partner","BOI","USM","teaching","teaching"
"MJW",24,"Version 35","partner","BOI","USM","working ","working "
"MJW",25,"Version 35","watchmaker","BOI","USM","repair clocks","repair clocks"
"MJW",26,"Version 35","stethoscope","BOI","USM","listen for heart beats","listen for heart beats"
"MJW",26,"Version 35","stethoscope","BOI","USM","lung functions","lung functions"
"MJW",26,"Version 35","stethoscope","BOI","USM","mechanic work","mechanic work"
"MJW",27,"Version 35","goat","BOI","USM","milk","milk"
"MJW",27,"Version 35","goat","BOI","USM","cheese","cheese"
"MJW",27,"Version 35","goat","BOI","USM","pet","pet"
"MJW",27,"Version 35","goat","BOI","USM","food","food"
"MJW",27,"Version 35","goat","BOI","USM","4h projects","4h projects"
"MJW",28,"Version 35","encyclopedia","BOI","USM","information","information"
"MJW",29,"Version 35","caseworker","BOI","USM","adoption","adoption"
"MJW",29,"Version 35","caseworker","BOI","USM","insurance","insurance"
"MJW",29,"Version 35","caseworker","BOI","USM","union","union"
"MJW",30,"Version 35","neck","BOI","USM","massage","massage"
"MJW",30,"Version 35","neck","BOI","USM","strangle","strangle"
"MJW",30,"Version 35","neck","BOI","USM","break","break"
"MJW",31,"Version 35","lint","BOI","USM","fire starter","fire starter"
"MJW",32,"Version 35","toboggan","BOI","USM","keep head warm","keep head warm"
"MJW",33,"Version 35","farmhand","BOI","USM","care of animals","care of animals"
"MJW",33,"Version 35","farmhand","BOI","USM","help crops","help crops"
"MJW",34,"Version 35","crumpet","BOI","USM","snack","snack"
"MJW",35,"Version 35","machetes","BOI","USM","clear undergrowth in woods","clear undergrowth in woods"
"MJW",35,"Version 35","machetes","BOI","USM","horror movies","horror movies"
"MJW",36,"Version 35","cream","BOI","USM","coffee","coffee"
"MJW",36,"Version 35","cream","BOI","USM","tea","tea"
"MJW",37,"Version 35","workbook","BOI","USM","math","math"
"MJW",38,"Version 35","scar","BOI","USM","identifying marks on body ","identifying marks on body "
"MJW",39,"Version 35","coke","BOI","USM","drink","drink"
"MJW",39,"Version 35","coke","BOI","USM","slushy","slushy"
"MJW",39,"Version 35","coke","BOI","USM","drug for snorting","drug for snorting"
"MJW",40,"Version 35","Toilet","BOI","USM","pee","pee"
"MJW",40,"Version 35","Toilet","BOI","USM","poop","poop"
"w10006935_dmb",11,"Version 27","kaleidoscope","BOI","USM","see things","see things"
"w10006935_dmb",11,"Version 27","kaleidoscope","BOI","USM","colors","colors"
"w10006935_dmb",12,"Version 27","fondue","BOI","USM","cover food","cover food"
"w10006935_dmb",12,"Version 27","fondue","BOI","USM","warm food","warm food"
"w10006935_dmb",13,"Version 27","foxhound","BOI","USM","hunt","hunt"
"w10006935_dmb",13,"Version 27","foxhound","BOI","USM","sleep","sleep"
"w10006935_dmb",13,"Version 27","foxhound","BOI","USM","walk ","walk "
"w10006935_dmb",14,"Version 27","mothball","BOI","USM","for the drier","for the drier"
"w10006935_dmb",14,"Version 27","mothball","BOI","USM","help with smelks","help with an"
"w10006935_dmb",16,"Version 27","father","BOI","USM","money","money"
"w10006935_dmb",16,"Version 27","father","BOI","USM","emotions","emotions"
"w10006935_dmb",16,"Version 27","father","BOI","USM","help","help"
"w10006935_dmb",16,"Version 27","father","BOI","USM","family","family"
"w10006935_dmb",17,"Version 27","subway","BOI","USM","the sandwhich place","the sandwich place"
"w10006935_dmb",17,"Version 27","subway","BOI","USM","travel","travel"
"w10006935_dmb",17,"Version 27","subway","BOI","USM","train","train"
"w10006935_dmb",18,"Version 27","bunkmate","BOI","USM","roommate","roommate"
"w10006935_dmb",18,"Version 27","bunkmate","BOI","USM","friend","friend"
"w10006935_dmb",19,"Version 27","townsfolk","BOI","USM","neighbors","neighbors"
"w10006935_dmb",19,"Version 27","townsfolk","BOI","USM","support system","support system"
"w10006935_dmb",20,"Version 27","appliance","BOI","USM","heat things","heat things"
"w10006935_dmb",20,"Version 27","appliance","BOI","USM","cool things","cool things"
"w10006935_dmb",20,"Version 27","appliance","BOI","USM","cook things","cook things"
"w10006935_dmb",20,"Version 27","appliance","BOI","USM","clean","clean"
"w10006935_dmb",21,"Version 27","cherry","BOI","USM","the top of something","the top of something"
"w10006935_dmb",21,"Version 27","cherry","BOI","USM","cherry pie","cherry pie"
"w10006935_dmb",22,"Version 27","lingerie","BOI","USM","to feel sexy","to feel sexy"
"w10006935_dmb",22,"Version 27","lingerie","BOI","USM","boost self esteem","boost self esteem"
"w10006935_dmb",23,"Version 27","skin","BOI","USM","differnt animations on game","different animations on game"
"w10006935_dmb",23,"Version 27","skin","BOI","USM","protection","protection"
"w10006935_dmb",24,"Version 27","breastbone","BOI","USM","sternum","sternum"
"w10006935_dmb",24,"Version 27","breastbone","BOI","USM","protection","protection"
"w10006935_dmb",25,"Version 27","receipts","BOI","USM","keep track of things","keep track of things"
"w10006935_dmb",25,"Version 27","receipts","BOI","USM","prove price","prove price"
"w10006935_dmb",25,"Version 27","receipts","BOI","USM","proof of purchase","proof of purchase"
"w10006935_dmb",26,"Version 27","bum","BOI","USM","butt","butt"
"w10006935_dmb",26,"Version 27","bum","BOI","USM","someone who is lazy","someone who is lazy"
"w10006935_dmb",27,"Version 27","fridge","BOI","USM","keep things cold","keep things cold"
"w10006935_dmb",29,"Version 27","marshmallow","BOI","USM","snack","snack"
"w10006935_dmb",29,"Version 27","marshmallow","BOI","USM","smores","an"
"w10006935_dmb",29,"Version 27","marshmallow","BOI","USM","hold things together","hold things together"
"w10006935_dmb",30,"Version 27","housekeeper","BOI","USM","maid","maid"
"w10006935_dmb",30,"Version 27","housekeeper","BOI","USM","keep things clean","keep things clean"
"w10006935_dmb",31,"Version 27","bug","BOI","USM","kill other bugs","kill other bugs"
"w10006935_dmb",32,"Version 27","Grasshopper","BOI","USM","eat flies","eat flies"
"w10006935_dmb",33,"Version 27","flagpole","BOI","USM","hold flag","hold flag"
"w10006935_dmb",33,"Version 27","flagpole","BOI","USM","base in tag","base in tag"
"w10006935_dmb",34,"Version 27","sedative","BOI","USM","go to sleep","go to sleep"
"w10006935_dmb",34,"Version 27","sedative","BOI","USM","calm down","calm down"
"w10006935_dmb",35,"Version 27","gambler","BOI","USM","make money","make money"
"w10006935_dmb",35,"Version 27","gambler","BOI","USM","avoid problems","avoid problems"
"w10006935_dmb",36,"Version 27","daiquiri","BOI","USM","to drink","to drink"
"w10006935_dmb",36,"Version 27","daiquiri","BOI","USM","have fun","have fun"
"w10006935_dmb",36,"Version 27","daiquiri","BOI","USM","forget about something","forget about something"
"w10006935_dmb",37,"Version 27","intercom","BOI","USM","talk to lots of people","talk to lots of people"
"w10006935_dmb",38,"Version 27","electronics","BOI","USM","heat","heat"
"w10006935_dmb",38,"Version 27","electronics","BOI","USM","cool","cool"
"w10006935_dmb",38,"Version 27","electronics","BOI","USM","communication","communication"
"w10006935_dmb",38,"Version 27","electronics","BOI","USM","internet","internet"
"w10006935_dmb",39,"Version 27","apricot","BOI","USM","pie","pie"
"w10006935_dmb",39,"Version 27","apricot","BOI","USM","jam","jam"
"w10011030_rkd",11,"Version 36","leftovers","BOI","USM","eating","eating"
"w10011030_rkd",11,"Version 36","leftovers","BOI","USM","reheating","reheating"
"w10011030_rkd",11,"Version 36","leftovers","BOI","USM","putting up in the fridge","putting up in the fridge"
"w10011030_rkd",11,"Version 36","leftovers","BOI","USM","throwing out","throwing out"
"w10011030_rkd",12,"Version 36","lambskin","BOI","USM","wearing as a jacket","wearing as a jacket"
"w10011030_rkd",13,"Version 36","curler","BOI","USM","curling hair","curling hair"
"w10011030_rkd",13,"Version 36","curler","BOI","USM","turning on/off curlers","turning on/off curlers"
"w10011030_rkd",13,"Version 36","curler","BOI","USM","holding hair in place","holding hair in place"
"w10011030_rkd",14,"Version 36","manicure","BOI","USM","painting nails","painting nails"
"w10011030_rkd",14,"Version 36","manicure","BOI","USM","scrubbing skin","scrubbing skin"
"w10011030_rkd",14,"Version 36","manicure","BOI","USM","cutting back cuticles","cutting back cuticles"
"w10011030_rkd",14,"Version 36","manicure","BOI","USM","bonding with friends","bonding with friends"
"w10011030_rkd",14,"Version 36","manicure","BOI","USM","spoiling oneself","spoiling oneself"
"w10011030_rkd",15,"Version 36","evergreen","BOI","USM","plant","plant"
"w10011030_rkd",15,"Version 36","evergreen","BOI","USM","decorating for christmas","decorating for an"
"w10011030_rkd",15,"Version 36","evergreen","BOI","USM","essential oil","essential oil"
"w10011030_rkd",15,"Version 36","evergreen","BOI","USM","scent","scent"
"w10011030_rkd",16,"Version 36","alfalfa","BOI","USM","herb","herb"
"w10011030_rkd",16,"Version 36","alfalfa","BOI","USM","food for livestock animals","food for livestock animals"
"w10011030_rkd",16,"Version 36","alfalfa","BOI","USM","garnish","garnish"
"w10011030_rkd",16,"Version 36","alfalfa","BOI","USM","herbal medicine","herbal medicine"
"w10011030_rkd",17,"Version 36","laxative","BOI","USM","to clear out the stomach","to clear out the stomach"
"w10011030_rkd",17,"Version 36","laxative","BOI","USM","aid in bloating","aid in bloating"
"w10011030_rkd",18,"Version 36","woodshed","BOI","USM","storing wood and tools","storing wood and tools"
"w10011030_rkd",19,"Version 36","harmonica","BOI","USM","to make music","to make music"
"w10011030_rkd",19,"Version 36","harmonica","BOI","USM","to entertain","to entertain"
"w10011030_rkd",19,"Version 36","harmonica","BOI","USM","to learn how to play","to learn how to play"
"w10011030_rkd",20,"Version 36","motorcycle","BOI","USM","driving","driving"
"w10011030_rkd",20,"Version 36","motorcycle","BOI","USM","riding","riding"
"w10011030_rkd",20,"Version 36","motorcycle","BOI","USM","brought to motorcycle meets","brought to motorcycle meets"
"w10011030_rkd",20,"Version 36","motorcycle","BOI","USM","bonding with other motorcycle owners","bonding with other motorcycle owners"
"w10011030_rkd",20,"Version 36","motorcycle","BOI","USM","being apart of a motorcycle gang","being apart of a motorcycle gang"
"w10011030_rkd",21,"Version 36","saltshaker","BOI","USM","disperse of salt","disperse of salt"
"w10011030_rkd",21,"Version 36","saltshaker","BOI","USM","grind up salt","grind up salt"
"w10011030_rkd",21,"Version 36","saltshaker","BOI","USM","fill it up","fill it up"
"w10011030_rkd",21,"Version 36","saltshaker","BOI","USM","can be used in restaurants and homes","can be used in restaurants and homes"
"w10011030_rkd",21,"Version 36","saltshaker","BOI","USM","cooking","cooking"
"w10011030_rkd",22,"Version 36","tombstone","BOI","USM","memorial at grave","memorial at grave"
"w10011030_rkd",22,"Version 36","tombstone","BOI","USM","engraving tombstone","engraving tombstone"
"w10011030_rkd",22,"Version 36","tombstone","BOI","USM","place flowers on","place flowers on"
"w10011030_rkd",22,"Version 36","tombstone","BOI","USM","to tell who is buried where","to tell who is buried where"
"w10011030_rkd",23,"Version 36","telescope","BOI","USM","looking at stars","looking at stars"
"w10011030_rkd",23,"Version 36","telescope","BOI","USM","military usage for snipers","military usage for snipers"
"w10011030_rkd",23,"Version 36","telescope","BOI","USM","looking far distances","looking far distances"
"w10011030_rkd",24,"Version 36","ductwork","BOI","USM","drainage system","drainage system"
"w10011030_rkd",24,"Version 36","ductwork","BOI","USM","rain catcher","rain catcher"
"w10011030_rkd",25,"Version 36","llama","BOI","USM","raising","raising"
"w10011030_rkd",25,"Version 36","llama","BOI","USM","animal farms","animal farms"
"w10011030_rkd",25,"Version 36","llama","BOI","USM","entertainment","entertainment"
"w10011030_rkd",25,"Version 36","llama","BOI","USM","feeding llamas","feeding llamas"
"w10011030_rkd",26,"Version 36","drugstore","BOI","USM","pick up medicine","pick up medicine"
"w10011030_rkd",26,"Version 36","drugstore","BOI","USM","sell general grocery supplies within the store","sell general grocery supplies within the store"
"w10011030_rkd",26,"Version 36","drugstore","BOI","USM","work for pharmacists","work for pharmacists"
"w10011030_rkd",27,"Version 36","mentor","BOI","USM","help with thesis","help with thesis"
"w10011030_rkd",27,"Version 36","mentor","BOI","USM","someone to rely on in various capacities","someone to rely on in various capacities"
"w10011030_rkd",27,"Version 36","mentor","BOI","USM","someone to help","someone to help"
"w10011030_rkd",28,"Version 36","edibles","BOI","USM","drugs","drugs"
"w10011030_rkd",28,"Version 36","edibles","BOI","USM","fun experience","fun experience"
"w10011030_rkd",28,"Version 36","edibles","BOI","USM","lighter way to take drugs ","lighter way to take drugs "
"w10011030_rkd",29,"Version 36","teardrop","BOI","USM","crying","crying"
"w10011030_rkd",29,"Version 36","teardrop","BOI","USM","wiping away","wiping away"
"w10011030_rkd",30,"Version 36","switchboard","BOI","USM","telephone calls","telephone calls"
"w10011030_rkd",30,"Version 36","switchboard","BOI","USM","connection between telephones","connection between telephones"
"w10011030_rkd",31,"Version 36","screwdriver","BOI","USM","construction","construction"
"w10011030_rkd",31,"Version 36","screwdriver","BOI","USM","building things","building things"
"w10011030_rkd",31,"Version 36","screwdriver","BOI","USM","taking out screws","taking out screws"
"w10011030_rkd",31,"Version 36","screwdriver","BOI","USM","putting in screws","putting in screws"
"w10011030_rkd",32,"Version 36","flashbulb","BOI","USM","for a flashlight","for a flashlight"
"w10011030_rkd",32,"Version 36","flashbulb","BOI","USM","replacing a bulb","replacing a bulb"
"w10011030_rkd",33,"Version 36","ornament","BOI","USM","decoration","decoration"
"w10011030_rkd",33,"Version 36","ornament","BOI","USM","gifting","gifting"
"w10011030_rkd",33,"Version 36","ornament","BOI","USM","designing","designing"
"w10011030_rkd",33,"Version 36","ornament","BOI","USM","painting","painting"
"w10011030_rkd",33,"Version 36","ornament","BOI","USM","hanging","hanging"
"w10011030_rkd",34,"Version 36","vitamins","BOI","USM","a supplement","a supplement"
"w10011030_rkd",34,"Version 36","vitamins","BOI","USM","health treatments","health treatments"
"w10011030_rkd",35,"Version 36","male","BOI","USM","raising","raising"
"w10011030_rkd",35,"Version 36","male","BOI","USM","to date/marry","to date/marry"
"w10011030_rkd",35,"Version 36","male","BOI","USM","encourage","encourage"
"w10011030_rkd",35,"Version 36","male","BOI","USM","be friends with","be friends with"
"w10011030_rkd",35,"Version 36","male","BOI","USM","study with","study with"
"w10011030_rkd",35,"Version 36","male","BOI","USM","grow up with","grow up with"
"w10011030_rkd",36,"Version 36","barber","BOI","USM","haircut","haircut"
"w10011030_rkd",36,"Version 36","barber","BOI","USM","conversation","conversation"
"w10011030_rkd",36,"Version 36","barber","BOI","USM","friend","friend"
"w10011030_rkd",36,"Version 36","barber","BOI","USM","get ready for an event","get ready for an event"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","car","car"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","boat","boat"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","motorcycle","motorcycle"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","all other vehicles","all other vehicles"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","repair","repair"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","replace","replace"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","runs vehicles","runs vehicles"
"w10011030_rkd",37,"Version 36","engine","BOI","USM","mechanic","mechanic"
"w10011030_rkd",38,"Version 36","houseboat","BOI","USM","living space","living space"
"w10011030_rkd",38,"Version 36","houseboat","BOI","USM","adventurer's home","adventurer's home"
"w10011030_rkd",38,"Version 36","houseboat","BOI","USM","living on the water","living on the water"
"w10011030_rkd",38,"Version 36","houseboat","BOI","USM","traveling","traveling"
"w10011030_rkd",39,"Version 36","beagle","BOI","USM","dog","dog"
"w10011030_rkd",39,"Version 36","beagle","BOI","USM","companion","companion"
"w10011030_rkd",39,"Version 36","beagle","BOI","USM","child to some","child to some"
"w10011030_rkd",39,"Version 36","beagle","BOI","USM","walk","walk"
"w10011030_rkd",39,"Version 36","beagle","BOI","USM","cuddle with","cuddle with"
"w10011030_rkd",40,"Version 36","rain","BOI","USM","catch","catch"
"w10011030_rkd",40,"Version 36","rain","BOI","USM","slip on the road","slip on the road"
"w10011030_rkd",40,"Version 36","rain","BOI","USM","puddles","puddles"
"w10011030_rkd",40,"Version 36","rain","BOI","USM","tornadoes/hurricanes/any extreme weather event","tornadoes/hurricanes/any extreme weather event"
"W10014082",11,"Version 50","merchant","BOI","USM","sell","sell"
"W10014082",11,"Version 50","merchant","BOI","USM","barter","barter"
"W10014082",11,"Version 50","merchant","BOI","USM","trade","trade"
"W10014082",12,"Version 50","wildcat","BOI","USM","mascot","mascot"
"W10014082",13,"Version 50","forehead","BOI","USM","body","body"
"W10014082",14,"Version 50","Ladder","BOI","USM","climb","climb"
"W10014082",14,"Version 50","Ladder","BOI","USM","store","store"
"W10014082",14,"Version 50","Ladder","BOI","USM","tool","tool"
"W10014082",15,"Version 50","houseboy","BOI","USM","clean","clean"
"W10014082",15,"Version 50","houseboy","BOI","USM","serve","serve"
"W10014082",15,"Version 50","houseboy","BOI","USM","cook","cook"
"W10014082",16,"Version 50","pudding","BOI","USM","eat","eat"
"W10014082",17,"Version 50","sombrero","BOI","USM","hat","hat"
"W10014082",18,"Version 50","poultry","BOI","USM","food","food"
"W10014082",18,"Version 50","poultry","BOI","USM","livestock","livestock"
"W10014082",19,"Version 50","saddle","BOI","USM","hourseback riding ","an riding "
"W10014082",20,"Version 50","celery","BOI","USM","eat","eat"
"W10014082",20,"Version 50","celery","BOI","USM","cook","cook"
"W10014082",20,"Version 50","celery","BOI","USM","chop","chop"
"W10014082",21,"Version 50","pineapple","BOI","USM","eat","eat"
"W10014082",21,"Version 50","pineapple","BOI","USM","cook","cook"
"W10014082",21,"Version 50","pineapple","BOI","USM","dice","dice"
