"Username","Trial","Condition.Number","Condition.Notes","Stimuli.Cue","Procedure.Item","Procedure.Max.Time","Procedure.Min.Time","Response.RT","Response.RTfirst","Response.RTlast","affordance","affordance_corrected","affordance_lemma","POS"
"10012878_CL",19,2,"List 2","barman",40,"-","-",11157,1690,10027,"drinks","drinks","drink","NOUN"
"10012878_CL",19,2,"List 2","barman",40,"-","-",11157,1690,10027,"mixing","mixing","mix","NOUN"
"10012878_CL",19,2,"List 2","barman",40,"-","-",11157,1690,10027,"conversation","conversation","conversation","NOUN"
"10012878_CL",20,2,"List 2","coverall",51,"-","-",17503,5015,16482,"coverage","coverage","coverage","NOUN"
"10012878_CL",20,2,"List 2","coverall",51,"-","-",17503,5015,16482,"fashion","fashion","fashion","NOUN"
"10012878_CL",20,2,"List 2","coverall",51,"-","-",17503,5015,16482,"clothing","clothing","clothing","NOUN"
"10012878_CL",21,2,"List 2","satchel",37,"-","-",13891,1962,12488,"fashion","fashion","fashion","NOUN"
"10012878_CL",21,2,"List 2","satchel",37,"-","-",13891,1962,12488,"carrying","carrying","carry","VERB"
"10012878_CL",21,2,"List 2","satchel",37,"-","-",13891,1962,12488,"holding","holding","hold","NOUN"
"10012878_CL",22,2,"List 2","goalpost",38,"-","-",11187,3386,10224,"scoring","scoring","scoring","NOUN"
"10012878_CL",22,2,"List 2","goalpost",38,"-","-",11187,3386,10224,"sports","sports","sport","NOUN"
"10012878_CL",22,2,"List 2","goalpost",38,"-","-",11187,3386,10224,"catching","catching","catch","VERB"
"10012878_CL",23,2,"List 2","hotplate",46,"-","-",17529,2273,4699,"warming","warming","war","NOUN"
"10012878_CL",23,2,"List 2","hotplate",46,"-","-",17529,2273,4699,"food","food","food","NOUN"
"10012878_CL",24,2,"List 2","blower",54,"-","-",19770,2976,18475,"blowing","blowing","blow","VERB"
"10012878_CL",24,2,"List 2","blower",54,"-","-",19770,2976,18475,"assistance","assistance","assistance","NOUN"
"10012878_CL",25,2,"List 2","yogurt",50,"-","-",10184,1620,9089,"consumption","consumption","consumption","NOUN"
"10012878_CL",25,2,"List 2","yogurt",50,"-","-",10184,1620,9089,"food","food","food","NOUN"
"10012878_CL",25,2,"List 2","yogurt",50,"-","-",10184,1620,9089,"hunger","hunger","hunger","NOUN"
"10012878_CL",26,2,"List 2","teabag",43,"-","-",14432,1777,13346,"mixing","mixing","mix","NOUN"
"10012878_CL",26,2,"List 2","teabag",43,"-","-",14432,1777,13346,"making","making","make","NOUN"
"10012878_CL",26,2,"List 2","teabag",43,"-","-",14432,1777,13346,"tea","tea","tea","NOUN"
"10012878_CL",26,2,"List 2","teabag",43,"-","-",14432,1777,13346,"drink","drink","drink","NOUN"
"10012878_CL",27,2,"List 2","gondola",53,"-","-",30249,6148,29227,"viewing","viewing","viewe","VERB"
"10012878_CL",27,2,"List 2","gondola",53,"-","-",30249,6148,29227,"entertainment","entertainment","entertainment","NOUN"
"10012878_CL",27,2,"List 2","gondola",53,"-","-",30249,6148,29227,"privacy","privacy","privacy","NOUN"
"10012878_CL",27,2,"List 2","gondola",53,"-","-",30249,6148,29227,"relaxing","relaxing","relax","VERB"
"10012878_CL",27,2,"List 2","gondola",53,"-","-",30249,6148,29227,"fun","fun","fun","NOUN"
"10012878_CL",27,2,"List 2","gondola",53,"-","-",30249,6148,29227,"vacation","vacation","vacation","NOUN"
"10012878_CL",28,2,"List 2","antibiotics",56,"-","-",16197,1627,15134,"medicine","medicine","medicine","NOUN"
"10012878_CL",28,2,"List 2","antibiotics",56,"-","-",16197,1627,15134,"treatment","treatment","treatment","NOUN"
"10012878_CL",28,2,"List 2","antibiotics",56,"-","-",16197,1627,15134,"illnesses","illnesses","illness","NOUN"
"10012878_CL",28,2,"List 2","antibiotics",56,"-","-",16197,1627,15134,"curing","curing","cure","NOUN"
"10012878_CL",29,2,"List 2","tripe",57,"-","-",47141,40718,46054,"consuming","consuming","consume","VERB"
"10012878_CL",29,2,"List 2","tripe",57,"-","-",47141,40718,46054,"eating","eating","eat","VERB"
"10012878_CL",30,2,"List 2","dolphin",49,"-","-",14868,1307,13808,"swimming","swimming","swimm","VERB"
"10012878_CL",30,2,"List 2","dolphin",49,"-","-",14868,1307,13808,"talking","talking","talk","VERB"
"10012878_CL",30,2,"List 2","dolphin",49,"-","-",14868,1307,13808,"entertainment","entertainment","entertainment","NOUN"
"10012878_CL",31,2,"List 2","bottle",36,"-","-",16548,1263,15582,"drinking","drinking","drink","VERB"
"10012878_CL",31,2,"List 2","bottle",36,"-","-",16548,1263,15582,"holding","holding","hold","NOUN"
"10012878_CL",31,2,"List 2","bottle",36,"-","-",16548,1263,15582,"filling","filling","fill","NOUN"
"10012878_CL",31,2,"List 2","bottle",36,"-","-",16548,1263,15582,"preserving","preserving","preserve","VERB"
"10012878_CL",32,2,"List 2","turban",41,"-","-",23563,1751,22148,"holding","holding","hold","NOUN"
"10012878_CL",32,2,"List 2","turban",41,"-","-",23563,1751,22148,"fashion","fashion","fashion","NOUN"
"10012878_CL",32,2,"List 2","turban",41,"-","-",23563,1751,22148,"religion","religion","religion","NOUN"
"10012878_CL",33,2,"List 2","gunpowder",55,"-","-",16301,1761,11694,"shooting","shooting","shoot","NOUN"
"10012878_CL",33,2,"List 2","gunpowder",55,"-","-",16301,1761,11694,"crafting","crafting","craft","NOUN"
"10012878_CL",33,2,"List 2","gunpowder",55,"-","-",16301,1761,11694,"making","making","make","NOUN"
"10012878_CL",33,2,"List 2","gunpowder",55,"-","-",16301,1761,11694,"bullets","bullets","bullet","NOUN"
"10012878_CL",34,2,"List 2","prankster",52,"-","-",14664,1444,13641,"jokes","jokes","joke","NOUN"
"10012878_CL",34,2,"List 2","prankster",52,"-","-",14664,1444,13641,"views","views","views","NOUN"
"10012878_CL",34,2,"List 2","prankster",52,"-","-",14664,1444,13641,"laughter","laughter","laughter","NOUN"
"10012878_CL",34,2,"List 2","prankster",52,"-","-",14664,1444,13641,"entertainment","entertainment","entertainment","NOUN"
"10012878_CL",35,2,"List 2","newscaster",33,"-","-",15187,2841,13990,"gossip","gossip","gossip","NOUN"
"10012878_CL",35,2,"List 2","newscaster",33,"-","-",15187,2841,13990,"entertainment","entertainment","entertainment","NOUN"
"10012878_CL",35,2,"List 2","newscaster",33,"-","-",15187,2841,13990,"curiousity","curiosity","curiosity","NOUN"
"10012878_CL",36,2,"List 2","rainwater",61,"-","-",22051,4133,19190,"recycling","recycling","recycl","VERB"
"10012878_CL",36,2,"List 2","rainwater",61,"-","-",22051,4133,19190,"drink","drink","drink","NOUN"
"10012878_CL",36,2,"List 2","rainwater",61,"-","-",22051,4133,19190,"planting","planting","plan","VERB"
"10012878_CL",36,2,"List 2","rainwater",61,"-","-",22051,4133,19190,"farming","farming","far","NOUN"
"10012878_CL",37,2,"List 2","yourself",35,"-","-",54671,3313,24213,"adventures","adventures","adventure","NOUN"
"10012878_CL",37,2,"List 2","yourself",35,"-","-",54671,3313,24213,"entertainment","entertainment","entertainment","NOUN"
"10012878_CL",38,2,"List 2","boot",42,"-","-",5967,1267,5151,"walking","walking","walk","NOUN"
"10012878_CL",38,2,"List 2","boot",42,"-","-",5967,1267,5151,"stomping","stomping","stomp","NOUN"
"10012878_CL",39,2,"List 2","toy",44,"-","-",6401,1215,4583,"playing","playing","play","VERB"
"10012878_CL",39,2,"List 2","toy",44,"-","-",6401,1215,4583,"entertainment","entertainment","entertainment","NOUN"
"10012878_CL",40,2,"List 2","choreographer",45,"-","-",9942,1277,5927,"art","art","art","NOUN"
"10012878_CL",40,2,"List 2","choreographer",45,"-","-",9942,1277,5927,"dancing","dancing","dancing","NOUN"
"10016155",11,24,"List 74","engineer",2203,"-","-",27448,3665,24400,"chemical","chemical","chemical","ADJ"
"10016155",11,24,"List 74","engineer",2203,"-","-",27448,3665,24400,"electrical","electrical","electrical","ADJ"
"10016155",11,24,"List 74","engineer",2203,"-","-",27448,3665,24400,"mechanical","mechanical","mechanical","ADJ"
"10016155",12,24,"List 74","watchband",2207,"-","-",12292,2447,11625,"worn","worn","wear","ADJ"
"10016155",12,24,"List 74","watchband",2207,"-","-",12292,2447,11625,"used","used","use","VERB"
"10016155",12,24,"List 74","watchband",2207,"-","-",12292,2447,11625,"touched","touched","touch","VERB"
"10016155",13,24,"List 74","abacus",2197,"-","-",17071,14472,15439,"thrown","thrown","throw","VERB"
"10016155",15,24,"List 74","duster",2192,"-","-",8561,3584,7898,"clean","clean","clean","ADJ"
"10016155",15,24,"List 74","duster",2192,"-","-",8561,3584,7898,"pick","pick","pick","VERB"
"10016155",16,24,"List 74","eyewash",2220,"-","-",15596,2915,10132,"ease","ease","ease","INTJ"
"10016155",16,24,"List 74","eyewash",2220,"-","-",15596,2915,10132,"pain","pain","pain","NOUN"
"10016155",16,24,"List 74","eyewash",2220,"-","-",15596,2915,10132,"rinse","rinse","rinse","NOUN"
"10016155",17,24,"List 74","underclothing",2200,"-","-",13476,3366,12946,"worn","worn","wear","ADJ"
"10016155",17,24,"List 74","underclothing",2200,"-","-",13476,3366,12946,"washed","washed","washed","VERB"
"10016155",17,24,"List 74","underclothing",2200,"-","-",13476,3366,12946,"folded","folded","fold","VERB"
"10016155",18,24,"List 74","lunchroom",2201,"-","-",16962,12765,16635,"eat","eat","eat","VERB"
"10016155",19,24,"List 74","percolator",2195,"-","-",3887,3127,3413,"idk","id","id","NOUN"
"10016155",20,24,"List 74","props",2221,"-","-",5081,2079,4813,"used","used","use","VERB"
"10016155",20,24,"List 74","props",2221,"-","-",5081,2079,4813,"play","play","play","VERB"
"10016155",21,24,"List 74","teacher",2202,"-","-",8168,4143,7831,"help","help","help","VERB"
"10016155",21,24,"List 74","teacher",2202,"-","-",8168,4143,7831,"students","students","student","NOUN"
"10016155",21,24,"List 74","teacher",2202,"-","-",8168,4143,7831,"learn","learn","learn","VERB"
"10016155",22,24,"List 74","electrician",2211,"-","-",14855,2488,14346,"works","works","work","VERB"
"10016155",22,24,"List 74","electrician",2211,"-","-",14855,2488,14346,"electrical","electrical","electrical","ADJ"
"10016155",22,24,"List 74","electrician",2211,"-","-",14855,2488,14346,"problems","problems","problem","NOUN"
"10016155",22,24,"List 74","electrician",2211,"-","-",14855,2488,14346,"issues","issues","issue","NOUN"
"10016155",23,24,"List 74","flaxseed",2216,"-","-",6553,1837,6202,"eaten","eaten","eat","VERB"
"10016155",23,24,"List 74","flaxseed",2216,"-","-",6553,1837,6202,"grown","grown","grow","VERB"
"10016155",24,24,"List 74","gasket",2208,"-","-",12374,8656,10866,"used","used","use","VERB"
"10016155",24,24,"List 74","gasket",2208,"-","-",12374,8656,10866,"fixe","fix","fix","VERB"
"10016155",25,24,"List 74","trench",2218,"-","-",9216,2206,8917,"dug","dug","dig","VERB"
"10016155",25,24,"List 74","trench",2218,"-","-",9216,2206,8917,"walk","walk","walk","VERB"
"10016155",26,24,"List 74","rowboat",2194,"-","-",11358,2741,11030,"get","get","get","VERB"
"10016155",26,24,"List 74","rowboat",2194,"-","-",11358,2741,11030,"places","places","place","NOUN"
"10016155",27,24,"List 74","thumbtack",2210,"-","-",10786,4237,10411,"hold","hold","hold","INTJ"
"10016155",27,24,"List 74","thumbtack",2210,"-","-",10786,4237,10411,"something","something","something","PRON"
"10016155",28,24,"List 74","tangerine",2214,"-","-",7545,2032,7292,"eaten","eaten","eat","VERB"
"10016155",28,24,"List 74","tangerine",2214,"-","-",7545,2032,7292,"picked","picked","pick","VERB"
"10016155",28,24,"List 74","tangerine",2214,"-","-",7545,2032,7292,"grown","grown","grow","VERB"
"10016155",29,24,"List 74","coaster",2204,"-","-",11278,3962,10225,"hold","hold","hold","INTJ"
"10016155",29,24,"List 74","coaster",2204,"-","-",11278,3962,10225,"drinks","drinks","drink","NOUN"
"10016155",30,24,"List 74","shank",2205,"-","-",3401,1781,2480,"stab","stab","stab","NOUN"
"10016155",31,24,"List 74","parchment",2219,"-","-",6892,3297,6706,"used","used","use","VERB"
"10016155",31,24,"List 74","parchment",2219,"-","-",6892,3297,6706,"cooking","cooking","cook","NOUN"
"10016155",32,24,"List 74","tablecloth",2213,"-","-",8240,1629,7989,"used","used","use","VERB"
"10016155",32,24,"List 74","tablecloth",2213,"-","-",8240,1629,7989,"help","help","help","VERB"
"10016155",32,24,"List 74","tablecloth",2213,"-","-",8240,1629,7989,"keep","keep","keep","VERB"
"10016155",32,24,"List 74","tablecloth",2213,"-","-",8240,1629,7989,"table","table","table","NOUN"
"10016155",32,24,"List 74","tablecloth",2213,"-","-",8240,1629,7989,"clean","clean","clean","ADJ"
"10016155",33,24,"List 74","worksheet",2198,"-","-",6433,2387,6147,"turn","turn","turn","VERB"
"10016155",33,24,"List 74","worksheet",2198,"-","-",6433,2387,6147,"work","work","work","NOUN"
"10016155",34,24,"List 74","stem",2196,"-","-",6604,5472,6471,"picked","picked","pick","VERB"
"10016155",35,24,"List 74","lunch",2212,"-","-",2173,1108,1886,"eaten","eaten","eat","VERB"
"10016155",36,24,"List 74","cheek",2193,"-","-",11216,4528,11035,"gets","gets","get","VERB"
"10016155",36,24,"List 74","cheek",2193,"-","-",11216,4528,11035,"red","red","re","ADJ"
"10016155",36,24,"List 74","cheek",2193,"-","-",11216,4528,11035,"helps","helps","help","VERB"
"10016155",36,24,"List 74","cheek",2193,"-","-",11216,4528,11035,"smile","smile","smile","VERB"
"10016155",37,24,"List 74","salamander",2206,"-","-",13764,4657,13292,"pet","pet","pet","NOUN"
"10016155",37,24,"List 74","salamander",2206,"-","-",13764,4657,13292,"wild","wild","wild","ADJ"
"10016155",37,24,"List 74","salamander",2206,"-","-",13764,4657,13292,"also","also","also","ADV"
"10016155",38,24,"List 74","ruler",2217,"-","-",5872,1748,5652,"used","used","use","VERB"
"10016155",38,24,"List 74","ruler",2217,"-","-",5872,1748,5652,"measure","measure","measure","NOUN"
"10016155",39,24,"List 74","stepbrother",2215,"-","-",9883,3092,9686,"advice","advice","advice","NOUN"
"10016155",39,24,"List 74","stepbrother",2215,"-","-",9883,3092,9686,"quality","quality","quality","NOUN"
"10016155",39,24,"List 74","stepbrother",2215,"-","-",9883,3092,9686,"time","time","time","NOUN"
"10016155",40,24,"List 74","stage",2209,"-","-",9937,2876,9383,"perform","perform","perform","VERB"
"10016155",40,24,"List 74","stage",2209,"-","-",9937,2876,9383,"sing","sing","se","VERB"
"10016155",40,24,"List 74","stage",2209,"-","-",9937,2876,9383,"dance","dance","dance","NOUN"
"10016155",40,24,"List 74","stage",2209,"-","-",9937,2876,9383,"worship","worship","worship","NOUN"
"10032501AW",11,11,"List 11","billiards",328,"-","-",86845,57245,82431,"sitting","sitting","sit","VERB"
"10032501AW",11,11,"List 11","billiards",328,"-","-",86845,57245,82431,"coaster","coaster","coaster","NOUN"
"10032501AW",11,11,"List 11","billiards",328,"-","-",86845,57245,82431,"storage","storage","storage","NOUN"
"10032501AW",11,11,"List 11","billiards",328,"-","-",86845,57245,82431,"table","table","table","NOUN"
"10032501AW",12,11,"List 11","mongoose",330,"-","-",17212,5249,11497,"eaten","eaten","eat","VERB"
"10032501AW",12,11,"List 11","mongoose",330,"-","-",17212,5249,11497,"cooked","cooked","cook","VERB"
"10032501AW",12,11,"List 11","mongoose",330,"-","-",17212,5249,11497,"pet","pet","pet","NOUN"
"10032501AW",13,11,"List 11","village",322,"-","-",36352,6554,25275,"visit","visit","visit","VERB"
"10032501AW",13,11,"List 11","village",322,"-","-",36352,6554,25275,"resident","resident","resident","NOUN"
"10032501AW",14,11,"List 11","hibachi",313,"-","-",29292,24679,25435,"cooking","cooking","cook","NOUN"
"10032501AW",15,11,"List 11","furnace",331,"-","-",11514,2131,4409,"heating","heating","heating","NOUN"
"10032501AW",15,11,"List 11","furnace",331,"-","-",11514,2131,4409,"burning","burning","burn","VERB"
"10032501AW",16,11,"List 11","apartments",310,"-","-",34165,5595,33084,"tenant","tenant","tenant","NOUN"
"10032501AW",16,11,"List 11","apartments",310,"-","-",34165,5595,33084,"sleep","sleep","sleep","NOUN"
"10032501AW",16,11,"List 11","apartments",310,"-","-",34165,5595,33084,"cook","cook","cake","VERB"
"10032501AW",16,11,"List 11","apartments",310,"-","-",34165,5595,33084,"eat","eat","eat","VERB"
"10032501AW",16,11,"List 11","apartments",310,"-","-",34165,5595,33084,"clean","clean","clean","ADJ"
"10032501AW",16,11,"List 11","apartments",310,"-","-",34165,5595,33084,"storage","storage","storage","NOUN"
"10032501AW",16,11,"List 11","apartments",310,"-","-",34165,5595,33084,"shelter","shelter","shelter","NOUN"
"10032501AW",17,11,"List 11","teaspoonful",323,"-","-",42647,11953,34526,"seasoning","seasoning","season","VERB"
"10032501AW",17,11,"List 11","teaspoonful",323,"-","-",42647,11953,34526,"sweetener","sweetener","sweetener","NOUN"
"10032501AW",17,11,"List 11","teaspoonful",323,"-","-",42647,11953,34526,"mix","mix","mix","NOUN"
"10032501AW",17,11,"List 11","teaspoonful",323,"-","-",42647,11953,34526,"scoop","scoop","scoop","NOUN"
"10032501AW",18,11,"List 11","flowerpot",315,"-","-",15826,2169,4115,"plant","plant","plant","NOUN"
"10032501AW",18,11,"List 11","flowerpot",315,"-","-",15826,2169,4115,"storage","storage","storage","NOUN"
"10032501AW",19,11,"List 11","grandchild",316,"-","-",25033,2346,24053,"play","play","play","VERB"
"10032501AW",19,11,"List 11","grandchild",316,"-","-",25033,2346,24053,"care","care","care","NOUN"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"eat","eat","eat","VERB"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"stretch","stretch","stretch","NOUN"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"suck","suck","suck","VERB"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"bite","bite","bite","X"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"lick","lick","lick","NOUN"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"tear","tear","tear","NOUN"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"crush","crush","crush","NOUN"
"10032501AW",20,11,"List 11","taffy",324,"-","-",27432,2447,24919,"melt","melt","melt","NOUN"
"10032501AW",21,11,"List 11","mullets",319,"-","-",18045,2055,15458,"cut","cut","cut","VERB"
"10032501AW",21,11,"List 11","mullets",319,"-","-",18045,2055,15458,"washed","washed","washed","VERB"
"10032501AW",21,11,"List 11","mullets",319,"-","-",18045,2055,15458,"dyed","dyed","dye","ADJ"
"10032501AW",21,11,"List 11","mullets",319,"-","-",18045,2055,15458,"straightened","straightened","straighten","VERB"
"10032501AW",21,11,"List 11","mullets",319,"-","-",18045,2055,15458,"curled","curled","curl","VERB"
"10032501AW",22,11,"List 11","flatiron",311,"-","-",24782,5684,23726,"hold","hold","hold","INTJ"
"10032501AW",22,11,"List 11","flatiron",311,"-","-",24782,5684,23726,"weapon","weapon","weapon","NOUN"
"10032501AW",22,11,"List 11","flatiron",311,"-","-",24782,5684,23726,"straighten","straighten","straighten","ADV"
"10032501AW",23,11,"List 11","bondsman",308,"-","-",71479,41760,68725,"hug","hug","hug","X"
"10032501AW",23,11,"List 11","bondsman",308,"-","-",71479,41760,68725,"hit","hit","hit","VERB"
"10032501AW",24,11,"List 11","raincoat",326,"-","-",23484,1979,15435,"wear","wear","wear","VERB"
"10032501AW",24,11,"List 11","raincoat",326,"-","-",23484,1979,15435,"fold","fold","fold","VERB"
"10032501AW",24,11,"List 11","raincoat",326,"-","-",23484,1979,15435,"burn","burn","burn","VERB"
"10032501AW",24,11,"List 11","raincoat",326,"-","-",23484,1979,15435,"shelter","shelter","shelter","NOUN"
"10032501AW",25,11,"List 11","casserole",306,"-","-",22414,3166,18461,"eat","eat","eat","VERB"
"10032501AW",25,11,"List 11","casserole",306,"-","-",22414,3166,18461,"reheat","reheat","reheat","NOUN"
"10032501AW",25,11,"List 11","casserole",306,"-","-",22414,3166,18461,"scoop","scoop","scoop","NOUN"
"10032501AW",25,11,"List 11","casserole",306,"-","-",22414,3166,18461,"stab","stab","stab","NOUN"
"10032501AW",26,11,"List 11","crust",304,"-","-",8475,2169,7390,"eat","eat","eat","VERB"
"10032501AW",26,11,"List 11","crust",304,"-","-",8475,2169,7390,"crushed","crushed","crush","VERB"
"10032501AW",26,11,"List 11","crust",304,"-","-",8475,2169,7390,"cut","cut","cut","VERB"
"10032501AW",27,11,"List 11","molasses",321,"-","-",30848,1931,29847,"syrup","syrup","syrup","NOUN"
"10032501AW",27,11,"List 11","molasses",321,"-","-",30848,1931,29847,"lick","lick","lick","NOUN"
"10032501AW",27,11,"List 11","molasses",321,"-","-",30848,1931,29847,"sweetner","sweetener","sweetener","NOUN"
"10032501AW",28,11,"List 11","butt",312,"-","-",20240,5097,15604,"slap","slap","slap","NOUN"
"10032501AW",28,11,"List 11","butt",312,"-","-",20240,5097,15604,"fondle","fondle","fondle","NOUN"
"10032501AW",28,11,"List 11","butt",312,"-","-",20240,5097,15604,"rub","rub","rub","NOUN"
"10032501AW",28,11,"List 11","butt",312,"-","-",20240,5097,15604,"cushion","cushion","cushion","NOUN"
"10032501AW",29,11,"List 11","parakeet",329,"-","-",8809,4277,4781,"pet","pet","pet","NOUN"
"10032501AW",30,11,"List 11","nut",307,"-","-",26911,6352,20166,"eat","eat","eat","VERB"
"10032501AW",30,11,"List 11","nut",307,"-","-",26911,6352,20166,"crush","crush","crush","NOUN"
"10032501AW",30,11,"List 11","nut",307,"-","-",26911,6352,20166,"topping","topping","topping","NOUN"
"10032501AW",31,11,"List 11","pan",327,"-","-",12572,4371,11411,"fry","fry","fry","NOUN"
"10032501AW",31,11,"List 11","pan",327,"-","-",12572,4371,11411,"clean","clean","clean","ADJ"
"10032501AW",31,11,"List 11","pan",327,"-","-",12572,4371,11411,"weapon","weapon","weapon","NOUN"
"10032501AW",32,11,"List 11","corn",317,"-","-",14705,1645,11298,"eat","eat","eat","VERB"
"10032501AW",32,11,"List 11","corn",317,"-","-",14705,1645,11298,"boil","boil","boil","NOUN"
"10032501AW",32,11,"List 11","corn",317,"-","-",14705,1645,11298,"crush","crush","crush","NOUN"
"10032501AW",32,11,"List 11","corn",317,"-","-",14705,1645,11298,"ingredient","ingredient","ingredient","NOUN"
"10032501AW",33,11,"List 11","stepdaughter",314,"-","-",11812,4348,4951,"hug","hug","hug","X"
"10032501AW",34,11,"List 11","trigger",320,"-","-",7852,4875,5298,"push","push","push","INTJ"
"10032501AW",35,11,"List 11","belt",318,"-","-",11412,6058,9802,"accessory","accessory","accessory","INTJ"
"10032501AW",35,11,"List 11","belt",318,"-","-",11412,6058,9802,"weapon","weapon","weapon","NOUN"
"10032501AW",36,11,"List 11","acupuncture",302,"-","-",14969,5538,14075,"weapon","weapon","weapon","NOUN"
"10032501AW",36,11,"List 11","acupuncture",302,"-","-",14969,5538,14075,"medical","medical","medical","ADJ"
"10032501AW",36,11,"List 11","acupuncture",302,"-","-",14969,5538,14075,"tool","tool","tool","NOUN"
"10032501AW",37,11,"List 11","rectum",309,"-","-",33346,6813,32299,"stretched","stretched","stretch","VERB"
"10032501AW",37,11,"List 11","rectum",309,"-","-",33346,6813,32299,"exit","exit","exit","NOUN"
"10032501AW",38,11,"List 11","device",303,"-","-",51612,1846,41935,"diary","diary","diary","INTJ"
"10032501AW",38,11,"List 11","device",303,"-","-",51612,1846,41935,"book","book","book","NOUN"
"10032501AW",38,11,"List 11","device",303,"-","-",51612,1846,41935,"storage","storage","storage","NOUN"
"10032501AW",39,11,"List 11","dirt",325,"-","-",11728,7083,7693,"dug","dug","dug","X"
"10032501AW",40,11,"List 11","kettledrum",305,"-","-",72159,67847,69822,"instrument","instrument","instrument","NOUN"
"10043633MWA",11,11,"List 36","edibles",1064,"-","-",35909,1425,10472,"eaten","eaten","eat","VERB"
"10043633MWA",11,11,"List 36","edibles",1064,"-","-",35909,1425,10472,"made","made","make","VERB"
"10043633MWA",11,11,"List 36","edibles",1064,"-","-",35909,1425,10472,"sold","sold","sell","VERB"
"10043633MWA",11,11,"List 36","edibles",1064,"-","-",35909,1425,10472,"bought","bought","buy","NOUN"
"10043633MWA",12,11,"List 36","barber",1061,"-","-",17695,3398,14821,"called","called","call","VERB"
"10043633MWA",12,11,"List 36","barber",1061,"-","-",17695,3398,14821,"used","used","use","VERB"
"10043633MWA",12,11,"List 36","barber",1061,"-","-",17695,3398,14821,"killed","killed","kill","VERB"
