CUE,RESPONSE,RESPONSE.TOKEN,RESPONSE.LEMMA,POS,Source
accountant,helps with keeping track of where your money goes,helps,help,VERB,UCONN
accountant,helps with keeping track of where your money goes,keeping,keep,VERB,UCONN
accountant,helps with keeping track of where your money goes,track,track,VERB,UCONN
accountant,helps with keeping track of where your money goes,money,money,NOUN,UCONN
accountant,helps with keeping track of where your money goes,goes,go,VERB,UCONN
accountant,also how it's spent,also,also,ADV,UCONN
accountant,also how it's spent,spent,spend,VERB,UCONN
accountant,taxes,taxes,tax,VERB,USA
accountant,banking,banking,bank,VERB,USA
accountant,does taxes,taxes,tax,VERB,UCONN
accountant,count numbers,count,count,VERB,UCONN
accountant,count numbers,numbers,number,NOUN,UCONN
accountant,figure out expenses,expenses,expenses,VERB,UCONN
acne,blotchy,blotchy,blotchy,ADJ,USM
acne,break out,break,break,VERB,USM
acne,bumps,bumps,bump,VERB,USM
acne,clear up,clear,clear,VERB,USM
acne,clear up,up,up,NOUN,USM
acne,cleared,cleared,clear,VERB,USM
acne,covered up,covered,cover,VERB,USM
acne,irritated,irritated,irritate,VERB,USM
acne,pick at it,pick,pick,VERB,USM
acne,picked at,picked,pick,VERB,USM
acne,pimples,pimples,pimple,NOUN,USM
acne,popped,popped,pop,VERB,USM
acne,scars,scars,scar,VERB,USM
acne,self care,self,self,NOUN,USM
acne,self care,care,care,VERB,USM
acne,treat,treat,treat,VERB,USM
acne,control,control,control,NOUN,ILL_STATE
acne,hide,hide,hide,VERB,ILL_STATE
acne,cover,cover,cover,VERB,ILL_STATE
acne,pop,pop,pop,VERB,ILL_STATE
acne,acne,acne,acne,NOUN,Hope
acne,get rid of,get,get,VERB,Hope
acne,get rid of,rid,rid,ADJ,Hope
acne,treat,treat,treat,VERB,Hope
acne,scare someone,scare,scare,VERB,Hope
acne,scare someone,someone,someone,PRON,Hope
acne,identify,identify,identify,VERB,Hope
acne,experiment with,experiment,experiment,VERB,Hope
acne,take samples,take,take,VERB,Hope
acne,take samples,samples,sample,NOUN,Hope
acne,spread. ,spread,spread,VERB,Hope
acne,red,red,red,ADJ,USA
acne,bumps,bumps,bump,VERB,USA
acne,teenager,teenager,teenager,NOUN,USA
acne,treating,treating,treat,VERB,MSU-TEXAS
acne,face irritation,face,face,NOUN,MSU-TEXAS
acne,face irritation,irritation,iritate,VERB,MSU-TEXAS
acne,excess skin care,excess,excess,NOUN,MSU-TEXAS
acne,excess skin care,skin,skin,NOUN,MSU-TEXAS
acne,excess skin care,care,care,NOUN,MSU-TEXAS
acne,contagious,contagious,contagious,ADJ,MSU-TEXAS
acne,pop it,pop,pop,VERB,USA
acne,pick it,pick,pick,VERB,USA
acorn,collecting,collecting,collect,VERB,USM
acorn,cook,cook,cook,VERB,USM
acorn,crack,crack,crack,VERB,USM
acorn,decoration,decoration,decorate,VERB,USM
acorn,decorations,decorations,decorate,VERB,USM
acorn,dodge ball,dodge,dodge ball,VERB,USM
acorn,eat,eat,eat,VERB,USM
acorn,eating,eating,eat,VERB,USM
acorn,fed to squirrels,fed,feed,VERB,USM
acorn,fed to squirrels,squirrels,squirrel,NOUN,USM
acorn,feed to squirrel,feed,feed,VERB,USM
acorn,feed to squirrel,squirrel,squirrel,VERB,USM
acorn,food,food,food,NOUN,USM
acorn,picking up,picking,pick,VERB,USM
acorn,planted,planted,plan,VERB,USM
acorn,smash,smash,smash,VERB,USM
acorn,squirrel,squirrel,squirrel,NOUN,USM
acorn,squirrels eat,squirrels,squirrel,NOUN,USM
acorn,squirrels eat,eat,eat,VERB,USM
acorn,step on,step,step,NOUN,USM
acorn,stepping on,stepping,step,VERB,USM
acorn,throw,throw,throw,VERB,USM
acorn,throwing,throwing,throw,VERB,USM
acorn,trees,trees,tree,NOUN,USM
acorn,to throw at something,throw,throw,VERB,ILL_STATE
acorn,to throw at something,something,something,PRON,ILL_STATE
acorn,to eat,eat,eat,VERB,ILL_STATE
acorn,for squirrels to eat,squirrels,squirrel,NOUN,ILL_STATE
acorn,for squirrels to eat,eat,eat,VERB,ILL_STATE
acorn,bury,bury,bury,VERB,Hope
acorn,pick up,pick,pick,VERB,Hope
acorn,rake,rake,rake,VERB,Hope
acorn,step on,step,step,VERB,Hope
acorn,throw,throw,throw,VERB,Hope
acorn,plant,plant,plant,VERB,Hope
acorn,plant into ground,plant,plant,NOUN,Hope
acorn,plant into ground,ground,ground,NOUN,Hope
acorn,throw at someone,throw,throw,VERB,Hope
acorn,throw at someone,someone,someone,PRON,Hope
acorn,eat,eat,eat,VERB,Hope
acorn,hand to an animal ,hand,hand,NOUN,Hope
acorn,hand to an animal ,animal,animal,NOUN,Hope
acorn,collecting,collecting,collect,VERB,Hope
acorn,using,using,use,VERB,Hope
acorn,food for squirrels,food,food,NOUN,Hope
acorn,food for squirrels,squirrels,squirrel,NOUN,Hope
acorn,create new trees,create,create,VERB,Hope
acorn,create new trees,new,new,ADJ,Hope
acorn,create new trees,trees,tree,NOUN,Hope
acorn,grow tree,grow,grow,VERB,USA
acorn,grow tree,tree,tree,NOUN,USA
acorn,start acorn fight,start,start,VERB,USA
acorn,start acorn fight,acorn,acorn,ADV,USA
acorn,start acorn fight,fight,fight,VERB,USA
acorn,food,food,food,NOUN,MSU-TEXAS
acorn,decor ,decor,decorate,VERB,MSU-TEXAS
acorn,eat,eat,eat,VERB,USA
acorn,throw,throw,throw,VERB,USA
acorn,feed animal,feed,feed,VERB,USA
acorn,feed animal,animal,animal,NOUN,USA
acrobat,cartwheel,cartwheel,cartwheel,VERB,USM
acrobat,entertain,entertain,entertain,VERB,USM
acrobat,entertainment,entertainment,entertainment,NOUN,USM
acrobat,fly,fly,fly,VERB,USM
acrobat,fly in air,fly,fly,VERB,USM
acrobat,fly in air,air,air,NOUN,USM
acrobat,for entertainment,entertainment,entertain,VERB,USM
acrobat,gymnastics,gymnastics,gymnastic,NOUN,USM
acrobat,see at circus,see,see,VERB,USM
acrobat,see at circus,circus,circus,NOUN,USM
acrobat,swing on ropes,swing,swing,VERB,USM
acrobat,swing on ropes,ropes,rope,NOUN,USM
acrobat,tightrope,tightrope,tightrope,NOUN,USM
acrobat,wear costumes,wear,wear,VERB,USM
acrobat,wear costumes,costumes,costume,NOUN,USM
acrobat,work out,work,work,VERB,USM
acrobat,watched,watched,watch,VERB,USM
acrobat,sports,sports,sport,NOUN,CCSU
acrobat,fighting,fighting,fight,VERB,CCSU
acrobat,acting,acting,act,VERB,CCSU
acrobat,dancing,dancing,dance,VERB,CCSU
acrobat,working,working,work,VERB,CCSU
acrobat,performance arts,performance,perform,VERB,CCSU
acrobat,performance arts,arts,arts,NOUN,CCSU
acrobat,sneaking,sneaking,sneak,VERB,CCSU
acrobat,become flexible,become,become,VERB,MSU-TEXAS
acrobat,become flexible,flexible,flex,VERB,MSU-TEXAS
acrobat,get hurt,get,get,VERB,MSU-TEXAS
acrobat,get hurt,hurt,hurt,VERB,MSU-TEXAS
acrobat,teaching me how to be flexible,teaching,teach,VERB,UCONN
acrobat,teaching me how to be flexible,flexible,flexible,ADJ,UCONN
acrobat,watch,watch,watch,VERB,UCONN
acrobat,talk with,talk,talk,VERB,UCONN
acrobat,compliment,compliment,compliment,VERB,UCONN
acrobat,insult,insult,insult,VERB,UCONN
acrobat,reach for hard to reach things,reach,reach,VERB,UCONN
acrobat,reach for hard to reach things,hard,hard,ADJ,UCONN
acrobat,reach for hard to reach things,reach,reach,VERB,UCONN
acrobat,reach for hard to reach things,things,thing,NOUN,UCONN
acrobat,stage performance,stage,stage,NOUN,UCONN
acrobat,stage performance,performance,perform,VERB,UCONN
acrobat,use for circus,use,use,VERB,USA
acrobat,use for circus,circus,circus,NOUN,USA
acrobat,for fun,fun,fun,NOUN,USA
acrobat,entertainment,entertainment,entertain,VERB,USA
acrobat,view,view,view,NOUN,UCONN
acrobat,cheer,cheer,cheer,VERB,UCONN
actor,act,act,act,NOUN,USM
actor,acting,acting,act,VERB,USM
actor,acts,acts,act,NOUN,USM
actor,acts in movies,acts,act,NOUN,USM
actor,acts in movies,movies,movie,NOUN,USM
actor,acts in plays,acts,act,NOUN,USM
actor,acts in plays,plays,play,NOUN,USM
actor,acts in tv shows,acts,act,NOUN,USM
actor,acts in tv shows,tv,tv,NOUN,USM
actor,acts in tv shows,shows,show,NOUN,USM
actor,commercials,commercials,commercials,NOUN,USM
actor,hand gestures,hand,hand,NOUN,USM
actor,hand gestures,gestures,gesture,VERB,USM
actor,makes money,makes,make,VERB,USM
actor,makes money,money,money,NOUN,USM
actor,movie,movie,movie,NOUN,USM
actor,movies,movies,movy,NOUN,USM
actor,musicals,musicals,musical,NOUN,USM
actor,perform,perform,perform,VERB,USM
actor,performing,performing,perform,VERB,USM
actor,play in a movie,play,play,VERB,USM
actor,play in a movie,movie,movie,NOUN,USM
actor,plays,plays,play,VERB,USM
actor,press conferences,press,press,NOUN,USM
actor,press conferences,conferences,conference,NOUN,USM
actor,serie,serie,series,NOUN,USM
actor,show,show,show,VERB,USM
actor,signing autographs,signing,sign,VERB,USM
actor,signing autographs,autographs,autograph,NOUN,USM
actor,talks,talks,talk,NOUN,USM
actor,tv,tv,tv,NOUN,USM
actor,tv shows,tv,tv,NOUN,USM
actor,tv shows,shows,show,NOUN,USM
actor,watch,watch,watch,VERB,USM
actor,for acting,acting,act,VERB,USM
actor,movies,movies,movie,NOUN,MSU-TEXAS
actor,tv shows,tv,tv,X,MSU-TEXAS
actor,tv shows,shows,show,NOUN,MSU-TEXAS
actor,entertainment,entertainment,entertain,VERB,UCONN
actor,listening ,listening,listen,VERB,UCONN
actor,someone in movies or plays,someone,someone,PRON,USA
actor,someone in movies or plays,movies,movie,NOUN,USA
actor,someone in movies or plays,plays,play,VERB,USA
actor,movies,movies,movie,NOUN,USA
actor,plays,plays,play,VERB,USA
actor,tv shows,tv,tv,X,USA
actor,tv shows,shows,show,NOUN,USA
actor,commercials,commercials,commercials,NOUN,USA
actor,entertainment ,entertainment,entertain,VERB,UCONN
actress,broadway musicals,broadway,broadway,ADJ,USM
actress,broadway musicals,musicals,musical,NOUN,USM
actress,endorsements,endorsements,endorsement,NOUN,USM
actress,enjoy watching,enjoy,enjoy,VERB,USM
actress,enjoy watching,watching,watch,VERB,USM
actress,fool people,fool,fool,VERB,USM
actress,fool people,people,people,NOUN,USM
actress,have a crush on,crush,crush,NOUN,USM
actress,model,model,model,NOUN,USM
actress,play a character,play,play,VERB,USM
actress,play a character,character,character,NOUN,USM
actress,respect,respect,respect,NOUN,USM
actress,see in a movie,see,see,VERB,USM
actress,see in a movie,movie,movie,NOUN,USM
actress,see in a tv show,see,see,VERB,USM
actress,see in a tv show,tv,tv,NOUN,USM
actress,see in a tv show,show,show,NOUN,USM
actress,see in theaters,see,see,VERB,USM
actress,see in theaters,theaters,theater,NOUN,USM
actress,talk to,talk,talk,VERB,USM
actress,to act,act,act,VERB,USM
actress,to cry,cry,cry,VERB,USM
actress,to laugh,laugh,laugh,VERB,USM
actress,to produce a film or musical,produce,produce,VERB,USM
actress,to produce a film or musical,film,film,NOUN,USM
actress,to produce a film or musical,musical,musical,NOUN,USM
actress,to watch for enjoyment,watch,watch,VERB,USM
actress,to watch for enjoyment,enjoyment,enjoyment,NOUN,USM
actress,undercover agent,agent,agent,NOUN,USM
actress,want to grow up to be like,want,want,VERB,USM
actress,want to grow up to be like,grow,grow,VERB,USM
actress,act,act,act,VERB,USM
actress,theater,theater,theater,NOUN,USM
actress,tv,tv,tv,NOUN,USM
actress,movie,movie,movie,NOUN,USM
actress,pretend,pretend,pretend,VERB,USM
actress,to sing,sing,se,VERB,MSU-TEXAS
actress,play a trick,play,play,VERB,MSU-TEXAS
actress,play a trick,trick,trick,NOUN,MSU-TEXAS
actress,act ,act,act,NOUN,MSU-TEXAS
actress,watch,watch,watch,VERB,USA
actress,compliment,compliment,compliment,VERB,USA
actress,critique,critique,critique,VERB,USA
actress,congratulate,congratulate,congratulate,VERB,USA
actress,perform,perform,perform,VERB,MSU-TEXAS
actress,act,act,act,VERB,USA
actress,roleplay,roleplay,roleplay,VERB,USA
actress,act,act,act,NOUN,Clemson
actress,sing,sing,se,VERB,Clemson
actress,dance,dance,dance,VERB,Clemson
actress,touch,touch,touch,VERB,Clemson
actress,kiss,kiss,kiss,VERB,Clemson
actress,hit,hit,hit,VERB,Clemson
actress,hold,hold,hold,VERB,Clemson
acupuncture,healing,healing,heal,VERB,USM
acupuncture,medicine,medicine,medicine,NOUN,USM
acupuncture,meditation,meditation,meditation,NOUN,USM
acupuncture,needle,needle,needle,NOUN,USM
acupuncture,needles,needles,needles,NOUN,USM
acupuncture,poke,poke,poke,VERB,USM
acupuncture,prevention,prevention,prevention,NOUN,USM
acupuncture,relax,relax,relax,NOUN,USM
acupuncture,relaxation,relaxation,relaxation,NOUN,USM
acupuncture,stress,stress,stress,NOUN,USM
acupuncture,therapy,therapy,therapy,NOUN,USM
acupuncture,weapon,weapon,weapon,NOUN,USM
acupuncture,pain,pain,pain,NOUN,USM
acupuncture,stress,stress,stress,NOUN,USM
acupuncture,effect chi flow,effect,effect,VERB,USM
acupuncture,effect chi flow,chi,chi,NOUN,USM
acupuncture,effect chi flow,flow,flow,NOUN,USM
acupuncture,quit smoking,quit,quit,VERB,USM
acupuncture,quit smoking,smoking,smoke,NOUN,USM
acupuncture,chemicals,chemicals,chemical,NOUN,MSU-TEXAS
acupuncture,body,body,body,NOUN,MSU-TEXAS
acupuncture,to evelvate pain,elevate,elevate,VERB,USA
acupuncture,to evelvate pain,pain,pain,NOUN,USA
acupuncture,to get poked,get,get,VERB,USA
acupuncture,to get poked,poked,pok,VERB,USA
acupuncture,to get a needle,get,get,VERB,USA
acupuncture,to get a needle,needle,needle,NOUN,USA
acupuncture,to be stabbed,stabbed,stab,VERB,USA
acupuncture,to relax muscles,relax,relax,VERB,USA
acupuncture,to relax muscles,muscles,muscle,NOUN,USA
acupuncture,healing,healing,heal,VERB,MSU-TEXAS
acupuncture,fast recovery,fast,fast,ADJ,MSU-TEXAS
acupuncture,fast recovery,recovery,recover,VERB,MSU-TEXAS
acupuncture,relaxation,relaxation,relax,VERB,MSU-TEXAS
acupuncture,studied,studied,study,VERB,USA
acupuncture,therapy,therapy,therapy,VERB,Clemson
adapter,can be used as a means to charge a laptops,used,use,VERB,USM
adapter,can be used as a means to charge a laptops,means,means,NOUN,USM
adapter,can be used as a means to charge a laptops,charge,charge,VERB,USM
adapter,can be used as a means to charge a laptops,laptops,laptops,NOUN,USM
adapter,car cord,car,car,NOUN,USM
adapter,car cord,cord,cord,NOUN,USM
adapter,computuer,computuer,computuer,NOUN,USM
adapter,forget,forget,forget,VERB,USM
adapter,or other electronic devices that need more than one piece to charge,electronic,electronic,ADJ,USM
adapter,or other electronic devices that need more than one piece to charge,devices,device,NOUN,USM
adapter,or other electronic devices that need more than one piece to charge,need,need,VERB,USM
adapter,or other electronic devices that need more than one piece to charge,more,more,ADJ,USM
adapter,or other electronic devices that need more than one piece to charge,piece,piece,NOUN,USM
adapter,or other electronic devices that need more than one piece to charge,charge,charge,VERB,USM
adapter,phones,phones,phone,NOUN,USM
adapter,plug in,plug,plug,VERB,USM
adapter,power,power,power,NOUN,USM
adapter,safety,safety,safety,NOUN,USM
adapter,charging,charging,charge,VERB,USM
adapter,charging,charging,charge,VERB,MSU-TEXAS
adapter,plugging things in,plugging,plugge,VERB,MSU-TEXAS
adapter,plugging things in,things,thing,NOUN,MSU-TEXAS
adapter,cord,cord,cord,NOUN,USA
adapter,charger,charger,charger,NOUN,USA
adapter,use,use,use,VERB,Clemson
adapter,clean,clean,clean,VERB,Clemson
adapter,as a gift,gift,gift,VERB,Clemson
adapter,throw,throw,throw,VERB,Clemson
adapter,scrap,scrap,scrap,VERB,Clemson
adapter,play,play,play,VERB,Clemson
adapter,educate,educate,educate,VERB,Clemson
adapter,learn,learn,learn,VERB,Clemson
adapter,take a picture,take,take,VERB,Clemson
adapter,take a picture,picture,picture,NOUN,Clemson
addict,alcohol,alcohol,alcohol,NOUN,USM
addict,befriend them,befriend,befriend,VERB,USM
addict,drug,drug,drug,NOUN,USM
addict,drugs,drugs,drug,NOUN,USM
addict,find people,find,find,VERB,USM
addict,find people,people,people,NOUN,USM
addict,help them,help,help,VERB,USM
addict,nicotine,nicotine,nicotine,NOUN,USM
addict,receive drugs from,receive,receive,VERB,USM
addict,receive drugs from,drugs,drug,NOUN,USM
addict,respect them,respect,respect,VERB,USM
addict,take money for rehab,take,take,VERB,USM
addict,take money for rehab,money,money,NOUN,USM
addict,take money for rehab,rehab,rehab,NOUN,USM
addict,use drugs,use,use,VERB,USM
addict,use drugs,drugs,drug,NOUN,USM
addict,use them as an experiment to help,use,use,VERB,USM
addict,use them as an experiment to help,experiment,experiment,NOUN,USM
addict,use them as an experiment to help,help,help,VERB,USM
addict,use as an example,use,use,VERB,MSU-TEXAS
addict,use as an example,example,example,NOUN,MSU-TEXAS
addict,help in recovery,help,help,VERB,MSU-TEXAS
addict,help in recovery,recovery,recovery,NOUN,MSU-TEXAS
addict,drugs,drugs,drug,NOUN,USA
addict,to supply,supply,supply,NOUN,MSU-TEXAS
addict,to intervene,intervene,intervene,VERB,MSU-TEXAS
addict,to feel bad for,feel,feel,VERB,MSU-TEXAS
addict,to feel bad for,bad,bad,ADJ,MSU-TEXAS
adult,actor,actor,actor,NOUN,USM
adult,boss,boss,boss,NOUN,USM
adult,caregiver,caregiver,caregiver,NOUN,USM
adult,coworker,coworker,coworker,NOUN,USM
adult,doctor,doctor,doctor,NOUN,USM
adult,employment,employment,employment,NOUN,USM
adult,friend,friend,friend,NOUN,USM
adult,go out with,go,go,VERB,USM
adult,guidance,guidance,guidance,NOUN,USM
adult,helper,helper,helper,NOUN,USM
adult,lawyer,lawyer,lawyer,NOUN,USM
adult,parent,parent,parent,NOUN,USM
adult,professor,professor,professor,NOUN,USM
adult,relationship,relationship,relationship,NOUN,USM
adult,sibling,sibling,sibling,NOUN,USM
adult,teach,teach,teach,VERB,USM
adult,pay bills,pay,pay,VERB,USM
adult,pay bills,bills,bill,NOUN,USM
adult,drove,drove,drive,VERB,MSU-TEXAS
adult,bought,bought,buy,VERB,MSU-TEXAS
adult,chaperoned,chaperoned,chaperon,VERB,MSU-TEXAS
adult,comforted,comforted,comforte,VERB,MSU-TEXAS
adult,cared for,cared,care,VERB,MSU-TEXAS
adult,watched,watched,watch,VERB,MSU-TEXAS
adult,learned,learned,learn,VERB,MSU-TEXAS
adult,help you learn,help,help,VERB,UCONN
adult,help you learn,learn,learn,VERB,UCONN
adult,orders,orders,order,VERB,USA
advisor,advice,advice,advice,NOUN,USM
advisor,advising people,advising,advise,VERB,USM
advisor,advising people,people,people,NOUN,USM
advisor,ask,ask,ask,VERB,USM
advisor,ask for advice,ask,ask,VERB,USM
advisor,ask for advice,advice,advice,NOUN,USM
advisor,ask for help,ask,ask,VERB,USM
advisor,ask for help,help,help,NOUN,USM
advisor,ask questions,ask,ask,VERB,USM
advisor,ask questions,questions,question,NOUN,USM
advisor,assitance,assitance,assitance,NOUN,USM
advisor,counsel,counsel,counsel,NOUN,USM
advisor,get assistance from,assistance,assistance,NOUN,USM
advisor,guide,guide,guide,NOUN,USM
advisor,job,job,job,NOUN,USM
advisor,making classes,making,make,VERB,USM
advisor,making classes,classes,class,NOUN,USM
