Username,Trial,Condition.Notes,Stimuli.Cue,Procedure.Item,Response.RT,Response.RTfirst,Response.RTlast,affordance,affordance_corrected,Lemma_1,POS,feats
10012878_CL,18,List 2,mice,48,27840,1581,26627,feed,feed,fee,NOUN,Number=Sing
10012878_CL,18,List 2,mice,48,27840,1581,26627,entertainment,entertainment,entertainment,NOUN,Number=Sing
10012878_CL,19,List 2,barman,40,11157,1690,10027,drinks,drinks,drink,NOUN,Number=Plur
10012878_CL,19,List 2,barman,40,11157,1690,10027,mixing,mixing,mix,NOUN,Number=Sing
10012878_CL,19,List 2,barman,40,11157,1690,10027,conversation,conversation,conversation,NOUN,Number=Sing
10012878_CL,20,List 2,coverall,51,17503,5015,16482,coverage,coverage,coverage,NOUN,Number=Sing
10012878_CL,20,List 2,coverall,51,17503,5015,16482,fashion,fashion,fashion,NOUN,Number=Sing
10012878_CL,20,List 2,coverall,51,17503,5015,16482,clothing,clothing,clothe,NOUN,Number=Sing
10012878_CL,21,List 2,satchel,37,13891,1962,12488,fashion,fashion,fashion,NOUN,Number=Sing
10012878_CL,21,List 2,satchel,37,13891,1962,12488,carrying,carrying,carry,VERB,VerbForm=Ger
10012878_CL,21,List 2,satchel,37,13891,1962,12488,holding,holding,hold,NOUN,Number=Sing
10012878_CL,22,List 2,goalpost,38,11187,3386,10224,scoring,scoring,score,NOUN,Number=Sing
10012878_CL,22,List 2,goalpost,38,11187,3386,10224,sports,sports,sport,NOUN,Number=Plur
10012878_CL,22,List 2,goalpost,38,11187,3386,10224,catching,catching,catch,VERB,VerbForm=Ger
10012878_CL,23,List 2,hotplate,46,17529,2273,4699,warming,warming,warm,NOUN,Number=Sing
10012878_CL,23,List 2,hotplate,46,17529,2273,4699,food,food,food,NOUN,Number=Sing
10012878_CL,24,List 2,blower,54,19770,2976,18475,blowing,blowing,blow,VERB,VerbForm=Ger
10012878_CL,24,List 2,blower,54,19770,2976,18475,assistance,assistance,assistance,NOUN,Number=Sing
10012878_CL,25,List 2,yogurt,50,10184,1620,9089,consumption,consumption,consumption,NOUN,Number=Sing
10012878_CL,25,List 2,yogurt,50,10184,1620,9089,food,food,food,NOUN,Number=Sing
10012878_CL,25,List 2,yogurt,50,10184,1620,9089,hunger,hunger,hunger,NOUN,Number=Sing
10012878_CL,26,List 2,teabag,43,14432,1777,13346,mixing,mixing,mix,NOUN,Number=Sing
10012878_CL,26,List 2,teabag,43,14432,1777,13346,making,making,make,NOUN,Number=Sing
10012878_CL,26,List 2,teabag,43,14432,1777,13346,tea,tea,tea,NOUN,Number=Sing
10012878_CL,26,List 2,teabag,43,14432,1777,13346,drink,drink,drink,NOUN,Number=Sing
10012878_CL,27,List 2,gondola,53,30249,6148,29227,viewing,viewing,view,VERB,VerbForm=Ger
10012878_CL,27,List 2,gondola,53,30249,6148,29227,entertainment,entertainment,entertainment,NOUN,Number=Sing
10012878_CL,27,List 2,gondola,53,30249,6148,29227,privacy,privacy,privacy,NOUN,Number=Sing
10012878_CL,27,List 2,gondola,53,30249,6148,29227,relaxing,relaxing,relax,VERB,VerbForm=Ger
10012878_CL,27,List 2,gondola,53,30249,6148,29227,fun,fun,fun,NOUN,Number=Sing
10012878_CL,27,List 2,gondola,53,30249,6148,29227,vacation,vacation,vacation,NOUN,Number=Sing
10012878_CL,28,List 2,antibiotics,56,16197,1627,15134,medicine,medicine,medicine,NOUN,Number=Sing
10012878_CL,28,List 2,antibiotics,56,16197,1627,15134,treatment,treatment,treatment,NOUN,Number=Sing
10012878_CL,28,List 2,antibiotics,56,16197,1627,15134,illnesses,illnesses,illness,NOUN,Number=Plur
10012878_CL,28,List 2,antibiotics,56,16197,1627,15134,curing,curing,cure,NOUN,Number=Sing
10012878_CL,29,List 2,tripe,57,47141,40718,46054,consuming,consuming,consume,VERB,VerbForm=Ger
10012878_CL,29,List 2,tripe,57,47141,40718,46054,eating,eating,eat,VERB,VerbForm=Ger
10012878_CL,30,List 2,dolphin,49,14868,1307,13808,swimming,swimming,swim,VERB,VerbForm=Ger
10012878_CL,30,List 2,dolphin,49,14868,1307,13808,talking,talking,talk,VERB,VerbForm=Ger
10012878_CL,30,List 2,dolphin,49,14868,1307,13808,entertainment,entertainment,entertainment,NOUN,Number=Sing
10012878_CL,31,List 2,bottle,36,16548,1263,15582,drinking,drinking,drink,VERB,VerbForm=Ger
10012878_CL,31,List 2,bottle,36,16548,1263,15582,holding,holding,hold,NOUN,Number=Sing
10012878_CL,31,List 2,bottle,36,16548,1263,15582,filling,filling,fill,NOUN,Number=Sing
10012878_CL,31,List 2,bottle,36,16548,1263,15582,preserving,preserving,preserve,VERB,VerbForm=Ger
10012878_CL,32,List 2,turban,41,23563,1751,22148,holding,holding,hold,NOUN,Number=Sing
10012878_CL,32,List 2,turban,41,23563,1751,22148,fashion,fashion,fashion,NOUN,Number=Sing
10012878_CL,32,List 2,turban,41,23563,1751,22148,religion,religion,religion,NOUN,Number=Sing
10012878_CL,33,List 2,gunpowder,55,16301,1761,11694,shooting,shooting,shoot,NOUN,Number=Sing
10012878_CL,33,List 2,gunpowder,55,16301,1761,11694,crafting,crafting,craft,NOUN,Number=Sing
10012878_CL,33,List 2,gunpowder,55,16301,1761,11694,making,making,make,NOUN,Number=Sing
10012878_CL,33,List 2,gunpowder,55,16301,1761,11694,bullets,bullets,bullet,NOUN,Number=Plur
10012878_CL,34,List 2,prankster,52,14664,1444,13641,jokes,jokes,joke,NOUN,Number=Plur
10012878_CL,34,List 2,prankster,52,14664,1444,13641,views,views,view,NOUN,Number=Plur
10012878_CL,34,List 2,prankster,52,14664,1444,13641,laughter,laughter,laughter,NOUN,Number=Sing
10012878_CL,34,List 2,prankster,52,14664,1444,13641,entertainment,entertainment,entertainment,NOUN,Number=Sing
10012878_CL,35,List 2,newscaster,33,15187,2841,13990,gossip,gossip,gossip,NOUN,Number=Sing
10012878_CL,35,List 2,newscaster,33,15187,2841,13990,entertainment,entertainment,entertainment,NOUN,Number=Sing
10012878_CL,35,List 2,newscaster,33,15187,2841,13990,curiousity,curiosity,curiosity,NOUN,Number=Sing
10012878_CL,36,List 2,rainwater,61,22051,4133,19190,recycling,recycling,recycle,VERB,VerbForm=Ger
10012878_CL,36,List 2,rainwater,61,22051,4133,19190,drink,drink,drink,NOUN,Number=Sing
10012878_CL,36,List 2,rainwater,61,22051,4133,19190,planting,planting,plant,VERB,VerbForm=Ger
10012878_CL,36,List 2,rainwater,61,22051,4133,19190,farming,farming,farm,NOUN,Number=Sing
10012878_CL,37,List 2,yourself,35,54671,3313,24213,adventures,adventures,adventure,NOUN,Number=Plur
10012878_CL,37,List 2,yourself,35,54671,3313,24213,entertainment,entertainment,entertainment,NOUN,Number=Sing
10012878_CL,38,List 2,boot,42,5967,1267,5151,walking,walking,walk,NOUN,Number=Sing
10012878_CL,38,List 2,boot,42,5967,1267,5151,stomping,stomping,stomp,NOUN,Number=Sing
10012878_CL,39,List 2,toy,44,6401,1215,4583,playing,playing,play,VERB,VerbForm=Ger
10012878_CL,39,List 2,toy,44,6401,1215,4583,entertainment,entertainment,entertainment,NOUN,Number=Sing
10012878_CL,40,List 2,choreographer,45,9942,1277,5927,art,art,art,NOUN,Number=Sing
10012878_CL,40,List 2,choreographer,45,9942,1277,5927,dancing,dancing,dance,NOUN,Number=Sing
10016155,11,List 74,engineer,2203,27448,3665,24400,chemical,chemical,chemical,ADJ,Degree=Pos
10016155,11,List 74,engineer,2203,27448,3665,24400,electrical,electrical,electrical,ADJ,Degree=Pos
10016155,11,List 74,engineer,2203,27448,3665,24400,mechanical,mechanical,mechanical,ADJ,Degree=Pos
10016155,12,List 74,watchband,2207,12292,2447,11625,worn,worn,wear,ADJ,Degree=Pos
10016155,12,List 74,watchband,2207,12292,2447,11625,used,used,use,VERB,Tense=Past|VerbForm=Part
10016155,12,List 74,watchband,2207,12292,2447,11625,touched,touched,touch,VERB,Tense=Past|VerbForm=Part
10016155,13,List 74,abacus,2197,17071,14472,15439,thrown,thrown,throw,VERB,Tense=Past|VerbForm=Part
10016155,15,List 74,duster,2192,8561,3584,7898,clean,clean,clean,ADJ,Degree=Pos
10016155,15,List 74,duster,2192,8561,3584,7898,pick,pick,pick,VERB,VerbForm=Inf
10016155,16,List 74,eyewash,2220,15596,2915,10132,ease,ease,ease,INTJ,NA
10016155,16,List 74,eyewash,2220,15596,2915,10132,pain,pain,pain,NOUN,Number=Sing
10016155,16,List 74,eyewash,2220,15596,2915,10132,rinse,rinse,rinse,NOUN,Number=Sing
10016155,17,List 74,underclothing,2200,13476,3366,12946,worn,worn,wear,ADJ,Degree=Pos
10016155,17,List 74,underclothing,2200,13476,3366,12946,washed,washed,wash,VERB,Tense=Past|VerbForm=Part
10016155,17,List 74,underclothing,2200,13476,3366,12946,folded,folded,fold,VERB,Tense=Past|VerbForm=Part
10016155,18,List 74,lunchroom,2201,16962,12765,16635,eat,eat,eat,VERB,VerbForm=Inf
10016155,19,List 74,percolator,2195,3887,3127,3413,idk,id,id,NOUN,Number=Sing
10016155,20,List 74,props,2221,5081,2079,4813,used,used,use,VERB,Tense=Past|VerbForm=Part
10016155,20,List 74,props,2221,5081,2079,4813,play,play,play,VERB,VerbForm=Inf
10016155,21,List 74,teacher,2202,8168,4143,7831,help,help,help,VERB,VerbForm=Inf
10016155,21,List 74,teacher,2202,8168,4143,7831,students,students,student,NOUN,Number=Plur
10016155,21,List 74,teacher,2202,8168,4143,7831,learn,learn,learn,VERB,VerbForm=Inf
10016155,22,List 74,electrician,2211,14855,2488,14346,works,works,work,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
10016155,22,List 74,electrician,2211,14855,2488,14346,electrical,electrical,electrical,ADJ,Degree=Pos
10016155,22,List 74,electrician,2211,14855,2488,14346,problems,problems,problem,NOUN,Number=Plur
10016155,22,List 74,electrician,2211,14855,2488,14346,issues,issues,issue,NOUN,Number=Plur
10016155,23,List 74,flaxseed,2216,6553,1837,6202,eaten,eaten,eat,VERB,Mood=Imp|VerbForm=Fin
10016155,23,List 74,flaxseed,2216,6553,1837,6202,grown,grown,grow,VERB,Tense=Past|VerbForm=Part
10016155,24,List 74,gasket,2208,12374,8656,10866,used,used,use,VERB,Tense=Past|VerbForm=Part
10016155,24,List 74,gasket,2208,12374,8656,10866,fixe,fix,fix,VERB,VerbForm=Inf
10016155,25,List 74,trench,2218,9216,2206,8917,dug,dug,dig,X,NA
10016155,25,List 74,trench,2218,9216,2206,8917,walk,walk,walk,VERB,Mood=Imp|VerbForm=Fin
10016155,26,List 74,rowboat,2194,11358,2741,11030,get,get,get,VERB,VerbForm=Inf
10016155,26,List 74,rowboat,2194,11358,2741,11030,places,places,place,NOUN,Number=Plur
10016155,27,List 74,thumbtack,2210,10786,4237,10411,hold,hold,hold,INTJ,NA
10016155,27,List 74,thumbtack,2210,10786,4237,10411,something,something,something,PRON,Number=Sing
10016155,28,List 74,tangerine,2214,7545,2032,7292,eaten,eaten,eat,VERB,Mood=Imp|VerbForm=Fin
10016155,28,List 74,tangerine,2214,7545,2032,7292,picked,picked,pick,VERB,Tense=Past|VerbForm=Part
10016155,28,List 74,tangerine,2214,7545,2032,7292,grown,grown,grow,VERB,Tense=Past|VerbForm=Part
10016155,29,List 74,coaster,2204,11278,3962,10225,hold,hold,hold,INTJ,NA
10016155,29,List 74,coaster,2204,11278,3962,10225,drinks,drinks,drink,NOUN,Number=Plur
10016155,30,List 74,shank,2205,3401,1781,2480,stab,stab,stab,NOUN,Number=Sing
10016155,31,List 74,parchment,2219,6892,3297,6706,used,used,use,VERB,Tense=Past|VerbForm=Part
10016155,31,List 74,parchment,2219,6892,3297,6706,cooking,cooking,cook,NOUN,Number=Sing
10016155,32,List 74,tablecloth,2213,8240,1629,7989,used,used,use,VERB,Tense=Past|VerbForm=Part
10016155,32,List 74,tablecloth,2213,8240,1629,7989,help,help,help,VERB,VerbForm=Inf
10016155,32,List 74,tablecloth,2213,8240,1629,7989,keep,keep,keep,VERB,Mood=Imp|VerbForm=Fin
10016155,32,List 74,tablecloth,2213,8240,1629,7989,table,table,table,NOUN,Number=Sing
10016155,32,List 74,tablecloth,2213,8240,1629,7989,clean,clean,clean,ADJ,Degree=Pos
10016155,33,List 74,worksheet,2198,6433,2387,6147,turn,turn,turn,VERB,Mood=Imp|VerbForm=Fin
10016155,33,List 74,worksheet,2198,6433,2387,6147,work,work,work,NOUN,Number=Sing
10016155,34,List 74,stem,2196,6604,5472,6471,picked,picked,pick,VERB,Tense=Past|VerbForm=Part
10016155,35,List 74,lunch,2212,2173,1108,1886,eaten,eaten,eat,VERB,Mood=Imp|VerbForm=Fin
10016155,36,List 74,cheek,2193,11216,4528,11035,gets,gets,get,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
10016155,36,List 74,cheek,2193,11216,4528,11035,red,red,red,ADJ,Degree=Pos
10016155,36,List 74,cheek,2193,11216,4528,11035,helps,helps,help,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
10016155,36,List 74,cheek,2193,11216,4528,11035,smile,smile,smile,VERB,VerbForm=Inf
10016155,37,List 74,salamander,2206,13764,4657,13292,pet,pet,pet,NOUN,Number=Sing
10016155,37,List 74,salamander,2206,13764,4657,13292,wild,wild,wild,ADJ,Degree=Pos
10016155,37,List 74,salamander,2206,13764,4657,13292,also,also,also,ADV,NA
10016155,38,List 74,ruler,2217,5872,1748,5652,used,used,use,VERB,Tense=Past|VerbForm=Part
10016155,38,List 74,ruler,2217,5872,1748,5652,measure,measure,measure,NOUN,Number=Sing
10016155,39,List 74,stepbrother,2215,9883,3092,9686,advice,advice,advice,NOUN,Number=Sing
10016155,39,List 74,stepbrother,2215,9883,3092,9686,quality,quality,quality,NOUN,Number=Sing
10016155,39,List 74,stepbrother,2215,9883,3092,9686,time,time,time,NOUN,Number=Sing
10016155,40,List 74,stage,2209,9937,2876,9383,perform,perform,perform,VERB,VerbForm=Inf
10016155,40,List 74,stage,2209,9937,2876,9383,sing,sing,sing,VERB,VerbForm=Ger
10016155,40,List 74,stage,2209,9937,2876,9383,dance,dance,dance,NOUN,Number=Sing
10016155,40,List 74,stage,2209,9937,2876,9383,worship,worship,worship,NOUN,Number=Sing
10032501AW,11,List 11,billiards,328,86845,57245,82431,sitting,sitting,sit,VERB,VerbForm=Ger
10032501AW,11,List 11,billiards,328,86845,57245,82431,coaster,coaster,coaster,NOUN,Number=Sing
10032501AW,11,List 11,billiards,328,86845,57245,82431,storage,storage,storage,NOUN,Number=Sing
10032501AW,11,List 11,billiards,328,86845,57245,82431,table,table,table,NOUN,Number=Sing
10032501AW,12,List 11,mongoose,330,17212,5249,11497,eaten,eaten,eat,VERB,Mood=Imp|VerbForm=Fin
10032501AW,12,List 11,mongoose,330,17212,5249,11497,cooked,cooked,cook,VERB,Tense=Past|VerbForm=Part
10032501AW,12,List 11,mongoose,330,17212,5249,11497,pet,pet,pet,NOUN,Number=Sing
10032501AW,13,List 11,village,322,36352,6554,25275,visit,visit,visit,VERB,VerbForm=Inf
10032501AW,13,List 11,village,322,36352,6554,25275,resident,resident,resident,NOUN,Number=Sing
10032501AW,14,List 11,hibachi,313,29292,24679,25435,cooking,cooking,cook,NOUN,Number=Sing
10032501AW,15,List 11,furnace,331,11514,2131,4409,heating,heating,heat,NOUN,Number=Sing
10032501AW,15,List 11,furnace,331,11514,2131,4409,burning,burning,burn,VERB,VerbForm=Ger
10032501AW,16,List 11,apartments,310,34165,5595,33084,tenant,tenant,tenant,NOUN,Number=Sing
10032501AW,16,List 11,apartments,310,34165,5595,33084,sleep,sleep,sleep,NOUN,Number=Sing
10032501AW,16,List 11,apartments,310,34165,5595,33084,cook,cook,cook,VERB,Mood=Imp|VerbForm=Fin
10032501AW,16,List 11,apartments,310,34165,5595,33084,eat,eat,eat,VERB,VerbForm=Inf
10032501AW,16,List 11,apartments,310,34165,5595,33084,clean,clean,clean,ADJ,Degree=Pos
10032501AW,16,List 11,apartments,310,34165,5595,33084,storage,storage,storage,NOUN,Number=Sing
10032501AW,16,List 11,apartments,310,34165,5595,33084,shelter,shelter,shelter,NOUN,Number=Sing
10032501AW,17,List 11,teaspoonful,323,42647,11953,34526,seasoning,seasoning,season,VERB,VerbForm=Ger
10032501AW,17,List 11,teaspoonful,323,42647,11953,34526,sweetener,sweetener,sweetener,NOUN,Number=Sing
10032501AW,17,List 11,teaspoonful,323,42647,11953,34526,mix,mix,mix,NOUN,Number=Sing
10032501AW,17,List 11,teaspoonful,323,42647,11953,34526,scoop,scoop,scoop,NOUN,Number=Sing
10032501AW,18,List 11,flowerpot,315,15826,2169,4115,plant,plant,plant,NOUN,Number=Sing
10032501AW,18,List 11,flowerpot,315,15826,2169,4115,storage,storage,storage,NOUN,Number=Sing
10032501AW,19,List 11,grandchild,316,25033,2346,24053,play,play,play,VERB,VerbForm=Inf
10032501AW,19,List 11,grandchild,316,25033,2346,24053,care,care,care,NOUN,Number=Sing
10032501AW,20,List 11,taffy,324,27432,2447,24919,eat,eat,eat,VERB,VerbForm=Inf
10032501AW,20,List 11,taffy,324,27432,2447,24919,stretch,stretch,stretch,NOUN,Number=Sing
10032501AW,20,List 11,taffy,324,27432,2447,24919,suck,suck,suck,VERB,Mood=Imp|VerbForm=Fin
10032501AW,20,List 11,taffy,324,27432,2447,24919,bite,bite,bite,X,NA
10032501AW,20,List 11,taffy,324,27432,2447,24919,lick,lick,lick,NOUN,Number=Sing
10032501AW,20,List 11,taffy,324,27432,2447,24919,tear,tear,tear,NOUN,Number=Sing
10032501AW,20,List 11,taffy,324,27432,2447,24919,crush,crush,crush,NOUN,Number=Sing
10032501AW,20,List 11,taffy,324,27432,2447,24919,melt,melt,melt,NOUN,Number=Sing
10032501AW,21,List 11,mullets,319,18045,2055,15458,cut,cut,cut,VERB,Mood=Imp|VerbForm=Fin
10032501AW,21,List 11,mullets,319,18045,2055,15458,washed,washed,wash,VERB,Tense=Past|VerbForm=Part
10032501AW,21,List 11,mullets,319,18045,2055,15458,dyed,dyed,dye,ADJ,Degree=Pos
10032501AW,21,List 11,mullets,319,18045,2055,15458,straightened,straightened,straighten,VERB,Tense=Past|VerbForm=Part
10032501AW,21,List 11,mullets,319,18045,2055,15458,curled,curled,curl,VERB,Tense=Past|VerbForm=Part
10032501AW,22,List 11,flatiron,311,24782,5684,23726,hold,hold,hold,INTJ,NA
10032501AW,22,List 11,flatiron,311,24782,5684,23726,weapon,weapon,weapon,NOUN,Number=Sing
10032501AW,22,List 11,flatiron,311,24782,5684,23726,straighten,straighten,straighten,ADV,NA
10032501AW,23,List 11,bondsman,308,71479,41760,68725,hug,hug,hug,X,NA
10032501AW,23,List 11,bondsman,308,71479,41760,68725,hit,hit,hit,VERB,Mood=Imp|VerbForm=Fin
10032501AW,24,List 11,raincoat,326,23484,1979,15435,wear,wear,wear,VERB,VerbForm=Inf
10032501AW,24,List 11,raincoat,326,23484,1979,15435,fold,fold,fold,VERB,VerbForm=Inf
10032501AW,24,List 11,raincoat,326,23484,1979,15435,burn,burn,burn,VERB,VerbForm=Inf
10032501AW,24,List 11,raincoat,326,23484,1979,15435,shelter,shelter,shelter,NOUN,Number=Sing
10032501AW,25,List 11,casserole,306,22414,3166,18461,eat,eat,eat,VERB,VerbForm=Inf
10032501AW,25,List 11,casserole,306,22414,3166,18461,reheat,reheat,reheat,NOUN,Number=Sing
10032501AW,25,List 11,casserole,306,22414,3166,18461,scoop,scoop,scoop,NOUN,Number=Sing
10032501AW,25,List 11,casserole,306,22414,3166,18461,stab,stab,stab,NOUN,Number=Sing
10032501AW,26,List 11,crust,304,8475,2169,7390,eat,eat,eat,VERB,VerbForm=Inf
10032501AW,26,List 11,crust,304,8475,2169,7390,crushed,crushed,crush,VERB,Tense=Past|VerbForm=Part
10032501AW,26,List 11,crust,304,8475,2169,7390,cut,cut,cut,VERB,Mood=Imp|VerbForm=Fin
10032501AW,27,List 11,molasses,321,30848,1931,29847,syrup,syrup,syrup,NOUN,Number=Sing
10032501AW,27,List 11,molasses,321,30848,1931,29847,lick,lick,lick,NOUN,Number=Sing
10032501AW,27,List 11,molasses,321,30848,1931,29847,sweetner,sweetener,sweetener,NOUN,Number=Sing
10032501AW,28,List 11,butt,312,20240,5097,15604,slap,slap,slap,NOUN,Number=Sing
10032501AW,28,List 11,butt,312,20240,5097,15604,fondle,fondle,fondle,NOUN,Number=Sing
10032501AW,28,List 11,butt,312,20240,5097,15604,rub,rub,rub,NOUN,Number=Sing
10032501AW,28,List 11,butt,312,20240,5097,15604,cushion,cushion,cushion,NOUN,Number=Sing
10032501AW,29,List 11,parakeet,329,8809,4277,4781,pet,pet,pet,NOUN,Number=Sing
10032501AW,30,List 11,nut,307,26911,6352,20166,eat,eat,eat,VERB,VerbForm=Inf
10032501AW,30,List 11,nut,307,26911,6352,20166,crush,crush,crush,NOUN,Number=Sing
10032501AW,30,List 11,nut,307,26911,6352,20166,topping,topping,top,NOUN,Number=Sing
10032501AW,31,List 11,pan,327,12572,4371,11411,fry,fry,fry,NOUN,Number=Plur
10032501AW,31,List 11,pan,327,12572,4371,11411,clean,clean,clean,ADJ,Degree=Pos
10032501AW,31,List 11,pan,327,12572,4371,11411,weapon,weapon,weapon,NOUN,Number=Sing
10032501AW,32,List 11,corn,317,14705,1645,11298,eat,eat,eat,VERB,VerbForm=Inf
10032501AW,32,List 11,corn,317,14705,1645,11298,boil,boil,boil,NOUN,Number=Sing
10032501AW,32,List 11,corn,317,14705,1645,11298,crush,crush,crush,NOUN,Number=Sing
10032501AW,32,List 11,corn,317,14705,1645,11298,ingredient,ingredient,ingredient,NOUN,Number=Sing
10032501AW,33,List 11,stepdaughter,314,11812,4348,4951,hug,hug,hug,X,NA
10032501AW,34,List 11,trigger,320,7852,4875,5298,push,push,push,INTJ,NA
10032501AW,35,List 11,belt,318,11412,6058,9802,accessory,accessory,accessory,INTJ,NA
10032501AW,35,List 11,belt,318,11412,6058,9802,weapon,weapon,weapon,NOUN,Number=Sing
10032501AW,36,List 11,acupuncture,302,14969,5538,14075,weapon,weapon,weapon,NOUN,Number=Sing
10032501AW,36,List 11,acupuncture,302,14969,5538,14075,medical,medical,medical,ADJ,Degree=Pos
10032501AW,36,List 11,acupuncture,302,14969,5538,14075,tool,tool,tool,NOUN,Number=Sing
10032501AW,37,List 11,rectum,309,33346,6813,32299,stretched,stretched,stretch,VERB,Tense=Past|VerbForm=Part
10032501AW,37,List 11,rectum,309,33346,6813,32299,exit,exit,exit,NOUN,Number=Sing
10032501AW,38,List 11,device,303,51612,1846,41935,diary,diary,diary,INTJ,NA
10032501AW,38,List 11,device,303,51612,1846,41935,book,book,book,NOUN,Number=Sing
10032501AW,38,List 11,device,303,51612,1846,41935,storage,storage,storage,NOUN,Number=Sing
10032501AW,39,List 11,dirt,325,11728,7083,7693,dug,dug,dig,X,NA
10032501AW,40,List 11,kettledrum,305,72159,67847,69822,instrument,instrument,instrument,NOUN,Number=Sing
10043633MWA,11,List 36,edibles,1064,35909,1425,10472,eaten,eaten,eat,VERB,Mood=Imp|VerbForm=Fin
10043633MWA,11,List 36,edibles,1064,35909,1425,10472,made,made,make,VERB,Tense=Past|VerbForm=Part
10043633MWA,11,List 36,edibles,1064,35909,1425,10472,sold,sold,sell,VERB,Mood=Imp|VerbForm=Fin
10043633MWA,11,List 36,edibles,1064,35909,1425,10472,bought,bought,buy,NOUN,Number=Sing
10043633MWA,12,List 36,barber,1061,17695,3398,14821,called,called,call,VERB,Tense=Past|VerbForm=Part
10043633MWA,12,List 36,barber,1061,17695,3398,14821,used,used,use,VERB,Tense=Past|VerbForm=Part
10043633MWA,12,List 36,barber,1061,17695,3398,14821,killed,killed,kill,VERB,Mood=Ind|Tense=Past|VerbForm=Fin
10043633MWA,13,List 36,alfalfa,1074,30951,7184,16502,listened,listened,listen,VERB,Tense=Past|VerbForm=Part
10043633MWA,13,List 36,alfalfa,1074,30951,7184,16502,watched,watched,watch,VERB,Mood=Ind|Tense=Past|VerbForm=Fin
10043633MWA,13,List 36,alfalfa,1074,30951,7184,16502,talk,talk,talk,VERB,VerbForm=Inf
10043633MWA,14,List 36,evergreen,1079,23631,13599,22337,seen,seen,see,VERB,Tense=Past|VerbForm=Part
10043633MWA,14,List 36,evergreen,1079,23631,13599,22337,sold,sold,sell,VERB,Mood=Imp|VerbForm=Fin
10043633MWA,14,List 36,evergreen,1079,23631,13599,22337,cut,cut,cut,VERB,Mood=Imp|VerbForm=Fin
10043633MWA,14,List 36,evergreen,1079,23631,13599,22337,viewed,viewed,view,VERB,Mood=Ind|Tense=Past|VerbForm=Fin
10043633MWA,15,List 36,flashbulb,1077,20826,2940,20705,broken,broken,break,VERB,VerbForm=Inf
10043633MWA,15,List 36,flashbulb,1077,20826,2940,20705,turned,turned,turn,VERB,Mood=Ind|Tense=Past|VerbForm=Fin
